 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 客户存款和同业存放款项净增加额(万元),188010700,190957500,144158800,70439500,158363400,155628100,2340600,74963000,147784600,144784300,--,--,136100800,142534600,--,53707900,115668800,82641200,116539300,62255100,99411900,106014800,90966400,74330200,150861600,162205000,27153900,59590400,130854800,--,--,68657300,137438700,151718800,111628600,70604900,188664500,184972900,168854400,117954700,133788600,99988600,71303300,38679900,94649700,99294700,75812400,37660300,79795900,51214900,58142700,37407900,44795100,53654600, 
 向中央银行借款净增加额(万元,3200,--,--,--,--,--,--,--,33500,--,17000,--,--,--,--,--,--,--,2100,--,--,--,--,--,102500,13700,33700,--,4900,4900,4900,3000,5100,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,1928100, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,10905300,12422100,4920600,109200,289500,97400,42800,14300,10701500,1583200,1966600,192900,3598200,4138700,863600,1750800,35800,133200,115300,7032200,1212200,7989000,25467500,18274400,566900,17208500,12606100,20500,924500,314300,473200,1326500,1812300,1403700,192700,547100,658000,--,130600,--,--,0,0,0,--,--,--,0,--,0, 
 收取利息、手续费及佣金的现金(万元),113585900,84391600,55672700,26602300,105003200,79577800,53171900,25080400,97543200,73560300,48154400,23543900,102656900,77302900,51128100,24610900,98347500,72789600,47749200,23349100,89107900,65954100,42394400,20682900,82412400,60649400,38811100,18526900,67920100,49231700,31624400,14584700,52767500,38531800,25174800,11838200,45815700,33680200,22604600,11120700,47185400,35362700,23083100,10643400,36556000,27034500,16079200,7515400,27708100,13220200,22135100,10163100,19673700,18363200, 
 拆入资金净增加额(万元),--,4995100,253700,821000,1823600,8361100,560100,6366900,--,8912100,3419000,6131100,3092200,2591000,654600,855800,2392000,4051200,6504800,7889700,15412300,8316400,11383200,13411600,589900,--,1825000,4393900,10570800,13674100,8736900,4523500,5752300,4627700,3561700,2152000,1701700,--,--,--,--,--,--,2220500,4620200,1898500,618400,0,146400,433100,--,597900,227900,0, 
 回购业务资金净增加额(万元),--,--,--,--,45703200,9435700,9261900,17971600,25211500,10941300,783800,--,--,--,--,4089700,8165300,1083200,--,--,6154000,9730700,10010700,7693400,3132500,1639500,--,3480400,12136600,5118100,--,--,4882800,--,--,0,3141200,139800,222900,30900,--,--,--,--,14652200,1129000,3696100,0,1630900,--,596200,0,1008600,0, 
