 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),1075973,611208,444926,1394049,939266,702430,375702,1420327,1055726,615973,291965,1408114,962097,704016,352972,1209651,957753,596195,287033,1150521,976411,722487,290344,1671633,1205293,864453,374377,1616971,1455788,931929,471640,2062523,1643499,1054256,521450,1296145,855181,477979,200137,1366185,882207,816293,333008,1199177,884696,580268,330553,895015,731117,449281,161801, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到的税费返还(万元),6812,3536,1573,6230,5133,3346,1595,8500,6733,3914,2581,7522,4442,2502,858,2263,1612,1514,870,1885,1550,1098,240,4339,3921,1871,1548,6102,5382,2878,1666,2450,2288,1595,1045,2339,925,536,5,38,19,19,16,88,29,16,16,1,--,0,0, 
 收到的其他与经营活动有关的现金(万元),40778,10646,6905,14852,12204,9040,7486,16723,10323,4316,5109,15968,13067,8656,5419,14069,5967,5556,5291,5356,3055,1934,7057,8936,12953,7215,10603,7255,45313,10589,14649,9638,12409,7915,3019,11275,4546,3339,4756,4432,10919,4698,2364,6264,12263,8043,2819,11907,12089,5406,2202, 
 经营活动现金流入小计(万元),1123563,625390,453403,1415130,956604,714816,384783,1445550,1072782,624203,299656,1431605,979606,715174,359249,1225983,965332,603265,293194,1157761,981016,725520,297641,1684908,1222167,873538,386528,1630329,1506483,945396,487955,2074611,1658196,1063766,525514,1309759,860651,481854,204898,1370655,893144,821009,335388,1205528,896988,588328,333389,906923,743205,454686,164003, 
 购买商品、接受劳务支付的现金(万元),866533,477007,377633,1048222,691066,525092,286079,1161882,892248,511868,234424,1180258,833433,598272,337313,1054236,819052,502337,240894,960256,839389,626799,260777,1520795,1118275,788787,346200,1478394,1364478,868333,452512,1961673,1537872,985014,482538,1187223,769832,414872,188909,1288784,836812,787917,320524,1182669,867116,572118,329939,804948,657105,394646,127524, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),148607,102416,53033,213415,158590,110385,62225,194594,129100,83865,44833,158246,113077,75891,38875,137148,99536,65261,31559,110673,77376,50698,25032,103517,80004,46869,20962,97967,73305,48413,25987,72511,51177,33251,16556,49185,33159,19760,7504,30165,21082,13077,6709,19613,13620,10511,4372,20670,16757,11348,6192, 
