 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),43090,23206,9529,70495,43267,27679,11015,60053,36625,55844,55115,51019, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),468,198,--,1033,683,654,232,1417,556,915,1384,818, 
 收到的其他与经营活动有关的现金(万元),403,234,178,533,477,237,176,460,450,314,3402,928, 
 经营活动现金流入小计(万元),43961,23638,9707,72061,44427,28570,11423,61930,37631,57073,59901,52766, 
 购买商品、接受劳务支付的现金(万元),9015,5268,948,9418,6046,4480,903,9886,5184,9663,8161,9067, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),33936,22079,10371,43072,33198,21695,10973,41830,31526,40194,35721,31634, 
 支付的各项税费(万元),4466,3355,2696,4767,3920,3031,2828,3988,3212,3366,1926,4726, 
 支付的其他与经营活动有关的现金(万元),5227,2986,2874,6594,5091,3202,3441,5925,5600,9136,5740,8901, 
 经营活动现金流出小计(万元),52644,33688,16889,63851,48256,32408,18144,61629,45523,62359,51548,54328, 
 经营活动产生的现金流量净额(万元),-8683,-10049,-7182,8210,-3829,-3837,-6721,301,-7892,-5286,8352,-1562, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),85,14,11,17,1,1,0,28,28,70,17,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,0,0,0,--,0,7,5,61,88, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),85,14,11,17,2,2,0,28,35,75,77,88, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),308,106,33,414,259,178,4,654,550,558,278,359, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
