 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),163449,106902,184382,87125,41935,154139,135732,117553, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),7090,4294,7673,4142,2190,8134,7095,6967, 
 收到的其他与经营活动有关的现金(万元),4394,1383,3353,2818,157,8411,7175,2494, 
 经营活动现金流入小计(万元),174933,112579,195408,94086,44281,170684,150002,127015, 
 购买商品、接受劳务支付的现金(万元),79049,51653,80242,33421,20624,77982,69298,56161, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),25348,17167,27466,13231,6662,20766,16118,13978, 
 支付的各项税费(万元),15596,10524,19999,10055,4204,18507,14751,12388, 
 支付的其他与经营活动有关的现金(万元),9194,6493,12502,9161,3567,11555,14775,14262, 
 经营活动现金流出小计(万元),129187,85837,140209,65869,35057,128811,114942,96789, 
 经营活动产生的现金流量净额(万元),45746,26741,55199,28217,9224,41873,35060,30225, 
 收回投资所收到的现金(万元),--,2769,--,2454,--,15912,--,--, 
 取得投资收益所收到的现金(万元),86,73,102,78,45,809,1019,105, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),136,111,64,28,12,103,186,193, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),221,2954,166,2560,57,16824,1204,299, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),36416,21798,46267,20991,11394,25309,20357,17483, 
 投资所支付的现金(万元),144,--,509,--,4602,--,7190,9600, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,1171, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,107,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),36560,21798,46776,20991,15996,25417,27547,28254, 
 投资活动产生的现金流量净额(万元),-36339,-18845,-46610,-18431,-15939,-8592,-26343,-27955, 
 吸收投资收到的现金(万元),38,14,19558,18645,17952,19005,914,11956, 
 其中：子公司吸收少数股东投资收到的现金(万元),38,14,1606,693,--,2239,914,996, 
 取得借款收到的现金(万元),1977,--,--,--,--,14445,15115,10982, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,309,--,--,3214,1348,--, 
 筹资活动现金流入小计(万元),2015,14,19867,18645,17952,36665,17377,22938, 
 偿还债务支付的现金(万元),--,--,--,--,--,24313,15336,5127, 
 分配股利、利润或偿付利息所支付的现金(万元),18105,18105,7387,315,315,25555,20067,14064, 
 其中：子公司支付给少数股东的股利、利润(万元),425,425,315,315,315,7119,3216,3898, 
 支付其他与筹资活动有关的现金(万元),--,--,1950,1950,1950,9086,115,--, 
 筹资活动现金流出小计(万元),18105,18105,9337,2265,2265,58954,35518,19192, 
 筹资活动产生的现金流量净额(万元),-16090,-18091,10530,16380,15687,-22289,-18140,3746, 
 汇率变动对现金及现金等价物的影响(万元),-714,-211,3104,1415,321,1506,-159,-451, 
 现金及现金等价物净增加额(万元),-7397,-10405,22223,27581,9293,12498,-9583,5565, 
 加:期初现金及现金等价物余额(万元),48417,48417,26194,26194,26194,13697,23279,17714, 
 期末现金及现金等价物余额(万元),41020,38012,48417,53775,35487,26194,13697,23279, 
 净利润(万元),--,22910,48656,23678,10466,35729,31076,28488, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,212,664,199,156,410,137,271, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6378,11060,5020,2480,8487,6129,4646, 
 无形资产摊销(万元),--,258,419,174,84,214,179,162, 
 长期待摊费用摊销(万元),--,2261,5234,2362,1138,3682,1759,1283, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-4,11,-1,7,318,210,78, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,1197,-706,-45,7,--,--,--, 
