 报告日期,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),142102,44495,159902,114504,150867,79482,172366,171210,127646, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),506,169,841,444,543,274,487,363,298, 
 收到的其他与经营活动有关的现金(万元),4736,638,2437,3868,1979,782,3836,9422,8184, 
 经营活动现金流入小计(万元),147344,45303,163180,118815,153389,80538,176689,180995,136127, 
 购买商品、接受劳务支付的现金(万元),91337,28867,91065,71626,87599,43620,98062,122276,96982, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10287,4953,14558,11223,13497,8724,10907,6741,4533, 
 支付的各项税费(万元),10264,2169,16742,11576,18353,10146,17734,13427,9479, 
 支付的其他与经营活动有关的现金(万元),24894,7585,25326,14447,26410,14862,45568,21543,19160, 
 经营活动现金流出小计(万元),136783,43575,147691,108873,145859,77352,172271,163989,130154, 
 经营活动产生的现金流量净额(万元),10561,1728,15490,9943,7529,3186,4418,17007,5973, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,492,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,173,13,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,9,10,38,695,644,12,2394,674, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,9,10,38,695,644,676,2407,675, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12475,8154,18722,13947,18156,5646,18853,11799,10660, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,207, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,97,97,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
