 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),26983,58933,38586,17244,10177,31635,29113,13551,9330,30522,27735,18515,8172,40002,28655,29322,9741,40286,40861,22876, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),75,78,132,132,98,336,485,291,10,168,423,168,89,1063,587,441,382,252,2038,--, 
 收到的其他与经营活动有关的现金(万元),243493,669337,619007,385823,169105,641441,463643,274526,115573,622001,411636,255040,173751,820041,652470,400857,184120,603301,472292,323653, 
 经营活动现金流入小计(万元),270551,728348,657725,403200,179381,673412,493241,288369,124913,652692,439794,273724,182012,861106,681711,430620,194242,643839,515191,346529, 
 购买商品、接受劳务支付的现金(万元),9213,16427,13593,6465,2118,8369,7773,4003,2660,6729,9089,3280,1395,7432,5613,4037,1517,6999,7335,7274, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2835,8901,5507,3902,2555,6632,5129,3524,2231,5873,4670,3625,2019,5926,4612,3268,1995,4716,3740,2712, 
 支付的各项税费(万元),2191,7108,4489,3020,1171,5371,3734,2580,883,4224,3594,2268,1234,4588,3438,2310,841,4423,3444,4673, 
 支付的其他与经营活动有关的现金(万元),270245,739961,655326,383988,174879,673704,470418,281470,121399,634942,421730,268137,184635,823932,663539,419956,198666,598540,485116,302722, 
 经营活动现金流出小计(万元),284484,772398,678915,397375,180724,694076,487054,291577,127173,651768,439083,277311,189282,841878,677201,429571,203019,614678,499635,317381, 
 经营活动产生的现金流量净额(万元),-13933,-44050,-21189,5824,-1344,-20664,6187,-3209,-2260,923,711,-3587,-7269,19228,4510,1049,-8777,29161,15556,29148, 
 收回投资所收到的现金(万元),--,96863,128984,103983,42632,10587,5000,5000,5000,19000,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),209,690,1569,1333,702,538,320,196,110,114,--,--,--,--,--,--,--,40,--,3, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,50,338,--,--,6,--,--,--,2,2,2,2,--,--,--,--,1,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),92,161,--,--,--,3283,--,2937,--,115,115,115,--,285,170,170,55,60,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),301,97764,130890,105316,43334,14414,5320,8134,5110,19232,117,117,2,285,170,170,55,101,0,3, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),974,20054,6395,3318,2121,10332,7232,5757,4807,6609,7572,99,148,7022,5817,5069,1723,7163,6314,9236, 
