 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),50458,31478,15580,52029,37263,23403,11769,53352,66676,17591,52903,38529,32745, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),267,191,191,449,318,267,262,629,361,130,215,88,264, 
 收到的其他与经营活动有关的现金(万元),973,784,362,683,626,594,525,254,391,45,674,132,154, 
 经营活动现金流入小计(万元),51699,32453,16133,53161,38207,24264,12555,54235,67428,17766,53791,38749,33164, 
 购买商品、接受劳务支付的现金(万元),40309,26070,14193,37376,27656,17107,9039,39910,47236,13072,36075,36343,28139, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5281,3583,2029,5864,4513,3067,1563,5044,4505,1248,3847,2366,1499, 
 支付的各项税费(万元),2860,2080,623,3055,2319,994,544,3414,2374,863,4086,817,1751, 
 支付的其他与经营活动有关的现金(万元),3497,2487,1671,3798,2872,2297,1463,3731,4751,1096,3454,2964,2584, 
 经营活动现金流出小计(万元),51946,34220,18516,50093,37359,23465,12609,52098,58866,16279,47462,42490,33974, 
 经营活动产生的现金流量净额(万元),-248,-1767,-2382,3067,848,799,-54,2136,8562,1487,6329,-3741,-811, 
 收回投资所收到的现金(万元),40680,28520,14310,37890,27760,22780,14230,43450,6290,--,--,--,--, 
 取得投资收益所收到的现金(万元),74,21,7,89,56,50,23,115,33,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12,12,10,214,113,111,--,3,--,--,6,35,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,-159, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,51,--,163,1337,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),40767,28552,14327,38193,27928,22941,14253,43568,6374,0,168,1372,-159, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),757,591,484,1677,1514,934,394,1718,3405,1146,5204,6789,3133, 
 投资所支付的现金(万元),41640,33480,15270,37890,30910,22780,17840,43450,5990,990,300,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,1159,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),42397,34071,15754,39567,32424,23714,18234,45168,9395,2136,5504,7948,3133, 
 投资活动产生的现金流量净额(万元),-1631,-5519,-1427,-1374,-4496,-774,-3982,-1600,-3021,-2136,-5335,-6576,-3292, 
 吸收投资收到的现金(万元),26780,26780,26401,--,--,--,--,--,--,--,--,12355,628, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,6387,6335,6387,--,12000,5000,1000,9100,9930,5233, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),26780,26780,26401,6387,6335,6387,0,12000,5000,1000,9100,22285,5861, 
 偿还债务支付的现金(万元),--,--,--,14417,13232,8000,8000,4000,6500,1000,11700,6063,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),1709,1591,36,1674,1648,97,58,1083,1144,78,355,465,152, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),695,553,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),2404,2144,36,16091,14881,8097,8058,5083,7644,1078,12055,6528,1152, 
 筹资活动产生的现金流量净额(万元),24376,24636,26366,-9705,-8545,-1710,-8058,6917,-2644,-78,-2955,15757,4709, 
 汇率变动对现金及现金等价物的影响(万元),-318,-178,-37,373,162,86,-39,328,87,74,-94,14,45, 
 现金及现金等价物净增加额(万元),22179,17171,22519,-7638,-12031,-1599,-12133,7781,2985,-652,-2056,5454,652, 
 加:期初现金及现金等价物余额(万元),10459,10459,10459,18097,18097,18097,18097,10317,7332,7332,9388,3934,3282, 
 期末现金及现金等价物余额(万元),32639,27630,32978,10459,6066,16499,5964,18097,10317,6680,7332,9388,3934, 
 净利润(万元),--,2459,--,5694,--,2086,--,5386,5951,1865,6107,4969,4442, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,229,--,265,--,73,--,425,203,-10,254,540,356, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,670,--,1305,--,654,--,1260,992,239,701,398,341, 
 无形资产摊销(万元),--,66,--,132,--,66,--,129,123,31,122,96,20, 
 长期待摊费用摊销(万元),--,27,--,72,--,36,--,73,65,8,--,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-8,--,-7,--,-0,--,-0,--,0,-4,0,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,123,--,-171,--,-12,--,-142,69,3,449,451,107, 
 投资损失(万元),--,-53,--,-89,--,-50,--,-115,134,-37,-167,0,0, 
 递延所得税资产减少(万元),--,-28,--,-27,--,-5,--,-36,-20,5,-48,-280,-42, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2554,--,2586,--,1448,--,3084,-6650,-3960,-1753,468,-6266, 
 经营性应收项目的减少(万元),--,-2962,--,-8398,--,-3439,--,-2644,6355,1532,-4827,-8914,-6446, 
 经营性应付项目的增加(万元),--,265,--,1705,--,-58,--,-5282,1341,1811,5496,-1468,6676, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-1767,--,3067,--,799,--,2136,8562,1487,6329,-3741,-811, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),32639,27630,32978,10459,6066,16499,5964,18097,10317,6680,7332,9388,3934, 
 现金的期初余额(万元),10459,10459,10459,18097,18097,18097,18097,10317,7332,7332,9388,3934,3282, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),22179,17171,22519,-7638,-12031,-1599,-12133,7781,2985,-652,-2056,5454,652, 

