 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),51711,32806,15538,72883,43105,26127,10168,84114,52276,51856,19583,43665,50249,30343, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),15,15,--,3,3,3,3,0,0,207,207,--,--,--, 
 收到的其他与经营活动有关的现金(万元),119,67,32,975,892,833,14,216,7,151,113,494,193,55, 
 经营活动现金流入小计(万元),51846,32889,15571,73861,44000,26963,10185,84330,52283,52213,19902,44159,50442,30397, 
 购买商品、接受劳务支付的现金(万元),30968,21519,11031,52604,37339,27810,16885,63338,37833,32911,16299,29357,37425,22748, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7241,4134,1985,8284,5979,3579,1788,8321,6085,6945,3051,5834,5057,3026, 
 支付的各项税费(万元),3354,2249,1119,6324,3951,2469,502,4889,4222,3319,1427,3664,5492,2217, 
 支付的其他与经营活动有关的现金(万元),5322,3593,1742,4731,4961,2077,1252,6963,5302,4196,1715,2542,2228,1598, 
 经营活动现金流出小计(万元),46885,31496,15877,71942,52230,35935,20426,83511,53443,47371,22492,41397,50202,29589, 
 经营活动产生的现金流量净额(万元),4960,1393,-306,1918,-8230,-8971,-10241,819,-1160,4842,-2590,2762,240,808, 
 收回投资所收到的现金(万元),66164,40300,9950,--,--,--,--,--,--,--,--,--,1300,--, 
 取得投资收益所收到的现金(万元),410,207,--,--,--,--,--,--,--,--,--,--,3,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,7,--,9,10,9,--,2,2,0,--,1,--,5, 
 处置子公司及其他营业单位收到的现金净额(万元),100,--,--,400,100,100,--,639,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,34,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),66685,40513,9984,409,110,109,0,641,2,0,0,1,1303,5, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8022,5794,1876,1245,930,891,622,1390,446,4497,4125,841,1178,727, 
 投资所支付的现金(万元),92888,61655,34850,--,--,--,--,--,--,--,--,--,--,1300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,2550,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),100909,67449,39276,1245,930,891,622,1390,446,4497,4125,841,1178,2027, 
 投资活动产生的现金流量净额(万元),-34224,-26936,-29292,-836,-820,-782,-622,-749,-444,-4497,-4125,-839,125,-2022, 
 吸收投资收到的现金(万元),--,--,--,31823,15100,--,--,--,10000,--,--,--,5500,1000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,16100,--,11600,8500,10000,--,7500,5000,7051,6817,11438, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),894,2023,1394,220,1210,1121,1465,--,--,42,--,1334,170,10, 
 筹资活动现金流入小计(万元),894,2023,1394,48143,16310,12721,9965,10000,10000,7542,5000,8385,12487,12447, 
 偿还债务支付的现金(万元),3000,1000,--,17600,6500,3000,1000,8400,3900,8150,3300,7792,9539,7487, 
 分配股利、利润或偿付利息所支付的现金(万元),3241,3210,46,606,448,272,108,437,309,375,140,509,645,325, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),92,41,--,90,231,125,67,2067,4250,2295,490,139,1153,625, 
 筹资活动现金流出小计(万元),6333,4251,46,18296,7180,3397,1176,10904,8459,10820,3930,8439,11337,8437, 
 筹资活动产生的现金流量净额(万元),-5440,-2228,1347,29847,9130,9323,8790,-904,1541,-3278,1070,-55,1149,4010, 
 汇率变动对现金及现金等价物的影响(万元),-17,-15,-4,37,9,9,-2,22,14,8,2,-2,-0,-0, 
 现金及现金等价物净增加额(万元),-34720,-27786,-28254,30968,89,-420,-2076,-812,-49,-2925,-5642,1866,1514,2796, 
 加:期初现金及现金等价物余额(万元),36874,36874,36874,5906,5906,5906,5906,6718,6718,9643,9643,7777,6263,3468, 
