 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),116179,95461,58819,30551,125219,95242,60503,27705,106382,70635,43822,20898,69431,51298,33679,17799,80013,57694,35570,16286,70034,52683,33410,16135,61752,55557,39419,14479,80518,60379,40001,18839,78796,57237,37674,17400,52333,34688,20880,9717,51969,36658,22823,10685,46552,34965,2464,11273,43908,31975,1338,10116, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 收到的税费返还(万元),1857,1125,372,165,2774,2593,1911,588,2811,2265,1614,732,2919,2042,1659,1007,3328,2741,1421,623,3157,2547,1403,674,4344,3188,1825,695,5371,4341,2835,1328,4687,3569,2138,979,2275,1457,741,284,1773,1284,566,--,2365,1755,971,594,1794,1355,708,145, 
 收到的其他与经营活动有关的现金(万元),3486,1663,1204,218,1224,666,367,333,6456,6739,5912,4237,2558,1813,1362,581,22418,22046,20962,563,3307,2343,888,541,2634,2657,2107,586,1357,546,463,153,4137,3545,1057,479,878,266,247,203,434,160,97,72,772,163,145,140,348,173,234,86, 
 经营活动现金流入小计(万元),121522,98250,60395,30934,129217,98501,62780,28625,115650,79639,51348,25868,74908,55154,36700,19387,105759,82480,57953,17471,76499,57574,35702,17350,68730,61403,43350,15759,87246,65265,43300,20319,87620,64351,40869,18858,55486,36411,21867,10204,54176,38102,23486,10757,49690,36882,23580,12008,46049,33503,22280,10347, 
 购买商品、接受劳务支付的现金(万元),70423,65372,43466,23522,77621,65424,40263,17239,73517,47264,30072,13515,43950,33635,20947,10934,51570,36625,23648,10844,51993,40303,27029,12018,47126,46036,32523,10987,62602,47444,30439,14858,65584,47282,30711,13520,38705,24050,13907,6878,42433,32964,19997,10508,41895,30519,19190,9351,37976,28426,18062,8608, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--, 
 支付给职工以及为职工支付的现金(万元),22092,16717,11386,6330,21061,15127,10035,5164,16966,12688,8445,4349,17393,13397,9327,5034,18161,13886,9292,4569,14809,10999,7143,3727,13360,9604,6420,3454,11824,8776,5999,3083,9547,7035,4631,2502,6070,4540,2964,1457,6261,5169,3508,1962,4788,4417,3041,1719,4544,3449,1800,1458, 
 支付的各项税费(万元),5767,4438,3050,1681,5475,3988,2192,1293,2973,2055,1029,408,1404,1347,854,385,1551,1345,773,341,1776,1419,793,206,1042,945,656,259,1326,1080,653,88,1201,916,551,4,671,439,308,13,210,218,132,3,392,278,131,26,384,326,234,75, 
 支付的其他与经营活动有关的现金(万元),9008,5879,3769,3458,9957,11047,9324,1020,5288,3274,2318,1052,4006,3149,2056,872,4041,2816,1677,731,21130,2449,2161,819,3786,5635,4433,956,3086,1779,1253,447,2210,2044,1305,410,1908,1327,2288,288,1330,792,550,278,2123,700,1036,305,1142,591,957,169, 
 经营活动现金流出小计(万元),107290,92405,61671,34990,114113,95586,61814,24716,98743,65281,41863,19325,66752,51527,33183,17225,75323,54672,35389,16485,89708,55170,37126,16770,65314,62220,44032,15656,78837,59080,38344,18476,78542,57277,37198,16437,47354,30355,19467,8635,50233,39144,24186,12751,49198,35914,23398,11400,44045,32792,21053,10310, 
