 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),50395,30989,14769,60711,44141,29152,12788,56686,42864,57223,47043,49594,41442, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1931,1544,1062,1663,1505,851,461,2173,1867,2642,2326,2706,2125, 
 收到的其他与经营活动有关的现金(万元),5342,5203,4790,1393,1086,837,621,1146,885,1884,1026,972,1551, 
 经营活动现金流入小计(万元),57668,37735,20622,63766,46732,30840,13870,60005,45617,61750,50396,53272,45118, 
 购买商品、接受劳务支付的现金(万元),41019,27421,12883,45357,33483,22446,9079,44365,34080,45219,38361,42728,32869, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3923,2611,1217,4488,3271,2236,982,3872,2846,3329,2904,2577,1769, 
 支付的各项税费(万元),1360,897,531,1285,1002,564,250,1158,850,444,1051,1197,667, 
 支付的其他与经营活动有关的现金(万元),2990,2415,1836,8925,7354,5812,5427,4301,3430,4240,3596,3388,3370, 
 经营活动现金流出小计(万元),49292,33344,16467,60054,45110,31058,15738,53696,41207,53232,45912,49890,38676, 
 经营活动产生的现金流量净额(万元),8376,4391,4155,3712,1623,-218,-1869,6309,4410,8518,4484,3382,6442, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),208,40,25,60,60,60,60,272,139,324,190,176,28, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,17,1,1,--,6,5,21,--,10,50, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),17500,4000,500,2000,2000,2000,2000,13370,8370,24830,21400,19740,10100, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),17709,4040,525,2077,2061,2061,2060,13648,8514,25175,21590,19926,10178, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3105,664,519,1828,1442,1168,1026,6253,4424,4031,1238,3869,2095, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),35000,14500,8000,500,500,500,500,7000,6000,27200,23700,20200,13340, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),38105,15164,8519,2328,1942,1668,1526,13253,10424,31231,24938,24069,15435, 
 投资活动产生的现金流量净额(万元),-20397,-11124,-7994,-250,119,393,535,395,-1909,-6056,-3348,-4143,-5257, 
 吸收投资收到的现金(万元),794,794,794,21025,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,50,50,660,6868,150,3100, 
