 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),96078,80979,47638,17611,73336,57733,41080,14694,68849,46276,31543,12972,50927,39537,24706,11479,44363,30216,22578,8958,45193,34539,22235,10479,36100,30221,21241,30029,29682,20048, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,52,--,--,--,--,0,0,--,2,--,--,--,--,--,--,--,25,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1569,1623,1239,113,1131,899,129,82,1622,1642,302,40,776,543,466,260,3036,3084,196,38,410,380,288,212,245,211,195,1341,669,77, 
 经营活动现金流入小计(万元),97647,82602,48878,17724,74519,58632,41209,14775,70471,47918,31846,13012,51704,40081,25172,11740,47399,33300,22775,8997,45628,34919,22523,10692,36345,30432,21436,31371,30351,20125, 
 购买商品、接受劳务支付的现金(万元),55330,45360,28921,13572,45908,34241,21504,11170,40661,24843,17527,9743,27276,22813,14225,7125,24834,15172,8742,5544,30340,20470,13027,7124,18638,18696,11739,21740,23001,11131, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12126,8634,5817,2637,9968,7484,5264,2790,8425,5865,4027,2109,6135,4262,2866,1268,4807,3502,2302,1090,4524,3142,2054,963,3507,2299,1541,2553,1494,1103, 
 支付的各项税费(万元),5615,4514,3241,1708,6567,4756,3108,2000,6435,4731,2461,1338,5438,4183,2691,1035,4851,4150,2574,1445,4948,4521,2773,1166,3929,3319,2232,3602,2968,2209, 
 支付的其他与经营活动有关的现金(万元),5606,3418,2081,898,4405,2866,1548,839,2961,2948,1704,872,3670,2581,1556,648,2588,1799,1375,399,2471,1566,1128,512,2124,1213,808,1677,1980,1931, 
 经营活动现金流出小计(万元),78676,61926,40060,18814,66849,49348,31424,16799,58482,38388,25720,14062,42520,33838,21339,10075,37080,24623,14993,8478,42283,29699,18982,9764,28198,25527,16321,29572,29442,16375, 
 经营活动产生的现金流量净额(万元),18971,20675,8818,-1091,7670,9284,9784,-2024,11989,9530,6126,-1051,9185,6243,3834,1665,10319,8678,7782,518,3345,5220,3541,927,8147,4905,5115,1798,909,3751, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3723,317, 
