 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),46050,28418,45022,29752,52269,24179,49351,42936,37960, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1,1,55,4,--,--,1,--,--, 
 收到的其他与经营活动有关的现金(万元),1052,1458,1107,809,870,548,3327,149,222, 
 经营活动现金流入小计(万元),47104,29877,46184,30564,53139,24727,52680,43085,38182, 
 购买商品、接受劳务支付的现金(万元),27326,12406,22537,12954,29458,12248,33694,26012,25456, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4648,3492,5408,3742,4588,2302,4182,2927,2303, 
 支付的各项税费(万元),3922,2252,4382,3220,5256,2523,3852,3388,2466, 
 支付的其他与经营活动有关的现金(万元),6652,4936,8292,6285,6693,3917,7449,6956,6559, 
 经营活动现金流出小计(万元),42548,23085,40618,26201,45995,20989,49177,39282,36783, 
 经营活动产生的现金流量净额(万元),4556,6792,5566,4364,7145,3738,3502,3803,1399, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,1,3,1,2,--,13,4,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,158,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2,1,160,1,2,0,13,4,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5456,4189,3927,2547,4354,2196,2728,843,1699, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,3492,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
