 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1406375,784698,502757,165295,1329603,905367,610246,284149,1579769,985378,654303,211099,1504275,899625,644777,357116,1392518,932701,616507,257880,1464317,910747,616555,242769,1309361,793009,526969,187629,1369631,865190,543527,248223,1377834,853950,576604,227483,1222449,766229,494060,183730,1315592,1138293,847871, 
 客户存款和同业存放款项净增加额(万元),-8229,-6485,-1771,-19775,12322,20536,9848,-30453,-17440,-9803,-24169,-18470,26629,69278,62435,-15371,9118,3902,11581,-17550,6300,-9215,-11736,-5011,-24477,-25680,-22289,-25567,20144,-6134,4906,-11415,3935,3707,10271,--,25070,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,-2000,-1000,-1000,-1000,-1000,-300,-300,--,-1000,-300,-300,--,-1000,-200,-200,--,-900,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),-59500,-29500,-29500,500,93159,99836,107876,53903,-123076,-61991,3009,-33970,32531,30331,40680,40680,-14675,12342,8440,-3890,1560,--,0,0,--,10000,50000,30000,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),26188,16265,11520,5199,24267,17981,11848,6112,19494,14737,8297,6046,20859,16384,11281,3970,15699,11654,8982,4340,7373,4773,2711,1416,7707,5897,3265,2272,7336,4731,3571,1545,2621,1174,821,599,1112,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60000,--,10000,--,--,0,--,0,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30000,--,--,0,20000,0,0,0,0,0,0,0, 
 收到的税费返还(万元),14606,11921,7830,4035,5385,4606,3821,2879,13090,7274,3379,2895,12448,11634,4490,3730,7264,3865,1977,989,15116,11896,7954,1016,15605,20140,2522,657,11393,9850,7140,3143,9104,7917,5024,927,12007,10543,9044,7182,4192,3175,1945, 
 收到的其他与经营活动有关的现金(万元),47085,34493,25710,7036,37226,74622,62250,15024,62520,44612,55904,12010,58001,33272,27746,6931,47854,37138,27242,18620,57911,31378,20618,13406,33350,22824,12165,5807,39234,34482,28822,13487,34812,25836,33544,5516,51626,73128,20001,16590,35184,59207,2591, 
 经营活动现金流入小计(万元),1426526,811392,516546,162289,1501962,1122947,805889,331615,1534357,980207,700724,179609,1654743,1060524,791410,397056,1457778,1001603,674728,260390,1550577,948577,635103,252597,1340546,825891,572332,200797,1446739,967819,587667,294983,1427306,892386,626063,254526,1311363,849900,523104,207502,1354968,1200676,852407, 
 购买商品、接受劳务支付的现金(万元),965682,735416,508884,227495,1079389,819626,586429,280575,1027102,776329,512711,237414,979422,721566,530356,249376,1056735,773114,548343,282016,1075233,753656,508256,237439,957231,689673,447479,200043,1053881,760188,498018,238897,1093322,761227,497714,242534,899699,636755,398140,182072,927027,985647,588275, 
 客户贷款及垫款净增加额(万元),92908,56654,38759,1000,18800,16737,26204,6183,1951,-2402,3258,12696,-16289,-24042,-8161,-2945,-5991,-8383,-4622,-3277,16600,10778,523,-745,-41020,-41549,-18158,-17049,36792,28325,46971,22622,8925,4515,34954,20104,3710,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),-5249,-7470,71,143,-6785,-2193,-3633,4991,504,-889,916,-2177,-34996,-38990,-3895,-2840,257,-17135,-26314,-8276,46314,-8739,-4234,-14906,-27929,-34256,-23600,-5400,15007,-10080,1120,1120,34404,5575,4385,-6147,14448,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),735,757,328,110,963,716,427,252,1822,1430,1082,181,1723,972,636,236,407,262,204,137,267,200,124,48,281,224,139,45,262,144,105,52,454,348,234,101,498,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),205398,137555,91582,46461,203799,133722,88760,49253,187343,130300,87013,45574,180986,122554,79019,42217,165150,116335,73658,39844,148879,103234,68827,38908,134776,92013,60499,34087,126974,85606,55986,29614,112537,69217,44817,23336,105895,64980,40621,20014,98301,78613,61883, 
 支付的各项税费(万元),85904,61285,50286,24928,113857,91479,68627,34582,107045,75568,55174,30975,102130,68206,48990,29342,101753,74595,46979,22940,83999,57746,36944,17384,65431,37473,27555,18950,80989,58020,46634,27902,104980,81553,61448,32434,105211,88167,59925,22573,96862,65188,34031, 
