 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),22221,15388,7498,29528,20384,11342,4811,23258,17665,--,4934,24085,21345,17974,15979,7913,8963,6169,3039, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),283,245,168,193,132,75,66,39,13,--,--,158,68,19,24,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),256,155,71,352,255,96,225,226,261,--,206,499,280,56,265,154,695,1159,206, 
 经营活动现金流入小计(万元),22760,15788,7737,30074,20771,11513,5101,23523,17939,--,5140,24742,21693,18049,16268,8067,9658,7328,3246, 
 购买商品、接受劳务支付的现金(万元),18280,11545,5593,19109,15074,7022,3751,16409,12923,--,3590,15846,13676,10805,11533,4067,5184,3234,1592, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),3062,2010,971,3660,2676,1805,921,3443,2589,--,882,2844,2268,1661,1521,425,549,469,303, 
 支付的各项税费(万元),799,563,291,1570,1087,605,333,1203,911,--,247,1323,1206,1326,1279,750,854,369,175, 
 支付的其他与经营活动有关的现金(万元),665,465,78,1058,735,432,518,784,657,--,230,681,624,546,488,323,396,634,151, 
 经营活动现金流出小计(万元),22806,14583,6933,25396,19571,9863,5523,21840,17080,--,4950,20693,17774,14339,14821,5565,6982,4706,2221, 
 经营活动产生的现金流量净额(万元),-46,1205,805,4678,1200,1650,-422,1684,859,566,191,4049,3918,3710,1448,2502,2675,2623,1025, 
 收回投资所收到的现金(万元),38051,25148,11800,10724,6024,6077,1802,19020,15020,--,4800,25800,14200,47381,49670,0,0,0,0, 
 取得投资收益所收到的现金(万元),370,243,74,69,33,33,3,159,178,--,42,280,91,342,188,0,0,0,0, 
