 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),79122,51021,32672,88520,70721,41728,21050,75562,60120,35751,19835,75733,72228,63841,58741, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),657,309,186,1263,499,92,768,913,127,32,274,340,181,253,50, 
 经营活动现金流入小计(万元),79779,51330,32859,89782,71221,41820,21818,76475,60247,35782,20109,76073,72409,64094,58790, 
 购买商品、接受劳务支付的现金(万元),56613,38253,21143,54074,45382,26806,10025,48544,42847,24109,13388,50493,51041,48334,41563, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4622,2911,2118,5318,4729,3296,1840,3979,3097,1954,1007,3938,3865,2557,1618, 
 支付的各项税费(万元),7481,5768,1885,9085,5786,4243,1678,7487,5446,4343,1453,5088,5817,3799,3663, 
 支付的其他与经营活动有关的现金(万元),4393,3292,1086,5934,3762,2930,1786,5299,3455,2724,1825,5187,5331,4535,3890, 
 经营活动现金流出小计(万元),73108,50223,26232,74411,59660,37275,15329,65309,54844,33129,17673,64705,66053,59225,50735, 
 经营活动产生的现金流量净额(万元),6670,1107,6627,15371,11560,4545,6489,11166,5403,2653,2436,11368,6356,4869,8056, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,199,50,7,7,3,--,--,--,3,--,3,341, 
 处置子公司及其他营业单位收到的现金净额(万元),780,780,100,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,856, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),780,780,100,199,50,7,7,3,0,0,0,3,0,3,1197, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3984,2542,2355,17005,9254,5023,1021,2177,1561,1162,37,3813,1822,3889,7029, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,665,394, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,236,--,--,--,--,--,--,--,--,--,313,140, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3984,2542,2355,17240,9254,5023,1021,2177,1561,1162,37,3813,1822,4867,7564, 
 投资活动产生的现金流量净额(万元),-3204,-1762,-2255,-17041,-9204,-5016,-1014,-2174,-1561,-1162,-37,-3810,-1822,-4864,-6366, 
 吸收投资收到的现金(万元),--,--,--,33755,32403,32403,33297,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,1916,--,--,1916,5939,--,--,--,9552,6800,11500,18372, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,1351,1351,--,--,--,--,--,--,--,7025,--, 
 筹资活动现金流入小计(万元),0,0,0,35671,33755,33755,35213,5939,0,0,0,9552,6800,18525,18372, 
 偿还债务支付的现金(万元),--,--,--,9255,6339,5339,--,7250,2500,--,--,7702,9500,20378,6953, 
 分配股利、利润或偿付利息所支付的现金(万元),3757,3496,--,206,106,186,115,516,330,282,135,5052,3417,784,2829, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,878,1335,863,--,--,--,--,--,--,107,--,4966, 
 筹资活动现金流出小计(万元),3757,3496,0,10339,7780,6387,115,7766,2830,282,135,12754,13023,21162,14748, 
 筹资活动产生的现金流量净额(万元),-3757,-3496,0,25332,25975,27368,35098,-1827,-2830,-282,-135,-3202,-6223,-2637,3624, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,71, 
 现金及现金等价物净增加额(万元),-291,-4152,4372,23663,28331,26896,40573,7164,1012,1209,2263,4356,-1689,-2632,5384, 
 加:期初现金及现金等价物余额(万元),40012,40012,40012,16349,16349,16349,16349,9185,9185,9185,9185,4829,6518,9150,3766, 
 期末现金及现金等价物余额(万元),39721,35860,44384,40012,44680,43245,56922,16349,10197,10393,11448,9185,4829,6518,9150, 
 净利润(万元),--,7548,--,11315,--,5893,--,8347,--,4749,--,6673,5952,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,52,--,1591,--,55,--,243,--,125,--,77,139,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,419,--,944,--,472,--,952,--,485,--,999,1024,--,--, 
 无形资产摊销(万元),--,120,--,237,--,118,--,248,--,123,--,231,212,--,--, 
 长期待摊费用摊销(万元),--,2,--,50,--,27,--,51,--,25,--,4,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,52,--,49,--,44,--,--,--,17,66,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,-133,--,101,--,81,--,304,--,180,--,427,401,--,--, 
 投资损失(万元),--,--,--,-412,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-97,--,-714,--,-62,--,-217,--,-38,--,-68,-93,--,--, 
 递延所得税负债增加(万元),--,0,--,-6,--,-3,--,-6,--,-3,--,-6,-10,--,--, 
