 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),7071,25583,16437,7219,1881,24130,21405,13009,5380,15753,10752,6551,4152,15689,13007,9237,16612,19783,14641, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,40,40,--,--,384,332,332,194,359,122,40,--,137,51,32,177,2,--, 
 收到的其他与经营活动有关的现金(万元),506,1572,1944,1799,649,1249,1663,818,345,1322,316,279,86,1357,659,702,1396,1507,964, 
 经营活动现金流入小计(万元),7577,27195,18421,9019,2530,25764,23399,14159,5919,17433,11191,6869,4238,17183,13717,9970,18186,21291,15605, 
 购买商品、接受劳务支付的现金(万元),2080,16321,11190,7104,4416,15979,16348,9710,3547,11024,7445,4556,1961,6012,4139,2568,9309,7689,9650, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1766,5691,4169,2859,1449,5161,3479,2383,1327,4412,3328,2270,1132,3810,2736,1822,3044,2679,2153, 
 支付的各项税费(万元),1745,1746,1685,1478,42,1409,1397,1294,437,2553,1893,1533,649,1983,1878,1664,2135,2539,606, 
 支付的其他与经营活动有关的现金(万元),968,2475,1864,1593,999,2546,1895,1418,325,2116,1257,902,843,1635,758,581,1923,2254,1505, 
 经营活动现金流出小计(万元),6559,26234,18908,13033,6906,25094,23118,14805,5636,20104,13923,9262,4586,13440,9512,6635,16411,15161,13914, 
 经营活动产生的现金流量净额(万元),1018,961,-488,-4015,-4376,670,281,-646,283,-2671,-2732,-2393,-348,3744,4205,3335,1774,6131,1691, 
