 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),36302,169113,99966,62407,28740,87794,41208,23958,9384,59690,35608,21993,10032,49289,33533,22548,9446,31523,23440,12902,4339,25445,16846,12220,24418,18126,9651, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2282,4888,3460,2406,791,2749,1090,657,333,2412,1575,1048,307,2356,1566,972,184,2227,1504,601,107,1717,573,573,1407,924,336, 
 收到的其他与经营活动有关的现金(万元),1570,831,1710,922,1835,552,813,87,606,1898,1798,1714,1610,1616,1058,979,559,916,841,355,264,351,846,115,313,11,1264, 
 经营活动现金流入小计(万元),40154,174832,105136,65735,31366,91096,43111,24702,10323,64000,38981,24755,11949,53261,36157,24500,10188,34666,25785,13858,4711,27513,18265,12909,26138,19061,11251, 
 购买商品、接受劳务支付的现金(万元),21082,59683,49494,28751,12380,30813,23101,15198,8392,29951,21722,14300,7241,24110,19698,14525,6952,10948,11465,7969,3381,9532,10200,5622,9077,5864,5456, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7238,19217,14111,9748,5302,11410,6765,4843,2692,7839,6355,3926,2213,6615,4715,3187,1285,3999,2932,1868,707,3098,2393,1532,2021,1237,880, 
 支付的各项税费(万元),8338,22765,16215,11772,5119,9983,5185,3008,1287,7282,5597,3385,1673,6880,4883,3211,1464,6169,3890,2168,791,4133,2817,1552,2355,1782,733, 
 支付的其他与经营活动有关的现金(万元),5535,26720,8414,6549,5612,12930,4162,2340,2591,9454,7229,5276,2734,7551,6682,2709,3693,7494,5975,3240,3232,6359,3664,1931,5256,4783,2767, 
 经营活动现金流出小计(万元),42192,128384,88234,56819,28414,65136,39214,25389,14962,54525,40902,26887,13862,45156,35978,23632,13394,28610,24262,15245,8112,23122,19073,10636,18708,13666,9835, 
 经营活动产生的现金流量净额(万元),-2038,46448,16902,8916,2952,25959,3898,-687,-4638,9475,-1921,-2133,-1913,8104,180,868,-3205,6056,1523,-1386,-3401,4392,-808,2272,7430,5395,1415, 
 收回投资所收到的现金(万元),83400,184500,101800,72300,40000,76700,55700,38400,30400,156382,116382,74199,15199,88100,61000,42600,19000,--,18700,1000,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),1324,2816,1641,1287,743,1017,1013,926,384,1231,985,728,415,950,820,747,66,389,352,316,315,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),56,66,91,74,34,14,0,0,0,0,0,0,0,16,22,6,2,12,1,1,1,--,--,--,320,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,1100,1100,--,--,80,80,--,623,559,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,241,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,314,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),84780,187382,104632,74761,40777,77972,56793,39406,30784,158237,117926,74927,15614,89066,61842,43353,19068,401,19053,1317,316,0,0,0,634,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3027,8546,6049,4821,3586,4053,2207,1242,379,3553,1431,2044,152,4736,1960,1014,190,2286,2798,2063,597,3193,2234,1228,3374,1712,365, 
 投资所支付的现金(万元),96800,214500,137142,92172,36760,77581,37000,27500,22000,188226,135882,74699,20699,91700,63900,44000,21400,4600,24200,3500,--,6426,--,--,--,500,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,3349,4275,2125,2125,73193,6676,6639,1300,--,12080,12080,12000,2183,1335,841,470,7497,6921,--,--,--,--,--,--,1500,419, 
 支付的其他与投资活动有关的现金(万元),160,117,2623,521,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,300,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
