 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),26898,86677,63882,40940,16371,67915,52422,31488,15908,49848,33846,19309,10215,39600,32134,19090,8850,51362,32180,21138,9474,44004,28355,18424,8929,37793,28911,18165,8278,40088,31467,16445,34763,23106,26022, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),697,2799,1804,1355,582,2495,1887,1261,563,2490,2081,731,359,2476,739,442,288,1640,1303,1033,636,981,638,214,100,539,241,89,54,1020,919,545,617,1006,552, 
 收到的其他与经营活动有关的现金(万元),979,6336,3897,3301,1682,3867,3124,1976,530,4311,1611,1742,1609,2258,1531,885,439,1957,3382,3896,997,2905,1700,705,225,2580,1593,405,174,727,796,204,1784,192,44, 
 经营活动现金流入小计(万元),28574,95812,69583,45596,18635,74278,57433,34725,17001,56649,37538,21782,12183,44334,34404,20417,9577,54959,36864,26067,11107,47891,30693,19344,9254,40913,30745,18659,8506,41835,33182,17194,37164,24303,26618, 
 购买商品、接受劳务支付的现金(万元),9771,46334,42783,30510,12005,38097,34708,21463,9706,30566,18382,11623,6077,25917,22574,12993,5897,30588,15929,11755,4948,30377,22496,14545,5354,25642,20727,14969,6336,30135,26266,14257,26881,16314,21680, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3328,11502,7772,5166,2617,8501,5252,3434,1917,6978,5175,3463,1668,5520,4243,3335,1552,6185,4274,3097,1807,6231,3482,2979,1357,4886,2998,1876,1540,3790,2763,1794,2465,1572,1086, 
 支付的各项税费(万元),2448,9521,6403,4320,1828,7714,5076,3570,1362,5001,3777,2282,975,1933,1526,1134,507,1674,1602,1414,797,1060,970,608,318,1601,1434,998,491,1493,1108,633,1455,455,875, 
 支付的其他与经营活动有关的现金(万元),3684,14753,8331,5243,3539,7600,8939,4368,2877,6389,3710,3601,1928,4103,2876,1990,1242,3071,4115,3748,1587,9487,5681,5492,965,4315,2925,2688,1197,2362,3450,1532,2162,3808,1856, 
 经营活动现金流出小计(万元),19231,82109,65288,45239,19988,61912,53974,32835,15862,48934,31045,20970,10649,37474,31219,19451,9198,41518,25920,20014,9138,47154,32629,23624,7994,36444,28085,20532,9563,37780,33587,18216,32963,22150,25497, 
 经营活动产生的现金流量净额(万元),9342,13702,4295,357,-1353,12366,3459,1890,1139,7716,6493,813,1535,6860,3185,966,379,13441,10944,6053,1969,737,-1935,-4280,1260,4469,2660,-1872,-1058,4054,-405,-1022,4202,2154,1121, 
 收回投资所收到的现金(万元),--,272,172,--,--,1680,1405,585,--,--,--,--,--,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),8,45,275,203,148,330,168,--,--,61,61,54,--,--,15,--,--,--,--,--,--,68,68,26,--,8,--,--,--,43,9,9,11,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,5926,883,883,--,2816,2049,2519,3,13,9,5,2,678,1385,475,475,135,27,20,--,266,--,--,--,--,--,--,--,2,2,2,30,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),6472,49,7590,7460,360,--,262,--,--,10500,5000,10000,5028,6648,693,693,693,3292,2922,100,2055,10324,19914,15231,--,418,--,--,--,--,--,--,--,--,283, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6480,6292,8920,8546,508,4851,3884,3104,3,10574,5070,10059,5030,7373,2092,1168,1168,3427,2949,120,2055,10658,19981,15257,0,426,0,0,0,45,12,12,41,0,283, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9629,9738,4708,2788,1423,14672,5084,2727,937,5831,6041,3173,3861,10032,7849,5347,2576,11367,9094,6702,5636,17975,12044,9133,4081,25516,19021,8500,3758,9175,6668,5035,3875,3790,7807, 
 投资所支付的现金(万元),150,350,200,--,--,1110,--,--,--,5000,6320,5655,5655,5000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,16557,19557,--,--,1171,--,--,--,1608,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,664,--,--, 
 支付的其他与投资活动有关的现金(万元),3860,6000,9033,9000,5000,5679,1598,3000,--,5500,--,5000,5500,10000,15023,15023,--,351,376,376,399,270,9014,9014,1937,10224,22,--,--,--,--,--,--,--,478, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),13640,16088,13941,11788,6423,38018,26239,5727,937,17503,12361,13829,15016,26640,23871,21370,2576,11718,9470,7079,6036,18245,21058,18147,6017,35739,19043,8500,3758,9175,6668,5035,4540,3790,8285, 
 投资活动产生的现金流量净额(万元),-7160,-9796,-5021,-3242,-5915,-33167,-22355,-2623,-935,-6928,-7291,-3770,-9987,-19268,-21779,-20202,-1408,-8291,-6521,-6959,-3980,-7587,-1077,-2890,-6017,-35313,-19043,-8500,-3758,-9130,-10157,-5023,-4498,-3790,-8002, 
 吸收投资收到的现金(万元),--,--,--,--,--,12772,--,--,--,149,149,100,--,43864,44000,44000,--,--,--,--,--,490,490,--,--,--,--,--,--,57597,--,--,4000,--,2, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,124,--,--,--,149,149,100,--,--,--,--,--,--,--,--,--,490,490,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,5550,11300,11300,--,28508,22711,5711,--,--,--,--,--,--,--,--,--,800,800,800,--,3000,4000,3000,--,3420,7145,106,550,20367,17286,13586,12200,6457,5571, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),6788,26714,10489,--,6334,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,640,--,--,--,--,--,--,1894,3202, 
 筹资活动现金流入小计(万元),6788,32264,21789,11300,6334,41280,22711,5711,0,149,149,100,0,43864,44000,44000,0,800,800,800,0,3490,4490,3000,0,3420,7785,106,550,77964,17286,13586,16200,8351,8776, 
 偿还债务支付的现金(万元),50,23055,24810,17810,6511,14954,9205,5600,--,--,--,--,--,800,800,800,--,2000,2000,2000,500,1827,2831,827,827,4332,7095,80,--,29278,11693,9966,6308,5765,1431, 
 分配股利、利润或偿付利息所支付的现金(万元),4,3682,3602,3482,200,2235,1888,1781,--,1489,1479,1479,--,713,713,713,12,763,754,48,30,1681,1647,1079,4,2211,2332,2329,25,731,525,296,418,245,162, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8000,17005,--,--,--,14452,--,--,--,--,--,--,--,--,136,--,--,--,--,--,--,--,--,--,0,--,640,--,--,640,--,--,4871,--,--, 
 筹资活动现金流出小计(万元),8054,43742,28412,21292,6711,31641,11093,7381,0,1489,1479,1479,0,1513,1649,1513,12,2763,2754,2048,530,3508,4478,1906,831,6543,10067,2409,25,30650,12218,10262,11598,6011,1592, 
