 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),1508867,8107121,5600418,3471321,1480493,6374282,4652119,3028460,1384054,6125436,3985792,2382756,987032,4342156,2968519,4449361,3852176, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1496,37992,3783,3579,403,13356,--,--,--,510,1,--,--,59,2757,4747,12, 
 收到的其他与经营活动有关的现金(万元),75377,396466,1760315,1070820,1044926,1760268,1921864,652795,292812,670322,766156,523108,257548,876888,693445,673037,758974, 
 经营活动现金流入小计(万元),1585740,8541580,7364517,4545720,2525821,8147906,6573983,3681255,1676866,6796267,4751950,2905864,1244580,5219103,3664720,5127145,4611162, 
 购买商品、接受劳务支付的现金(万元),1110758,6133363,3608730,2350055,1844235,5345460,4282506,2264175,1005776,3961546,2818711,1814853,1009132,3838130,2611244,3171125,2097049, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),153389,375854,282329,207900,137331,331119,251122,187486,127950,260404,193315,146357,89509,237336,162637,204042,155073, 
 支付的各项税费(万元),440574,1460402,1249873,958033,431955,1111796,893010,691285,382278,1165423,976006,769376,281264,862777,719027,902044,885673, 
 支付的其他与经营活动有关的现金(万元),796188,1042829,3728644,2200626,1223818,2631005,1604970,1163835,318202,1200467,1146760,981857,566720,774995,630302,588053,736740, 
 经营活动现金流出小计(万元),2500909,9012448,8869576,5716613,3637338,9419380,7031608,4306781,1834206,6587840,5134791,3712442,1946626,5713237,4123210,4865264,3874534, 
 经营活动产生的现金流量净额(万元),-915169,-470869,-1505059,-1170893,-1111517,-1271474,-457625,-625526,-157340,208427,-382841,-806578,-702045,-494134,-458490,261882,736628, 
 收回投资所收到的现金(万元),201490,--,--,--,--,12681,12558,12575,1352,151741,103063,102564,0,1442,--,417,42929, 
 取得投资收益所收到的现金(万元),10401,30280,11135,7836,--,26661,17418,14368,4763,52287,41713,40864,2400,2761,4136,33261,2878, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,85,66,48,32,1319,23,11,6,100,85,74,1,383,376,1327,7894, 
 处置子公司及其他营业单位收到的现金净额(万元),298985,101864,101139,101139,101139,303746,152348,152348,--,4842,4925,4826,181,75753,75584,--,--, 
 收到的其他与投资活动有关的现金(万元),389820,747873,87806,9303,--,526664,5000,--,--,126751,63024,63024,--,353,--,800,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),900702,880103,200146,118326,101171,871071,187347,179302,6122,335720,212809,211351,2581,80692,80096,35805,53701, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),40531,249108,72341,38646,23960,131671,110259,82661,46029,148387,114673,75592,37820,100349,83740,129197,10933, 
 投资所支付的现金(万元),229155,539377,220355,110637,27375,121464,61788,46464,43578,77380,74371,48393,16712,14036,9111,3050,69947, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),111249,53258,99975,--,--,35997,35997,--,3452,87635,1060,--,--,7684,11742,15480,30790, 
 支付的其他与投资活动有关的现金(万元),462728,3304049,43411,48519,30064,33666,--,--,--,226579,74618,--,--,--,--,56405,865, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),843662,4145791,436082,197801,81398,322798,208043,129125,93059,539982,264721,123984,54532,122070,104593,204132,112536, 
 投资活动产生的现金流量净额(万元),57040,-3265688,-235937,-79475,19772,548273,-20697,50178,-86938,-204261,-51912,87366,-51951,-41378,-24497,-168327,-58834, 
 吸收投资收到的现金(万元),119295,514505,42134,14395,600,591752,127132,24032,4245,1246495,63648,50418,13030,159605,25427,166773,35601, 
 其中：子公司吸收少数股东投资收到的现金(万元),19295,114505,42134,14395,600,591752,127132,24032,4245,66578,63648,50418,13030,159605,25427,166773,35601, 
 取得借款收到的现金(万元),2518732,6135369,3741457,2396057,1466526,3310464,2497958,895841,140802,2444291,2459893,1480006,744790,2481039,2013195,2269790,1446261, 
 发行债券收到的现金(万元),--,739737,499750,--,--,--,--,--,--,474090,--,274953,100000,--,--,300338,--, 
 收到其他与筹资活动有关的现金(万元),522892,995819,--,--,--,103,--,--,--,391921,294006,391921,338909,43422,-1821,16420,18018, 
 筹资活动现金流入小计(万元),3160919,8385431,4283341,2410452,1467126,3902318,2625090,919874,145047,4556797,2817547,2197299,1196730,2684067,2036801,2753321,1499880, 
 偿还债务支付的现金(万元),1709322,3298620,1918139,1119462,667299,2111170,1321850,523072,150630,2590795,1678176,896982,378904,1866008,1497529,1845478,1345598, 
 分配股利、利润或偿付利息所支付的现金(万元),123822,865564,750200,215738,80266,577306,509138,418277,63009,490442,423196,340471,54559,362449,296950,318695,356392, 
 其中：子公司支付给少数股东的股利、利润(万元),1663,52976,50213,10221,19416,101381,98656,98641,20424,101534,57601,55684,5270,66849,27168,15203,32992, 
 支付其他与筹资活动有关的现金(万元),306061,842956,824,426,128,38269,38330,26768,290,48230,-51054,44673,80,56738,-31668,2092,125, 
 筹资活动现金流出小计(万元),2139205,5007140,2669163,1335626,747693,2726746,1869319,968116,213930,3129467,2050319,1282126,433543,2285195,1762811,2166265,1702115, 
 筹资活动产生的现金流量净额(万元),1021714,3378291,1614177,1074826,719434,1175572,755771,-48243,-68883,1427331,767229,915172,763187,398871,273990,587057,-202236, 
 汇率变动对现金及现金等价物的影响(万元),-9041,-29840,-15275,-9428,-4152,42846,4548,4301,-855,19885,10758,594,3375,1775,3304,233,-1910, 
 现金及现金等价物净增加额(万元),154544,-388107,-142093,-184972,-376463,495218,281998,-619289,-314016,1451382,343234,196554,12566,-134865,-205693,680845,473648, 
 加:期初现金及现金等价物余额(万元),4207963,4596069,4596059,4596059,4556338,4061121,4061121,4061121,4061121,2609739,2609739,2609739,2609739,2744605,2745082,2063760,1590111, 
 期末现金及现金等价物余额(万元),4362507,4207963,4453966,4411088,4179876,4556338,4343119,3441831,3747105,4061121,2952973,2806293,2622305,2609739,2539389,2744605,2063760, 
 净利润(万元),--,1500936,--,412315,--,1218688,--,440906,--,804657,--,310735,--,658577,--,619160,534980, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,33139,--,105,--,-5128,--,-72,--,693,--,144,--,57236,--,-35214,-1974, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,80109,--,38833,--,65384,--,31364,--,59216,--,29971,--,61307,--,53561,40700, 
 无形资产摊销(万元),--,1926,--,887,--,1664,--,973,--,1973,--,980,--,2133,--,3239,853, 
 长期待摊费用摊销(万元),--,12288,--,5034,--,12882,--,3142,--,8164,--,3705,--,7242,--,6566,5371, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,9,--,-50,--,-738,--,18,--,-2098,--,268,--,298,--,-141,-1314, 
 固定资产报废损失(万元),--,358,--,6,--,104,--,--,--,11,--,--,--,--,--,--,0, 
 公允价值变动损失(万元),--,1398,--,-2706,--,5652,--,3269,--,-698,--,--,--,--,--,--,-158, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,121023,--,71172,--,174000,--,64070,--,125479,--,70782,--,121547,--,108970,81892, 
 投资损失(万元),--,-291005,--,-278685,--,-420261,--,-170859,--,-58509,--,-46334,--,-83369,--,-59222,-24221, 
 递延所得税资产减少(万元),--,17991,--,4014,--,-4097,--,21221,--,-34874,--,-7719,--,-181198,--,27049,-98813, 
 递延所得税负债增加(万元),--,-4392,--,-3930,--,-8716,--,-14387,--,32600,--,38915,--,-7429,--,7337,7328, 
 存货的减少(万元),--,-4122324,--,-1443351,--,749737,--,-493963,--,-2070486,--,-1218221,--,-1904845,--,-829354,-1982527, 
 经营性应收项目的减少(万元),--,801454,--,-947223,--,-2721385,--,-493210,--,-491932,--,-240498,--,334679,--,-562770,-246902, 
