 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),11516,155087,74387,34334,11616,42854,24108,19984,6403,57888,40832,32331,14687,137086,--,34550,15011,90741,--,79786,48615, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,2899,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),528,4400,7061,4374,1365,5462,5590,1083,578,5761,2055,1172,1600,7141,--,613,331,1165,--,1820,2927, 
 经营活动现金流入小计(万元),12044,159488,81448,38708,12981,48315,32596,21067,6981,63649,42887,33503,16288,144228,--,35163,15342,91906,--,81606,51542, 
 购买商品、接受劳务支付的现金(万元),13176,27571,12669,5077,2054,36033,23776,22376,13516,59187,42717,24195,11443,52167,--,17079,10468,28920,--,24538,23970, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3699,24322,14027,8938,4080,20234,11270,7349,3101,19364,12205,8568,4509,17261,--,8104,4590,15160,--,10813,9121, 
 支付的各项税费(万元),2549,27288,14230,7895,2418,3573,1956,1765,1046,11885,8769,5790,1476,14958,--,7435,1554,13267,--,8339,5588, 
 支付的其他与经营活动有关的现金(万元),916,7319,5359,3198,1185,9552,7321,4675,2840,10450,4966,3338,3020,11078,--,4171,2789,12247,--,6736,5346, 
 经营活动现金流出小计(万元),20339,86500,46286,25108,9737,69392,44323,36166,20503,100886,68657,41891,20448,95464,--,36788,19401,69595,--,50426,44024, 
 经营活动产生的现金流量净额(万元),-8296,72988,35162,13600,3243,-21077,-11727,-15099,-13522,-37236,-25771,-8387,-4161,48763,25251,-1625,-4060,22311,10798,31179,7517, 
 收回投资所收到的现金(万元),--,--,--,--,--,113000,108000,108000,77000,209500,167500,97000,--,--,--,--,--,--,--,--,1537, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,1085,933,933,665,1856,1678,1029,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),56,3,0,0,0,--,--,--,--,80,79,79,--,9,--,0,0,8,--,11,12, 
