 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),8145,66674,39781,25113,11013,57750,34937,19408,9752,40635,22851,14474,7199,28073,16202,9204,6944,27440,29370,19496,12373,10918, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3,248,232,78,22,567,489,392,277,553,258,157,1,326,211,207,0,597,358,436,344,367, 
 收到的其他与经营活动有关的现金(万元),414,1630,1120,829,499,3014,1749,1100,638,1683,1321,761,296,894,701,369,105,710,434,247,252,121, 
 经营活动现金流入小计(万元),8563,68552,41132,26021,11533,61331,37175,20900,10668,42871,24431,15392,7497,29293,17114,9780,7049,28747,30161,20179,12970,11406, 
 购买商品、接受劳务支付的现金(万元),10915,49361,31777,22753,12030,46899,30531,20474,11020,36571,22605,15165,6416,23501,15508,8075,7943,21639,21183,13440,8734,7881, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1655,4332,3291,2291,1317,3961,2950,1977,1140,2305,1673,1173,706,1799,1355,942,330,1398,1062,889,867,882, 
 支付的各项税费(万元),309,1518,1078,810,593,2205,1898,1351,954,1301,941,688,200,1449,1196,831,366,1389,1427,1427,767,746, 
 支付的其他与经营活动有关的现金(万元),1593,2900,2167,1324,626,4370,3105,1851,970,2905,1928,1035,286,1657,1116,678,350,1146,1001,1123,768,949, 
 经营活动现金流出小计(万元),14472,58111,38312,27178,14565,57434,38485,25653,14085,43082,27147,18061,7608,28406,19174,10526,8989,25571,24673,16879,11135,10458, 
 经营活动产生的现金流量净额(万元),-5910,10441,2819,-1157,-3032,3897,-1310,-4753,-3417,-211,-2717,-2669,-111,887,-2060,-746,-1940,3176,5488,3300,1835,948, 
 收回投资所收到的现金(万元),24700,30700,23000,16500,4500,16000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),205,548,428,293,90,287,220,182,181,376,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,--,--,7,7,7,-5,--,9,--,--,--,--,--,--,0,2,4,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,96,5000,5000,5000,--,10500,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24905,31248,23428,16793,4590,16390,5227,5188,5176,376,10509,0,0,0,0,0,0,0,2,4,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),128,2216,1765,1318,963,10258,7919,1709,1190,1216,785,515,34,262,207,52,47,595,5009,83,1798,171, 
 投资所支付的现金(万元),24800,48300,24000,20000,11000,23400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,1300,1300,--,1381,1381,--,--,-2500,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,7,--,--,96,9404,6400,--,5000,29600,21500,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),24928,50516,27073,22618,11963,35135,18704,8109,1190,3716,30385,22015,34,262,207,52,47,595,5009,83,1798,171, 
 投资活动产生的现金流量净额(万元),-23,-19267,-3645,-5825,-7372,-18745,-13477,-2921,3986,-3340,-19876,-22015,-34,-262,-207,-52,-47,-595,-5007,-79,-1798,-171, 
 吸收投资收到的现金(万元),--,--,--,--,--,13032,13032,13032,--,27474,27474,27474,27474,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,60,60,60,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,100,100,--,--,--,--,--,507,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,100,100,0,13032,13092,13092,60,27982,27474,27474,27474,0,0,0,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,60,60,60,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,1839,1839,1839,--,2372,2387,2387,0,822,822,822,--,1078,1078,1078,1078,955,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,1300,164,164,43,671,618,618,507,1236,716,716,791,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,3139,2003,2003,43,3043,3065,3065,567,2058,1538,1538,791,1078,1078,1078,1078,955,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),0,-3139,-1903,-1903,-43,9989,10026,10026,-507,25924,25936,25936,26683,-1078,-1078,-1078,-1078,-955,0,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),-71,-101,-69,-37,-4,41,4,-0,--,10,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-6004,-12066,-2797,-8922,-10452,-4818,-4756,2352,62,22383,3344,1253,26538,-454,-3346,-1876,-3064,1626,481,3221,37,777, 
 加:期初现金及现金等价物余额(万元),13295,25361,25361,25361,25361,30180,30180,30180,30180,7797,7797,7797,7797,8251,8251,8251,8251,6625,6143,2922,2885,2108, 
 期末现金及现金等价物余额(万元),7291,13295,22564,16439,14910,25361,25424,32532,30242,30180,11141,9050,34335,7797,4905,6375,5186,8251,6625,6143,2922,2885, 
 净利润(万元),--,5904,--,3071,--,6142,--,2834,--,5722,--,2369,--,5371,3535,2443,--,5190,4696,3814,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-13,--,-41,--,278,--,107,--,184,--,37,--,177,213,187,--,-52,-20,37,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,602,--,239,--,528,--,264,--,445,--,217,--,408,302,202,--,153,129,77,--,--, 
 无形资产摊销(万元),--,264,--,127,--,238,--,114,--,20,--,1,--,1,1,1,--,1,1,0,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,1,--,--,--,-3,--,-3,--,-3,--,--,--,1,0,0,--,2,-1,-2,--,--, 
 固定资产报废损失(万元),--,9,--,--,--,--,--,--,--,--,--,-3,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,101,--,37,--,-41,--,0,--,-10,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资损失(万元),--,-574,--,-293,--,-287,--,-182,--,-376,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,7,--,11,--,-49,--,-20,--,-45,--,-9,--,-44,-53,-47,--,21,-3,-9,--,--, 
 递延所得税负债增加(万元),--,-49,--,-25,--,-51,--,-27,--,-5,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2402,--,-7428,--,-10477,--,-6582,--,-3797,--,-1048,--,-633,-700,-523,--,-1869,-3740,-1668,--,--, 
 经营性应收项目的减少(万元),--,2981,--,3466,--,-6759,--,-5300,--,-3677,--,-2175,--,-4056,-2038,-2820,--,287,-3071,-764,--,--, 
 经营性应付项目的增加(万元),--,3609,--,-320,--,14378,--,4042,--,1331,--,-2057,--,-338,-3321,-189,--,-557,7497,1801,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
