 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),36046,21709,9661,39945,29479,20466,6934,32621,21855,25020,21816,20490,17309, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1523,1092,555,1557,541,541,150,156,156,323,73,93,14, 
 收到的其他与经营活动有关的现金(万元),726,694,704,796,777,466,413,403,49,676,1460,413,1730, 
 经营活动现金流入小计(万元),38294,23494,10920,42299,30797,21473,7497,33180,22060,26020,23348,20997,19053, 
 购买商品、接受劳务支付的现金(万元),22723,14519,6722,20350,12190,7103,4218,17431,13250,11510,10633,8291,8668, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6334,3806,1711,6239,4579,2884,1512,5278,3546,5586,4242,3392,3077, 
 支付的各项税费(万元),3286,2904,847,3631,2737,1827,1122,2485,2209,2202,3237,3456,3353, 
 支付的其他与经营活动有关的现金(万元),2502,1495,551,2515,2304,1078,506,1714,1471,1573,1329,3032,1398, 
 经营活动现金流出小计(万元),34845,22724,9830,32735,21810,12892,7358,26908,20476,20872,19442,18170,16496, 
 经营活动产生的现金流量净额(万元),3449,769,1089,9564,8987,8581,139,6272,1584,5148,3906,2827,2557, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,27,27,27,27,18,18,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,11,7,5,5,5,--,--,--,6,589,9,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,1800,1800,1800,1800,1000,700,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),11,11,7,1831,1831,1831,1827,1018,718,6,589,9,3, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),26571,15800,6453,7657,4464,3154,2305,4530,3942,5549,7763,2746,2070, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,1000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,1800,1800,1800,1800,1000,1000,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26571,15800,6453,9457,6264,4954,4105,5530,4942,5549,7763,2746,3070, 
 投资活动产生的现金流量净额(万元),-26559,-15789,-6446,-7626,-4433,-3123,-2278,-4512,-4224,-5543,-7175,-2737,-3068, 
 吸收投资收到的现金(万元),294,125,125,24163,24163,--,--,750,--,2595,454,45,1550, 
 其中：子公司吸收少数股东投资收到的现金(万元),294,125,125,--,--,--,--,750,--,2595,454,45,50, 
 取得借款收到的现金(万元),11200,5500,--,1000,1000,1000,1000,6748,--,7657,6750,3583,2100, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,4400,4400,4400,4400,5200,5200,2500,3500,1000,550, 
 筹资活动现金流入小计(万元),11494,5625,125,29562,29562,5400,5400,12698,5200,12752,10704,4628,4200, 
 偿还债务支付的现金(万元),--,--,--,9398,5748,2748,235,4950,100,7807,3200,2483,3102, 
 分配股利、利润或偿付利息所支付的现金(万元),2094,2013,--,2783,2760,2691,2323,1465,1376,1225,858,624,221, 
 其中：子公司支付给少数股东的股利、利润(万元),29,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,4928,88,88,--,5228,14,3528,2633,1044,550, 
 筹资活动现金流出小计(万元),2094,2013,0,17109,8596,5527,2558,11643,1490,12561,6691,4151,3874, 
 筹资活动产生的现金流量净额(万元),9400,3612,125,12453,20967,-127,2842,1055,3710,191,4013,477,326, 
 汇率变动对现金及现金等价物的影响(万元),-155,-184,-190,-127,-479,-347,-30,265,29,262,-21,-27,-6, 
 现金及现金等价物净增加额(万元),-13865,-11591,-5421,14264,25042,4984,673,3080,1098,59,723,540,-190, 
 加:期初现金及现金等价物余额(万元),19895,19895,19895,5631,5631,5631,5631,2551,2551,2493,1770,1229,1420, 
 期末现金及现金等价物余额(万元),6031,8305,14474,19895,30673,10615,6304,5631,3650,2551,2493,1770,1229, 
 净利润(万元),--,3547,--,6772,--,2792,--,5840,--,4951,4421,3876,4165, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,346,--,332,--,-29,--,395,--,362,135,160,360, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1613,--,2589,--,1273,--,2434,--,2032,1322,1001,755, 
 无形资产摊销(万元),--,28,--,39,--,20,--,39,--,43,54,50,8, 
 长期待摊费用摊销(万元),--,18,--,8,--,4,--,7,--,4,--,--,2, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,12,--,13,--,6,--,15,--,-10,-42,-13,-1, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,2,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
