 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),75450,53325,124969,62755,41607,99416,79860,81011, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,320, 
 收到的其他与经营活动有关的现金(万元),3750,3183,2147,2128,528,1344,576,337, 
 经营活动现金流入小计(万元),79200,56509,127116,64883,42134,100760,80435,81669, 
 购买商品、接受劳务支付的现金(万元),45792,27439,71994,46302,32999,67989,56722,60197, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12339,7830,15720,11403,7455,9995,10975,8012, 
 支付的各项税费(万元),10582,6070,16091,11400,7240,12050,6235,4394, 
 支付的其他与经营活动有关的现金(万元),11395,8072,13345,9206,5144,9083,8149,4405, 
 经营活动现金流出小计(万元),80107,49410,117149,78311,52838,99117,82081,77007, 
 经营活动产生的现金流量净额(万元),-907,7098,9967,-13428,-10704,1643,-1645,4662, 
 收回投资所收到的现金(万元),17260,17260,47901,40541,28994,18175,2600,--, 
