 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,46176,--,--,--,--,--,--,--,--,--,10953,--,--,29406,16580,64906,26593,--,--,18521,--,--,--,--,--,57894,96607,55316,57713,0,14010,21342,26541,--,-67973,-80203,-48721,4450,9924,41195,-1305,-9997,-193, 
 收取利息、手续费及佣金的现金(万元),27863,212265,148234,104467,46886,244578,157898,102244,48410,238364,173378,115487,35181,88172,50576,25466,9288,48827,35716,24781,12218,51003,39920,27909,11717,60473,79723,39069,19719,75045,53758,33558,15256,70778,51795,29903,12643,41323,33033,25894,14915,52307,24271,7188,10529,4576,1976, 
 拆入资金净增加额(万元),20000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 回购业务资金净增加额(万元),227902,761618,501330,357914,258324,--,--,--,--,--,--,134601,129069,--,3,--,76808,--,14395,--,--,--,--,--,--,53089,58621,--,44498,--,0,0,--,41546,--,0,0,39,0,10000,--,0,0,--,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,--,--,0,0,--,0,0,0, 
 收到的其他与经营活动有关的现金(万元),1659,24924,12921,9647,3013,17941,28704,11020,6457,1951,2491,519,1036,12678,185,72,21,1015,206,2492,10178,473,277,23249,27837,5441,340,234,5,144,134,132,4,189966,185333,98748,101102,50,782,774,7897,207554,169070,89973,61793,1210,38829, 
 经营活动现金流入小计(万元),277423,1064559,662484,486460,361413,340470,284338,213671,178110,406050,393300,777693,355031,323841,168857,56645,86500,79248,66896,92179,48989,51476,40196,69679,39554,119003,138684,39302,64223,133083,150499,89006,72974,302290,251138,149992,140286,41413,-34158,-43535,-25909,264310,203265,138355,71017,-4211,40612, 
