 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),75049,46853,80401,59995,63379,56778, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),7052,4419,5810,4756,4387,3329, 
 收到的其他与经营活动有关的现金(万元),209,79,180,126,775,299, 
 经营活动现金流入小计(万元),82310,51351,86391,64878,68541,60406, 
 购买商品、接受劳务支付的现金(万元),51151,32259,52368,37090,42251,38619, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14470,9938,16032,12119,14113,10779, 
 支付的各项税费(万元),2351,1457,3189,2056,2214,1765, 
 支付的其他与经营活动有关的现金(万元),1630,1142,1864,1162,1455,1550, 
 经营活动现金流出小计(万元),69602,44796,73452,52426,60034,52713, 
 经营活动产生的现金流量净额(万元),12708,6555,12939,12451,8507,7693, 
 收回投资所收到的现金(万元),11300,11300,6200,3000,--,--, 
 取得投资收益所收到的现金(万元),76,76,20,1,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),48,47,3,3,6,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
