 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),25379,16988,32123,23626,15000,33610,35928,32037, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,140,20, 
 收到的其他与经营活动有关的现金(万元),1190,366,505,237,27,292,378,261, 
 经营活动现金流入小计(万元),26569,17355,32628,23863,15027,33902,36445,32318, 
 购买商品、接受劳务支付的现金(万元),11343,7144,10933,7253,4115,13711,11182,10010, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7998,5490,10273,7450,4563,11376,10824,9446, 
 支付的各项税费(万元),3826,2861,6720,5169,3569,5890,5193,5681, 
 支付的其他与经营活动有关的现金(万元),1113,472,2131,1164,893,1505,1560,2978, 
 经营活动现金流出小计(万元),24279,15967,30056,21037,13141,32482,28759,28114, 
 经营活动产生的现金流量净额(万元),2290,1388,2572,2826,1886,1420,7686,4204, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,1,1,1,90,90,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,76,55,55,165,8,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1,1,77,56,56,255,98,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),385,275,888,1779,1518,953,1947,3443, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,110,17,17,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),385,275,998,1796,1535,953,1947,3443, 
 投资活动产生的现金流量净额(万元),-384,-274,-921,-1741,-1480,-699,-1850,-3443, 
 吸收投资收到的现金(万元),36334,--,--,--,--,--,--,948, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),1000,--,1000,--,--,200,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),37334,0,1000,0,0,200,0,948, 
 偿还债务支付的现金(万元),2004,--,--,--,--,200,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),404,935,1807,1661,186,3440,3000,366, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),545,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),2953,935,1807,1661,186,3640,3000,366, 
 筹资活动产生的现金流量净额(万元),34381,-935,-807,-1661,-186,-3440,-3000,582, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),36287,179,843,-575,220,-2718,2836,1343, 
 加:期初现金及现金等价物余额(万元),7291,7291,6448,6448,6448,9165,6329,4986, 
 期末现金及现金等价物余额(万元),43577,7469,7291,5873,6668,6448,9165,6329, 
