 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),11758,7747,3835,23420,9887,5537,2613,19485,--,18333,2178,17241,13860,10752, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),518,329,--,909,715,413,--,1286,--,787,--,970,889,693, 
 收到的其他与经营活动有关的现金(万元),1610,913,316,2162,1041,495,414,1682,--,1568,158,1522,1097,1105, 
 经营活动现金流入小计(万元),13887,8989,4151,26491,11643,6445,3027,22453,--,20688,2336,19733,15846,12551, 
 购买商品、接受劳务支付的现金(万元),17085,12207,7939,14224,7787,4742,3074,9923,--,10563,3974,7827,5874,4483, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2994,2076,1438,3014,2410,1814,1132,3170,--,3313,1233,2720,2757,2168, 
 支付的各项税费(万元),1526,1338,778,2358,1792,1440,1173,3336,--,1956,1194,2704,1932,2016, 
 支付的其他与经营活动有关的现金(万元),3599,2878,1850,4064,3479,2421,1786,3527,--,3256,803,3198,2389,2265, 
 经营活动现金流出小计(万元),25203,18499,12004,23660,15468,10418,7165,19956,--,19087,7205,16449,12952,10933, 
 经营活动产生的现金流量净额(万元),-11317,-9510,-7854,2831,-3825,-3973,-4138,2496,-2331,1601,-4868,3285,2895,1618, 
 收回投资所收到的现金(万元),12000,10000,5000,--,--,--,0,--,--,--,--,--,--,10, 
 取得投资收益所收到的现金(万元),144,124,42,--,--,--,0,--,--,--,--,--,--,58, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,3,--,--,--,--,--,0,--,1,0,3,2,8, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,270, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12151,10127,5042,0,0,0,0,0,--,1,0,3,2,346, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),835,112,51,216,132,121,95,167,--,511,77,164,163,82, 
 投资所支付的现金(万元),15508,7308,--,5000,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),16342,7419,51,5216,132,121,95,167,--,511,77,164,163,82, 
 投资活动产生的现金流量净额(万元),-4192,2708,4992,-5216,-132,-121,-95,-167,--,-510,-77,-161,-161,264, 
 吸收投资收到的现金(万元),490,490,--,19474,--,--,--,--,--,--,--,--,1050,1309, 
 其中：子公司吸收少数股东投资收到的现金(万元),490,490,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),490,490,0,19474,0,0,0,0,--,0,0,0,1050,1309, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,127,18, 
 分配股利、利润或偿付利息所支付的现金(万元),2227,2227,--,--,--,--,--,1761,--,1156,--,1250,213,193, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,2331,30,30,--,70,--,295,--,55,--,--, 
 筹资活动现金流出小计(万元),2227,2227,0,2331,30,30,0,1831,--,1450,0,1305,340,211, 
 筹资活动产生的现金流量净额(万元),-1737,-1737,0,17143,-30,-30,0,-1831,--,-1450,0,-1305,710,1097, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-17245,-8539,-2862,14759,-3986,-4124,-4233,498,--,-359,-4946,1819,3443,2979, 
 加:期初现金及现金等价物余额(万元),27678,27678,27678,12918,12918,12918,12918,12420,--,12779,12779,10960,7517,4538, 
 期末现金及现金等价物余额(万元),10432,19138,24816,27678,8932,8795,8686,12918,--,12420,7834,12779,10960,7517, 
 净利润(万元),--,119,--,4358,--,797,--,3810,--,3502,-462,3609,3514,2054, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,74,--,340,--,191,--,694,--,725,-13,367,240,132, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,144,--,283,--,140,--,283,--,264,63,231,582,677, 
 无形资产摊销(万元),--,77,--,152,--,76,--,152,--,149,37,145,144,143, 
 长期待摊费用摊销(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,9,--,--,--,22,--,21,0,15,-0,-1, 
 固定资产报废损失(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,0,--,--,--,--,--,--,--,1,--,--,5,4, 
 投资损失(万元),--,-124,--,--,--,--,--,--,--,--,--,--,--,-32, 
 递延所得税资产减少(万元),--,35,--,21,--,-39,--,-96,--,-40,24,-5,-84,-34, 
 递延所得税负债增加(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-1626,--,-37,--,-177,--,815,--,-1618,-1879,-512,-586,295, 
 经营性应收项目的减少(万元),--,-5879,--,-5400,--,-2488,--,-457,--,-3463,-104,25,-2547,-2838, 
 经营性应付项目的增加(万元),--,-2329,--,3105,--,-2472,--,-2726,--,2059,-2525,-591,1627,1247, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,-10,--,--,-29, 
 经营活动产生现金流量净额(万元),--,-9510,--,2831,--,-3973,--,2496,--,1601,-4868,3285,2895,1618, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),10432,19138,24816,27678,8932,8795,8686,12918,--,12420,7834,12779,10960,7517, 
 现金的期初余额(万元),27678,27678,27678,12918,12918,12918,12918,12420,--,12779,12779,10960,7517,4538, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-17245,-8539,-2862,14759,-3986,-4124,-4233,498,--,-359,-4946,1819,3443,2979, 

