 报告日期,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),69322,22477,77904,58708,48837,32643,14876, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),209,60,130,102,104,244,--, 
 收到的其他与经营活动有关的现金(万元),4835,1588,1858,641,2260,829,1519, 
 经营活动现金流入小计(万元),74366,24126,79892,59451,51202,33716,16394, 
 购买商品、接受劳务支付的现金(万元),57135,23443,60271,45307,36486,25399,8501, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6588,2241,8330,6053,7123,4355,2653, 
 支付的各项税费(万元),2804,1001,2732,2174,2632,627,773, 
 支付的其他与经营活动有关的现金(万元),4358,1099,4659,3793,3105,2120,2018, 
 经营活动现金流出小计(万元),70886,27785,75991,57328,49345,32500,13945, 
 经营活动产生的现金流量净额(万元),3480,-3659,3901,2123,1857,1216,2449, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,9,0,0,--,8,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9,9,0,0,0,8,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3359,943,3339,2379,4497,5316,8175, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3359,943,3339,2379,4497,5316,8175, 
 投资活动产生的现金流量净额(万元),-3350,-934,-3338,-2378,-4497,-5308,-8175, 
 吸收投资收到的现金(万元),30606,--,--,--,5254,5500,3000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),9100,2100,6000,6000,9000,8100,7532, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),39706,2100,6000,6000,14254,13600,10532, 
 偿还债务支付的现金(万元),6000,--,5000,5000,8500,11151,2000, 
 分配股利、利润或偿付利息所支付的现金(万元),279,71,254,190,421,324,220, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),797,--,85,20,--,--,--, 
 筹资活动现金流出小计(万元),7076,71,5339,5210,8921,11475,2220, 
 筹资活动产生的现金流量净额(万元),32630,2029,661,790,5333,2125,8312, 
 汇率变动对现金及现金等价物的影响(万元),-50,0,127,39,11,-18,-36, 
 现金及现金等价物净增加额(万元),32711,-2564,1350,575,2703,-1985,2550, 
 加:期初现金及现金等价物余额(万元),5744,5744,4393,4393,1691,3676,1126, 
 期末现金及现金等价物余额(万元),38455,3180,5744,4968,4393,1691,3676, 
 净利润(万元),--,528,7510,--,4452,3469,307, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-108,572,--,847,680,103, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,607,2414,--,2125,1606,781, 
 无形资产摊销(万元),--,18,67,--,57,54,49, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-6,3,--,--,80,--, 
 固定资产报废损失(万元),--,--,--,--,--,-2,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,71,127,--,432,342,165, 
 投资损失(万元),--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,57,-24,--,-76,-91,-69, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,-890,-5635,--,964,-6107,-2935, 
 经营性应收项目的减少(万元),--,7709,-5306,--,-10394,-10740,-2392, 
 经营性应付项目的增加(万元),--,-11644,4173,--,3450,11926,6438, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-3659,3901,--,1857,1216,2449, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),38455,3180,5744,4968,4393,1691,3676, 
 现金的期初余额(万元),5744,5744,4393,4393,1691,3676,1126, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),32711,-2564,1350,575,2703,-1985,2550, 

