报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),16756,10345,4218,24488,15346,9679,3892,24343,25054,18821,11587,4010,25889,16938,8933,3157,19537,11820,6588,2328,16872,6881,14915,11083,9822,
营业收入(万元),16756,10345,4218,24488,15346,9679,3892,24343,25054,18821,11587,4010,25889,16938,8933,3157,19537,11820,6588,2328,16872,6881,14915,11083,9822,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),15368,9658,3873,21687,13903,8992,3621,22547,23365,17748,11081,3930,23261,14713,7989,2892,17709,10404,5923,2413,14787,6197,12897,9988,9434,
营业成本(万元),11360,7165,2916,16742,10539,6693,2483,17032,17862,13815,8430,2906,17619,11124,5820,2084,13466,7815,4499,1731,11499,5020,10542,8491,8185,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),196,131,64,296,151,108,60,257,168,126,65,34,226,139,63,36,103,55,30,23,96,14,66,66,27,
销售费用(万元),1277,813,223,1508,1093,709,244,1500,1587,1334,867,340,1543,1129,670,209,1044,793,441,118,1056,451,610,356,432,
管理费用(万元),2090,1359,591,2590,1893,1291,741,2830,2713,2020,1421,498,2967,1772,1049,378,2328,1311,675,429,1764,604,1432,1001,646,
财务费用(万元),366,243,113,10,114,82,92,247,573,452,297,150,700,549,388,185,592,375,230,112,342,103,177,92,50,
资产减值损失(万元),78,-53,-33,542,113,109,--,681,461,1,1,1,207,-0,--,--,176,55,48,--,29,5,71,-18,94,
公允价值变动收益(万元),--,--,--,--,--,--,--,23,-55,--,--,--,32,--,--,--,9,--,-0,-0,-5,-4,-4,1,--,
投资收益(万元),12,3,--,3,3,3,3,6,-4,-3,-9,1,23,18,14,4,-9,-0,--,--,--,--,--,1,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1401,690,345,2804,1446,691,273,1825,1629,1070,497,81,2683,2242,957,270,1829,1416,665,-85,2080,680,2014,1096,388,
营业外收入(万元),216,199,20,357,207,190,26,846,844,89,41,67,818,115,113,20,692,193,190,159,490,--,134,201,--,
营业外支出(万元),49,--,--,42,41,41,3,22,61,54,53,32,131,5,4,0,75,71,69,2,6,3,3,1,4,
非流动资产处置损失(万元),49,--,--,42,41,41,3,19,58,--,--,--,124,--,--,--,68,--,--,--,--,--,--,--,--,
利润总额(万元),1568,889,365,3119,1612,840,297,2649,2412,1105,485,116,3370,2352,1065,290,2447,1538,787,72,2564,677,2145,1296,385,
所得税费用(万元),247,152,71,438,272,108,54,446,454,325,147,49,570,389,174,50,398,276,131,16,390,107,359,176,132,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1321,737,293,2682,1340,732,243,2202,1959,780,338,66,2800,1963,891,240,2049,1262,656,56,2174,570,1786,1119,252,
归属于母公司所有者的净利润(万元),1321,737,293,2682,1340,732,243,2202,1959,780,338,66,2800,1963,891,240,2049,1262,656,56,2174,570,1824,1129,251,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,178,9,3,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-38,-10,2,
基本每股收益,0.22,0.13,0.06,0.54,0.27,0.15,0.05,0.44,0.39,--,--,--,0.56,--,--,--,0.41,--,--,--,--,--,--,--,--,
稀释每股收益,0.22,0.13,0.06,0.54,0.27,0.15,0.05,0.44,0.39,--,--,--,0.56,--,--,--,0.41,--,--,--,--,--,--,--,--,
