报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),31798,111454,78107,48384,20575,56599,38154,21647,6839,25723,20117,14955,5912,24696,19383,13420,5041,25234,22517,18927,
营业收入(万元),31798,111454,78107,48384,20575,56599,38154,21647,6839,25723,20117,14955,5912,24696,19383,13420,5041,25234,22517,18927,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),26468,92086,63131,38813,16565,47873,32061,18590,6130,22768,17567,12723,5139,20539,15745,10718,4393,20026,17751,14450,
营业成本(万元),20061,70285,48934,29927,12670,37274,25685,14851,5070,18411,14211,10265,4036,16043,12369,8543,3358,15619,13396,11183,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),264,929,649,468,234,492,177,65,14,174,165,153,61,124,103,67,13,126,146,58,
销售费用(万元),1602,5901,3944,2616,1185,3202,1973,1035,285,1027,717,467,209,965,704,428,202,979,912,532,
管理费用(万元),3702,12975,8607,5060,2106,6024,3743,2000,719,2355,1706,1123,514,2168,1698,1130,538,2222,2220,1978,
财务费用(万元),515,1060,799,388,140,354,254,185,68,503,452,433,231,909,681,453,218,833,881,611,
资产减值损失(万元),323,936,198,354,229,527,229,454,-25,297,317,283,88,330,190,98,65,246,195,89,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),93,-375,-271,-252,-110,-191,-64,-44,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),93,-351,-215,--,--,--,-64,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5406,19362,14949,9498,3900,8535,6028,3013,710,2955,2550,2232,773,4158,3638,2702,648,5208,4766,4478,
营业外收入(万元),165,924,677,306,146,442,314,189,55,579,259,123,58,544,454,137,43,372,726,358,
营业外支出(万元),45,38,56,3,1,88,48,37,1,2,2,--,--,15,15,15,15,7,14,12,
非流动资产处置损失(万元),--,--,53,1,--,88,48,37,--,--,--,--,--,--,--,--,--,7,0,--,
利润总额(万元),5526,20247,15570,9801,4045,8889,6295,3166,764,3532,2806,2355,831,4686,4077,2824,675,5573,5478,4823,
所得税费用(万元),907,2993,2423,1479,654,1384,1034,501,122,434,363,300,137,657,623,410,85,774,740,811,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4620,17255,13147,8322,3391,7505,5260,2665,641,3098,2444,2054,694,4030,3454,2414,591,4799,4739,4012,
归属于母公司所有者的净利润(万元),3869,15097,11600,7327,2958,7061,5103,2566,614,3126,2467,2059,704,4055,3478,2423,591,4799,4739,4012,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),750,2157,1547,995,433,444,157,99,28,-28,-23,-5,-9,-26,-24,-9,--,--,--,--,
基本每股收益,0.11,0.42,0.32,0.2,0.08,0.21,0.16,0.08,0.02,0.19,0.33,0.29,0.11,0.64,0.55,0.38,0.09,0.76,0.75,0.63,
稀释每股收益,0.11,0.42,0.32,0.2,0.08,0.21,0.16,0.08,0.02,0.19,0.33,0.29,0.11,0.64,0.55,0.38,0.09,0.76,0.75,0.63,
