报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),358470,234571,137401,564005,436733,276364,120374,585736,415768,257572,119648,849964,697466,485838,162516,454821,311140,176374,88795,304794,226753,135683,81535,228608,170447,122774,58223,186352,133800,109573,72859,319922,229632,123774,92726,319440,203162,135645,53269,207324,164914,135922,70695,496189,878839,571561,280821,141093,1191480,767779,374996,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,878839,571561,280821,141093,1191480,767779,374996,
利息收入(万元),42310,178834,16751,381828,89384,190000,33717,332552,87157,156895,23370,389559,91750,190629,23363,143298,53628,54450,15414,78866,36799,33336,11123,55868,30562,26545,8201,44531,19176,18602,5069,32199,15418,15670,5719,25336,11096,9402,3124,26166,10261,15384,3306,26169,--,0,0,8049,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,139818,--,--,--,147249,--,350201,247096,--,77385,--,430042,--,100298,--,161810,--,--,--,121355,--,--,--,95380,--,30686,152778,120547,84346,43656,203488,136694,92112,48800,230077,159351,97743,35992,122148,96700,73923,42284,213438,--,0,0,53313,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
其他业务收入(万元),17217,12852,6773,11719,8301,5351,794,7780,7602,6199,6119,5610,529,334,147,534,384,291,152,608,446,290,141,537,377,252,120,461,290,178,91,515,416,254,133,628,472,299,1845,11338,8761,5612,2293,10627,--,--,--,1957,--,--,--,
营业总成本(万元),289237,186827,94578,373203,247972,151826,70269,315724,200861,125833,62171,410190,288717,171518,64618,236463,154474,92131,50463,178054,121085,73884,40156,150753,102286,70779,34694,139467,96727,63122,31981,157854,105997,60086,37893,143305,86280,52082,22980,110048,74264,52615,26738,156263,917902,568292,275661,53886,1343057,855894,409273,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,856581,526965,258680,53886,1283726,817307,392242,
利息支出(万元),--,147279,--,268742,--,123734,--,197095,--,105079,--,269013,--,127111,--,65643,--,22092,--,26861,--,10338,--,16025,--,7488,--,16116,--,7997,--,11344,0,5104,0,8324,--,3201,0,12991,0,8321,0,15191,--,0,0,6394,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,0,0,0,0,--,0,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
其他业务成本(万元),16878,12681,6709,11285,7986,5305,731,7100,7100,6025,6024,5015,10,9,4,45,24,19,10,63,47,29,12,70,46,27,9,61,36,13,7,31,24,18,16,65,930,562,301,575,160,161,73,213,--,--,--,254,--,--,--,
营业税金及附加(万元),3076,2142,1125,4289,3257,2097,1003,18665,17481,16445,9688,55679,45087,26805,10340,26545,17009,10441,5931,14857,11744,7665,3495,10190,7571,5491,2471,10191,8843,6221,3114,18039,12707,7037,3819,15908,11219,6635,2508,12439,10910,9453,5085,22483,25836,16955,8417,7155,37749,24563,12044,
销售费用(万元),256258,167111,85614,350064,236766,143963,67946,281136,174348,102334,47372,339484,242850,144066,53815,208608,136876,81228,44291,157347,109518,66588,36731,139854,94676,65063,32135,128996,87691,56793,28762,139616,93043,52929,33969,128443,74135,44760,20080,86362,63584,43092,21607,132038,2855,2052,1048,47736,3425,2230,1112,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,15482,9840,4841,--,13796,9179,2830,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,10888,6192,2675,--,4501,2754,1044,
资产减值损失(万元),13025,4893,1129,7564,-36,461,589,8823,1933,1030,-912,10013,770,637,459,1265,566,443,231,5788,-223,-397,-81,639,-8,198,78,219,157,94,99,167,223,102,89,-1111,-4,125,91,10671,-390,-91,-27,1530,6260,6289,0,-1259,-139,-139,--,
公允价值变动收益(万元),-31679,-25993,2739,4806,10525,9780,-4671,-22738,-3224,-22194,-17821,2497,12368,88070,8093,14704,29962,9883,893,453,7310,-6424,14145,11288,6376,6848,6653,-10406,-36075,-8179,13379,-23511,-12475,-13239,18026,17150,-4332,13650,4762,-28740,-43390,-41048,-23339,18241,--,0,0,10481,--,0,--,
投资收益(万元),131964,76200,33897,113866,87115,47714,23591,114841,77143,58877,30791,160408,162835,25526,30659,99192,65316,39954,15793,76866,60968,43150,17262,44130,37717,31537,12570,15363,30078,22746,10714,118732,89674,34109,20047,54572,36575,17752,7539,89723,92907,90677,46344,243350,--,0,0,74128,-132,-88,--,
对联营企业和合营企业的投资收益(万元),6109,4526,2264,11033,8626,5608,2664,12008,8215,5844,2330,10897,10224,7753,1746,3498,2667,1417,675,1899,1646,1048,563,1726,1330,927,290,1756,1666,1134,713,2349,1971,1198,703,3154,2660,1591,512,5187,4353,3418,1712,4100,--,0,0,39,--,0,--,
汇兑收益(万元),298,125,-121,-26,-19,4,16,195,-6,-55,-195,-135,-59,-45,-43,159,40,56,37,-163,-125,-94,-14,-26,35,-103,-7,-259,-216,-124,-49,-157,-94,-28,-0,-0,-0,-0,6,-320,-325,-304,-192,-444,--,0,0,-441,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
托管收益(万元),30308,21819,12060,63903,47961,28600,12818,62851,33620,22695,12435,32923,25076,16814,5200,15725,11850,5627,2817,8959,5602,3734,1893,6837,5234,3100,1612,8126,6353,4125,1661,8387,3542,2307,1043,6681,3770,2157,1195,1001,455,278,-27,743,--,--,--,421,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
营业利润(万元),69233,47743,42823,190802,188761,124538,50105,270012,214907,131739,57477,439774,408748,314320,97898,218358,156666,84243,38333,126740,105668,61799,41378,77855,68161,51995,23529,46885,37072,46451,40878,162068,123635,63688,54833,176135,116882,83563,30290,97277,90650,83307,43957,339926,-39063,3269,5160,87208,-151708,-88203,-34276,
营业外收入(万元),5109,1796,386,6396,2407,1528,719,3970,1726,1357,545,1163,860,583,24,1259,460,283,171,1155,809,654,529,7003,2809,2858,293,12508,6366,6051,115,5957,1802,1492,141,6629,1242,92,36,1613,424,259,133,427,257,248,179,303,17,12,8,
营业外支出(万元),563,330,39,1129,459,337,94,396,117,87,42,495,242,172,28,192,100,69,9,270,72,15,4,236,64,42,33,782,565,537,146,471,325,233,213,487,236,60,18,838,514,426,158,3377,45,34,18,12349,136,91,17,
非流动资产处置损失(万元),--,--,--,--,272,220,5,207,67,58,21,114,33,6,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,0,--,--,0,--,
利润总额(万元),73779,49209,43169,196069,190709,125728,50730,273586,216515,133008,57981,440442,409366,314731,97894,219425,157026,84457,38494,127624,106405,62438,41903,84622,70906,54811,23788,58611,42873,51965,40848,167554,125113,64948,54761,182277,117887,83595,30308,98052,90560,83140,43932,336976,-38851,3482,5320,75162,-151828,-88282,-34285,
所得税费用(万元),15408,10532,10408,41735,40241,24921,7225,51898,41518,21261,7619,90848,91100,69830,20634,48844,34321,18231,7296,27003,24987,13752,10957,16320,15844,14282,5867,15113,9854,10452,7515,39255,30630,15863,13462,45077,25715,19992,7588,27889,22510,19731,9923,100400,2193,1209,564,22107,3156,1941,816,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,
净利润(万元),58372,38677,32761,154334,150468,100807,43506,221688,174997,111748,50362,349595,318265,244901,77260,170581,122704,66226,31198,100621,81419,48686,30946,68301,55062,40528,17921,43498,33019,41513,33333,128299,94483,49085,41299,137200,92172,63603,22720,70163,68049,63409,34010,236576,-41044,2273,4756,53055,-154983,-90223,-35101,
归属于母公司所有者的净利润(万元),57114,37787,32219,154511,148594,99502,43225,220658,174409,111489,50235,349337,318166,244851,77244,170544,122664,66206,31199,100586,81380,48656,30934,68301,55062,40528,17921,43498,33019,41513,33333,128299,94483,49085,41299,137200,92172,63603,22720,70163,68049,63409,34010,236367,-42470,1358,4116,52127,-156594,-91276,-35545,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,0,--,0,0,--,--,--,--,--,--,--,
少数股东损益(万元),1258,891,543,-177,1874,1305,281,1030,588,259,127,258,100,50,15,37,40,20,-0,35,39,30,12,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,209,1426,915,640,928,1611,1054,443,
基本每股收益,0.1,0.07,0.06,0.28,0.27,0.18,0.08,0.44,0.35,0.24,0.11,0.74,0.67,0.52,0.16,0.36,0.26,0.14,0.13,0.42,0.34,0.21,0.13,0.29,0.23,0.17,0.08,0.19,0.14,0.18,0.15,0.59,0.44,0.23,0.19,0.68,0.55,0.38,0.14,0.42,0.41,0.38,0.2,1.64,-0.37,0.01,0.04,0.36,-1.36,-0.79,-0.3,
稀释每股收益,0.1,0.07,0.06,0.28,0.27,0.18,0.08,0.44,0.35,0.24,0.11,0.74,0.67,0.52,0.16,0.36,0.26,0.14,0.13,0.42,0.34,0.21,0.13,0.29,0.23,0.17,0.08,0.19,0.14,0.18,0.15,0.59,0.44,0.23,0.19,0.68,0.55,0.38,0.14,0.42,0.41,0.38,0.2,1.64,-0.37,0.01,0,0.36,-1.36,-0.79,--,
