报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),153106,100506,44334,173436,134379,82208,42618,381620,168962,94134,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,
利息收入(万元),42868,50555,16824,92058,32035,46516,9802,117573,43135,29240,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),72899,47308,22336,115978,87565,60383,29576,268387,105269,75517,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),414,313,99,831,707,393,158,723,832,630,
营业总成本(万元),72007,47117,22676,93456,66937,46603,23718,135909,81845,67367,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,
利息支出(万元),--,21048,--,45283,--,26340,--,69655,19424,6643,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),60,41,10,321,236,149,72,273,320,249,
营业税金及附加(万元),1203,813,276,5729,4675,4329,2837,22742,9048,5579,
销售费用(万元),69885,46065,22413,86987,62332,42598,21109,112224,67863,61490,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,
资产减值损失(万元),859,197,-23,419,-306,-473,-299,670,4613,50,
公允价值变动收益(万元),-14476,-6941,-9111,-35474,-24343,-22616,-3913,-13184,7477,-9903,
投资收益(万元),51339,30378,14200,45179,38355,23828,7006,77665,31668,5335,
对联营企业和合营企业的投资收益(万元),2906,2075,890,3732,2988,2231,--,4370,-10,-534,
汇兑收益(万元),-107,-59,-14,147,60,45,-11,111,5,-42,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),4684,3001,1528,5498,4304,3254,2036,5815,793,643,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),81099,53458,21658,79980,67441,35605,18900,245712,87117,26767,
营业外收入(万元),435,273,209,607,471,56,16,548,892,1120,
营业外支出(万元),543,533,19,204,13,6,1,708,503,202,
非流动资产处置损失(万元),--,--,--,--,--,5,--,136,362,42,
利润总额(万元),80992,53198,21848,80383,67900,35655,18915,245552,87505,27685,
所得税费用(万元),17809,11538,5251,19942,16424,9038,4155,59039,18716,8744,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),63183,41660,16597,60442,51476,26617,14759,186513,68789,18941,
归属于母公司所有者的净利润(万元),60280,40647,16522,60201,51393,26617,14780,186507,68611,18719,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),2903,1013,75,241,82,0,-21,6,178,222,
基本每股收益,0.17,0.11,0.05,0.21,0.18,0.09,0.05,0.66,0.24,0.07,
稀释每股收益,0.17,0.11,0.05,0.21,0.18,0.09,0.05,0.66,0.24,0.07,
