报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),372924,264750,175275,69956,314519,194170,118939,45346,237056,154036,96238,42732,198020,133411,86377,39426,172252,117551,74034,30768,163029,107246,67406,28748,133458,88851,57397,26304,112112,49968,92579,65396,55478,
营业收入(万元),372924,264750,175275,69956,314519,194170,118939,45346,237056,154036,96238,42732,198020,133411,86377,39426,172252,117551,74034,30768,163029,107246,67406,28748,133458,88851,57397,26304,112112,49968,92579,65396,55478,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),362359,254609,168655,67588,299085,183222,112090,41441,220534,141142,88601,39423,178742,120574,77224,35328,152498,104459,65868,26875,142274,94968,59660,25751,114912,77541,49891,22808,97030,43629,79976,54444,47895,
营业成本(万元),317037,224744,149053,60122,259284,161949,99494,33891,187807,123207,77710,33665,152232,104766,68149,31417,135552,93983,59300,24246,128861,85520,53589,22712,103912,68412,44149,20018,88011,39269,72297,48063,43191,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),8545,6064,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2385,1436,1013,212,2290,1150,805,322,2110,937,454,230,1031,669,475,195,741,451,287,99,775,538,370,266,656,452,278,163,445,223,227,202,106,
销售费用(万元),15767,10085,6197,2647,13173,6551,3902,1787,10037,5424,3381,1350,8766,4793,2941,1179,5471,2927,1863,905,4443,2675,1666,892,3341,2199,1260,502,2311,1350,2354,1888,1403,
管理费用(万元),15293,11365,11774,5966,21043,12539,7263,5500,17733,11180,7166,4514,14234,9708,5810,2865,9902,6783,4381,1938,8127,6443,4132,1987,6727,5695,3717,1739,5305,2329,4564,3115,2985,
财务费用(万元),2524,1387,739,228,924,1278,900,295,1603,917,441,312,1430,600,154,-46,709,436,419,137,-901,-586,-597,-166,43,636,455,275,973,608,282,894,83,
资产减值损失(万元),809,-471,-121,-1588,2371,-245,-273,-354,1244,-523,-551,-648,1048,39,-304,-281,123,-120,-381,-449,970,378,501,60,232,146,32,111,-15,-150,252,283,126,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
投资收益(万元),7740,1081,658,219,4127,614,420,170,851,916,641,1074,1652,337,81,-2,103,167,152,86,171,26,--,--,--,--,--,--,0,0,0,0,-81,
对联营企业和合营企业的投资收益(万元),8462,218,218,--,2384,--,--,--,-1352,--,--,--,-81,--,--,--,-5,--,--,--,-2,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),18422,11289,7282,2593,19696,11561,7270,4075,17373,13811,8278,4383,20930,13175,9235,4096,19856,13258,8318,3979,20926,12304,7746,2997,18547,11311,7507,3496,15083,6339,12603,10953,7502,
营业外收入(万元),275,139,52,1,252,157,75,16,161,262,237,1,955,240,198,172,481,138,49,19,138,73,53,31,664,324,22,4,182,150,254,53,7,
营业外支出(万元),222,178,144,78,177,132,83,42,195,164,52,42,175,49,34,7,301,153,68,31,102,56,42,15,292,82,64,10,50,12,55,237,142,
非流动资产处置损失(万元),--,--,--,--,--,--,6,1,37,--,33,--,102,3,20,--,11,--,--,--,14,--,--,--,225,--,--,--,13,--,1,168,86,
利润总额(万元),18475,11249,7189,2516,19771,11586,7263,4049,17339,13909,8463,4342,21710,13366,9400,4260,20036,13243,8298,3966,20962,12321,7756,3013,18919,11553,7465,3490,15214,6477,12802,10769,7367,
所得税费用(万元),3924,1645,1157,417,4106,2489,1572,875,2851,2328,1521,762,3566,2607,1982,754,3778,3271,2285,1057,4882,2886,1786,689,4538,2649,1767,814,3399,1482,2865,1549,1379,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),14550,9605,6033,2099,15665,9097,5690,3174,14488,11581,6942,3580,18144,10759,7417,3507,16259,9972,6014,2909,16080,9435,5970,2324,14381,8904,5698,2677,11815,4994,9937,9220,5988,
归属于母公司所有者的净利润(万元),14483,9507,5968,2103,15374,8898,5540,3070,14055,11265,6675,3406,17871,10621,7270,3491,16151,9942,5999,2900,15985,9325,5889,2270,14366,8937,5721,2700,11794,4965,10001,9220,5281,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,1790,
少数股东损益(万元),68,97,65,-4,292,199,150,104,433,315,267,175,273,139,148,15,108,31,15,9,95,110,81,54,15,-33,-23,-24,21,29,-65,0,707,
