报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),273767,125367,477131,336319,247590,112153,379092,269948,180407,86869,345449,248135,156584,67312,512983,421856,286942,134291,500131,372509,226517,107900,391581,230995,284724,
营业收入(万元),273767,125367,477131,336319,247590,112153,379092,269948,180407,86869,345449,248135,156584,67312,512983,421856,286942,134291,500131,372509,226517,107900,391581,230995,284724,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),255445,117394,452938,318853,235848,105363,355866,252755,167536,81856,338751,242042,152118,63828,506667,411811,280062,130421,487771,362834,219997,--,376234,216200,274190,
营业成本(万元),241349,109704,427774,303353,225937,101496,336169,240014,159691,78107,318766,227758,141326,58782,481734,396000,270439,125999,467143,347819,209877,--,358553,203605,264022,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1081,513,2173,1604,1122,411,1804,1306,860,441,971,745,587,273,1113,725,501,107,1217,880,429,--,558,560,594,
销售费用(万元),4124,1885,8310,5944,3810,1618,7180,4969,3188,1521,6500,4676,2929,1669,5742,4487,2965,1426,5827,4356,3076,--,4921,3570,3967,
管理费用(万元),6304,3451,10641,5276,3263,1358,7525,4563,3072,1287,7175,5451,4218,2182,5070,3534,2441,1138,5204,3251,2165,--,4597,4130,3880,
财务费用(万元),1862,1437,2683,1686,970,341,882,853,611,466,2776,2473,2281,1149,6292,4948,3452,1759,8194,6445,4367,--,7404,4088,1429,
资产减值损失(万元),725,403,1358,989,746,139,2306,1050,113,35,2562,939,778,-227,6716,2117,264,-7,186,83,83,--,201,247,299,
公允价值变动收益(万元),-2662,35,-25,5,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1033,492,477,191,69,--,--,--,--,--,-254,-109,-109,-137,93,203,257,179,-62,-97,-41,--,-353,-307,-154,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,-254,-109,-109,-137,93,203,--,--,-62,--,-41,--,-353,-394,-154,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),16690,8497,24682,17662,11837,6790,23227,17194,12871,5013,6444,5984,4358,3346,6409,10249,7138,4049,12298,9577,6479,--,14994,14487,10380,
营业外收入(万元),172,52,243,259,185,33,235,135,99,41,253,141,102,36,350,165,121,32,411,266,183,--,272,324,402,
营业外支出(万元),546,492,100,114,37,13,146,69,68,17,146,2,--,--,179,179,86,84,39,12,9,--,335,58,11,
非流动资产处置损失(万元),525,--,--,70,8,7,127,50,50,--,146,2,--,--,177,177,84,--,12,--,3,--,334,-12,--,
利润总额(万元),16316,8057,24825,17808,11986,6811,23315,17260,12903,5037,6550,6124,4459,3382,6579,10235,7173,3997,12670,9831,6652,--,14931,14754,10771,
所得税费用(万元),3064,1425,4269,2615,1788,1380,4547,2805,2092,834,1012,776,415,828,1432,2008,1333,750,2175,1926,1259,--,2320,2635,1998,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),13252,6632,20556,15193,10197,5431,18769,14455,10811,4204,5538,5348,4044,2554,5147,8227,5841,3247,10495,7905,5393,4000,12612,12118,8773,
归属于母公司所有者的净利润(万元),13177,6707,18643,13284,8655,4469,17050,13614,10232,3996,4412,4505,3555,2359,4253,7519,5421,3089,9931,7477,5233,4000,11945,11691,8966,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),76,-75,1913,1908,1542,962,1719,841,579,208,1126,843,489,195,893,708,420,158,563,427,159,--,667,427,-193,
基本每股收益,0.65,0.33,0.92,0.66,0.43,0.22,0.84,0.67,0.5,0.2,0.24,0.26,0.22,0.16,0.28,0.49,0.36,--,0.65,--,0.34,--,0.79,0.77,0.64,
稀释每股收益,0.65,0.33,0.92,0.66,0.43,0.22,0.84,0.67,0.5,0.2,0.24,0.26,0.22,--,0.28,0.49,0.36,--,0.65,--,0.34,--,0.79,0.77,0.64,
