报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),307924,206830,91289,477537,262252,164645,59805,378226,105253,70177,32606,154816,117612,79535,36981,203573,145528,98216,38443,208029,145003,15021,6149,30205,21419,15429,7806,34810,27281,19608,10239,34785,25257,17848,8691,29078,22122,14833,6411,29392,23482,16671,7437,23455,17193,11250,5313,19738,15540,10769,4899,
营业收入(万元),307924,206830,91289,477537,262252,164645,59805,378226,105253,70177,32606,154816,117612,79535,36981,203573,145528,98216,38443,208029,145003,15021,6149,30205,21419,15429,7806,34810,27281,19608,9854,34785,24690,17848,8691,29078,22122,14833,6411,29392,23482,16671,7437,23455,17193,11250,5313,19738,15540,10769,4899,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
营业总成本(万元),275254,186919,81288,462271,257748,163159,61316,365771,99373,66448,31017,127546,92705,62962,31168,157854,114005,75156,30255,162744,114917,15674,6555,31475,22658,16106,8142,35869,27343,19490,10161,37476,24763,17550,8327,28758,21802,14762,6599,34358,24587,17576,7675,25505,17658,11566,5285,22174,15879,11268,5473,
营业成本(万元),231882,157989,67777,386341,216639,137049,49260,298541,82104,55330,25465,98243,75389,50237,25067,129796,94133,61582,22752,130984,92630,12989,5316,25450,18239,13080,6664,28997,22891,16248,8255,27749,19991,14074,6690,22471,17581,12001,5442,26144,20428,14700,6570,20560,14853,9660,4532,16595,13363,9474,4427,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
研发费用(万元),14588,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
营业税金及附加(万元),2693,1946,1013,4335,2723,1589,747,2074,373,245,75,817,597,471,230,910,604,413,133,858,562,38,19,138,102,79,31,137,107,90,50,134,98,72,21,106,84,51,9,153,86,61,32,80,64,45,18,100,70,52,28,
销售费用(万元),5837,3964,2039,8662,4876,3184,1682,9265,3085,1691,745,5106,3069,2306,961,4639,3508,2496,1250,5150,3772,903,408,1754,1231,890,489,2258,1480,1083,427,2620,1708,1304,584,2092,1355,885,350,2548,1659,1094,457,1744,1263,870,252,1173,861,629,359,
管理费用(万元),22818,24344,11024,55670,33579,21125,9295,48085,12448,8224,4324,19009,13298,8864,4299,18031,14007,9316,5260,19117,13914,1453,688,3491,2594,1704,760,3789,2415,1755,950,5253,2690,1883,957,3817,2546,1672,801,3940,2216,1516,528,2788,1468,973,484,4190,1507,1031,601,
财务费用(万元),-865,-218,-65,-608,-55,223,347,1464,1348,944,408,835,455,1188,592,2134,1690,1287,861,5473,3921,260,124,607,479,339,198,672,475,299,138,341,257,197,74,317,216,133,70,361,182,183,88,38,-9,-0,-1,49,54,57,58,
资产减值损失(万元),-1699,-1106,-500,7873,-13,-10,-15,6341,14,14,--,3536,-102,-102,18,2344,63,63,--,1162,119,30,--,34,14,14,--,16,-25,15,--,1379,19,19,--,-45,20,20,-75,1213,17,23,0,297,19,19,0,67,25,25,0,
公允价值变动收益(万元),-21,-80,-44,-447,40,-146,-28,-180,-18,-105,-194,405,47,326,56,48,116,-29,-1,33,2,-34,28,-8,12,20,13,-169,-103,-87,-14,-56,-71,-206,-40,112,37,-23,196,-596,-559,-470,-139,1030,0,0,0,--,0,0,0,
投资收益(万元),--,--,--,527,45,45,0,271,--,--,--,1339,424,424,167,905,474,133,--,--,--,--,--,788,788,788,--,-304,-304,-304,--,3707,-408,-67,-59,-362,141,262,-35,25,-90,-42,-83,2641,958,696,4,-169,55,5,13,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-408,-67,-59,-903,-239,-118,-63,-22,-133,-86,-97,--,684,696,4,--,55,5,13,
汇兑收益(万元),32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
营业利润(万元),34186,21239,10890,16461,4936,1576,-1538,12546,5862,3624,1394,29014,25378,17323,6036,46672,32114,23164,8187,45317,30089,-687,-377,-490,-440,131,-323,-1533,-469,-272,64,960,15,25,265,69,498,310,-27,-5537,-1754,-1417,-460,1620,493,380,32,-2606,-285,-494,-562,
营业外收入(万元),36,17,7,154,77,41,40,3618,387,342,1,1799,990,737,518,1415,513,341,97,1417,1077,7,5,1017,750,131,1,300,23,21,1,257,142,74,52,325,7,7,2,2752,74,73,2,475,34,18,17,17222,11872,11871,6591,
营业外支出(万元),96,5,3,2220,133,50,36,383,134,113,83,309,243,190,60,352,62,46,6,609,335,5,--,7,7,3,0,38,16,0,--,46,11,3,3,4,4,3,0,248,26,24,7,1,1,0,0,10064,7542,7526,3826,
非流动资产处置损失(万元),--,--,--,--,33,21,32,229,--,--,--,124,--,19,3,51,--,--,--,397,--,--,--,0,--,--,--,6,--,--,--,33,0,--,--,4,--,--,--,97,--,--,0,--,0,0,0,--,0,0,0,
利润总额(万元),34126,21251,10893,14394,4879,1567,-1535,15781,6115,3853,1313,30504,26126,17870,6494,47734,32565,23459,8277,46126,30831,-685,-371,520,304,259,-323,-1271,-462,-252,64,1170,147,96,315,390,501,314,-25,-3033,-1706,-1368,-465,2095,527,398,49,4553,4046,3852,2203,
所得税费用(万元),7910,5665,2421,2949,2225,1767,203,2070,1472,885,309,5607,4974,3530,1181,8080,5820,4221,1539,8170,5875,-9,7,170,4,5,3,-143,35,37,-2,35,-10,-30,-6,93,6,-3,41,-284,-262,-249,-21,1050,0,0,5,1830,1343,1286,732,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,
净利润(万元),26216,15585,8472,11446,2654,-200,-1738,13711,4642,2969,1003,24897,21151,14340,5313,39654,26745,19238,6738,37955,24955,-677,-379,350,300,254,-326,-1128,-496,-289,66,1135,157,126,321,297,495,316,-66,-2749,-1444,-1119,-444,1045,527,398,43,2723,2703,2566,1471,
归属于母公司所有者的净利润(万元),26168,15533,8472,12021,2656,-198,-1736,13765,4650,2975,1005,24855,21166,14389,5327,39670,26746,19190,6719,38090,25012,-579,-321,570,441,339,-295,-1107,-476,-288,76,1147,157,121,331,369,530,329,-77,-2771,-1519,-1204,-455,987,472,380,40,2755,2734,2586,1482,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,3988,--,--,--,--,--,--,--,--,--,--,--,18054,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),48,53,--,-575,-2,-2,-2,-54,-8,-6,-2,42,-15,-49,-14,-15,-1,48,19,-134,-57,-98,-58,-220,-141,-85,-32,-22,-21,-1,-9,-12,-1,5,-10,-71,-35,-13,11,22,75,85,11,59,55,18,3,-32,-31,-20,-11,
基本每股收益,0.19,0.11,0.06,0.09,0.02,-0,-0.01,0.11,0.05,0.03,0.01,0.24,0.2,0.2,0.07,0.54,0.36,0.26,0.09,0.62,0.42,-0.03,-0.02,0.03,0.02,0.02,-0.02,-0.06,-0.03,-0.02,0,0.06,0.01,0.01,0.02,0.02,0.03,0.02,-0,-0.14,-0.08,-0.06,-0.02,0.05,0.03,0.02,0,0.17,0.01,0.19,0.11,
稀释每股收益,0.19,0.11,0.06,0.09,0.02,-0,-0.01,0.11,0.05,0.03,0.01,0.24,0.2,0.2,0.07,0.54,0.36,0.26,0.09,0.62,0.42,-0.03,-0.02,0.03,0.02,0.02,-0.02,-0.06,-0.03,-0.02,0,0.06,0.01,0.01,0.02,0.02,0.03,0.02,-0,-0.14,-0.08,-0.06,-0.02,0.05,0.03,0.02,0,0.17,0.01,0.19,0.11,
