报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),201813,130372,224382,162381,189692,95616,194197,185206,170481,
营业收入(万元),201813,130372,224382,162381,189692,95616,194197,185206,170481,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),168929,105660,197876,146582,185433,91712,184828,171576,155652,
营业成本(万元),144610,90206,167625,121977,149824,75745,154226,144804,129091,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1779,1210,2074,1646,1102,487,785,981,954,
销售费用(万元),3013,1924,4143,2765,3213,1561,3295,3202,2886,
管理费用(万元),13816,8559,15116,10326,14100,6566,12644,12174,11722,
财务费用(万元),3327,2615,7104,7929,12004,4818,10968,6690,8652,
资产减值损失(万元),2385,1147,1815,1939,5190,2535,2910,3725,2347,
公允价值变动收益(万元),-199,-100,--,--,--,--,--,--,--,
投资收益(万元),-92,-92,218,15,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),32876,24708,26723,15815,4258,3904,9369,13630,14829,
营业外收入(万元),384,162,982,616,987,436,1116,1453,1038,
营业外支出(万元),121,121,502,433,249,142,423,183,268,
非流动资产处置损失(万元),35,35,316,281,12,6,103,9,4,
利润总额(万元),33138,24749,27203,15998,4997,4198,10062,14899,15600,
所得税费用(万元),5951,4634,4447,2281,857,930,1998,3344,2137,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),27188,20115,22756,13718,4140,3268,8064,11555,13463,
归属于母公司所有者的净利润(万元),27188,20115,22756,13718,4140,3268,8064,11555,13463,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.57,0.42,0.47,0.29,0.09,0.07,0.17,0.24,0.29,
稀释每股收益,0.57,0.42,0.47,0.29,0.09,0.07,0.17,0.24,0.29,
