报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),589108,362313,184107,657263,454275,290460,147601,545005,389003,254517,120088,427049,303907,184655,86680,354651,258188,169508,76031,315833,218127,137655,63694,253997,105223,216713,203594,147836,
营业收入(万元),589108,362313,184107,657263,454275,290460,147601,545005,389003,254517,120088,427049,303907,184655,86680,354651,258188,169508,76031,315833,218127,137655,63694,253997,105223,216713,203594,147836,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),575562,353347,175754,638728,438118,277478,139785,523676,368700,241263,114568,416016,294848,179922,83303,344506,249954,163954,71841,304383,208673,131463,58801,244229,100019,205154,192656,139810,
营业成本(万元),547701,334894,166495,607383,416668,263543,133160,496758,352007,230427,108897,392926,279865,170986,78717,324768,235346,154441,67183,289073,198722,125048,55962,231478,94388,193262,181966,132074,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),647,434,217,783,564,369,186,503,14,13,12,40,16,0,--,43,36,32,3,110,62,57,36,85,51,235,70,82,
销售费用(万元),16441,10500,5369,16273,10421,7185,3613,13188,8887,5874,3262,12359,8140,4874,2473,10123,7792,5203,2437,8183,5750,3640,1601,7331,3258,6668,5944,4304,
管理费用(万元),10706,6811,3173,15566,11159,6260,2835,12279,7934,5075,2456,11024,6962,4045,2078,8798,6128,3737,1609,6492,3960,2654,1111,4944,2129,4686,3987,2690,
财务费用(万元),-531,-523,-248,-1365,-981,-322,-220,-423,-273,-190,-43,-352,-277,-191,-53,299,414,388,161,384,242,127,52,265,100,283,499,589,
资产减值损失(万元),410,1231,748,89,286,443,211,1372,132,63,-16,19,141,207,88,477,237,152,448,141,-64,-64,38,126,92,20,189,71,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),66,66,55,125,90,90,12,855,669,387,151,528,432,298,154,109,--,--,--,--,--,--,--,974,532,329,53,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),14307,9292,8522,19673,16893,13514,7828,22183,20972,13641,5671,11561,9491,5031,3532,10255,8234,5553,4190,11451,9454,6193,4893,10742,5736,11888,10991,8026,
营业外收入(万元),628,370,325,495,850,673,506,2469,1438,774,450,1513,1251,735,324,1245,681,243,101,941,529,394,152,799,305,603,983,1287,
营业外支出(万元),27,15,9,123,290,233,157,241,115,74,30,276,174,105,61,251,183,85,45,102,69,48,24,153,47,245,73,182,
非流动资产处置损失(万元),--,--,--,--,206,149,78,210,88,50,30,221,140,102,61,219,137,85,45,99,66,46,22,134,47,214,53,173,
利润总额(万元),14908,9647,8837,20045,17452,13953,8177,24412,22294,14341,6091,12797,10568,5660,3795,11249,8732,5711,4246,12290,9914,6539,5022,11388,5994,12247,11902,9130,
