报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),96237,342831,251415,166258,74326,359410,271705,180083,83424,319877,248552,169507,80431,300722,228843,147819,73987,300952,230541,145762,63116,233966,182982,124325,55491,214891,164937,111293,52500,210961,166472,115097,49962,212137,162828,109853,45685,168322,123316,79910,36421,224648,181373,115098,51354,194048,146123,99250,44728,179227,129166,83714,34352,
营业收入(万元),96237,342831,251415,166258,74326,359410,271705,180083,83424,319877,248552,169507,80431,300722,228843,147819,73987,300952,230541,145762,63116,233966,182982,124325,55491,214891,164937,111293,52500,210961,166472,115097,49962,212137,162828,109853,45685,168322,123316,79910,36421,224648,181373,115098,51354,194048,146123,99250,44728,179227,129166,83714,34352,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
营业总成本(万元),82689,320872,228060,150390,70346,305329,216783,139756,67316,259406,184257,118424,57857,260398,194036,127568,67630,270227,196453,122665,57091,203783,148843,97110,49110,199764,143507,95724,49599,206741,156615,106665,50378,202138,149652,99413,47320,165336,115290,74145,37509,231232,175025,111124,52120,182574,132869,88488,41855,163303,111977,71228,32596,
营业成本(万元),69933,266538,191591,127000,57831,258280,184402,118615,57360,208694,148772,95912,46896,207848,157143,103140,54701,218066,157577,96904,44958,155333,112397,72636,37065,149428,106048,70943,37909,161015,122758,84245,39491,156860,115576,76414,36851,122014,85790,54944,28045,181727,142572,89999,41634,146688,106858,71351,33206,129689,88927,56574,26076,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
研发费用(万元),873,5061,3052,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1024,3668,2767,1687,858,4131,3351,2283,1039,4263,2552,1759,884,2505,1929,1297,582,2144,1518,1059,439,1982,1556,1047,418,1895,1568,1087,361,1573,1285,869,381,1219,949,685,243,861,615,404,161,1119,894,576,288,1120,810,548,257,957,738,445,176,
销售费用(万元),1916,8155,6161,4410,2487,9275,6466,4015,1868,8659,6340,4024,1941,8948,6505,4232,2120,7853,5820,3701,1627,5832,4380,2837,1337,5940,4409,2941,1313,5107,3971,2666,1166,6156,4715,3214,1408,4344,2921,1805,934,6454,4581,2973,1500,5926,4162,2814,1573,4936,3045,1906,904,
管理费用(万元),5024,19382,12929,10279,5485,18026,11457,7346,3594,19778,13674,8722,3870,20006,12937,8237,4274,16818,12228,8093,3805,15777,11679,7608,3771,14647,10354,6880,3381,13381,10103,6638,3426,14691,10363,6781,3166,13181,8482,5323,2598,15574,11688,7065,3609,12837,9311,6077,2938,13004,8806,5664,2409,
财务费用(万元),4201,16743,11806,7682,3972,15798,11932,7783,3899,14933,11589,7727,4178,19617,14740,10021,5498,24374,18598,12572,6035,24009,18470,12642,6405,26198,19584,13063,6434,25263,18903,12068,5900,23944,18032,12238,5776,23172,17438,11536,5830,22533,15444,10702,5138,16277,11836,7878,4015,14292,10083,6322,2911,
资产减值损失(万元),-282,1326,-247,-668,-287,-181,-825,-287,-445,3079,1330,281,88,1474,782,641,455,971,712,336,227,851,362,340,115,1656,1545,810,203,401,-403,178,13,-732,18,80,-122,1764,43,133,-60,3825,-155,-191,-49,-273,-110,-180,-133,424,378,317,119,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,0,0,0,0,0,0,--,0,0,0,
投资收益(万元),--,4549,--,--,--,247,331,--,--,22,37,37,9,105,--,--,--,367,367,356,17,79,59,18,--,13,13,13,--,8267,7635,1,--,1,-8,-7,-6,-22,-3,-2,-1,-4175,-3,-2,-1,17,15,15,-1,475,-3,-2,0,
