报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),24264,14865,25299,18100,11392,17688,7117,10681,7438,3815,
营业收入(万元),24264,14865,25299,18100,11392,17688,7117,10681,7438,3815,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),16889,10025,20132,14118,8573,15778,5845,9053,5774,3454,
营业成本(万元),1874,1078,2322,1684,1063,1212,392,621,503,341,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),147,57,131,62,38,63,26,83,82,48,
销售费用(万元),8839,5099,10837,7025,4443,7718,2812,4775,3100,1677,
管理费用(万元),5590,3560,7026,5311,3022,6887,2509,3349,1978,1363,
财务费用(万元),296,136,-382,-144,-110,-240,65,78,34,-4,
资产减值损失(万元),143,96,198,180,119,139,41,148,77,29,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,828,823,4,21,21,62,--,11,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7573,4906,5995,4805,2822,1931,1293,1690,1664,371,
营业外收入(万元),189,125,1343,921,815,548,85,654,1002,589,
营业外支出(万元),15,11,33,23,0,19,13,53,27,3,
非流动资产处置损失(万元),3,0,12,5,0,17,11,1,7,--,
利润总额(万元),7746,5020,7305,5703,3637,2460,1365,2292,2639,957,
所得税费用(万元),960,612,759,610,420,611,170,378,434,160,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),6786,4407,6546,5092,3217,1849,1196,1914,2205,797,
归属于母公司所有者的净利润(万元),6786,4407,6703,5249,3347,2109,1228,1914,2205,797,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,-157,-157,-130,-260,-33,--,--,--,
基本每股收益,0.85,0.73,1.12,0.87,0.56,0.35,0.2,--,--,--,
稀释每股收益,0.85,0.73,1.12,0.87,0.56,0.35,0.2,--,--,--,
