报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),311225,161517,568924,429357,298744,146431,617882,474144,324647,164386,708055,502501,336168,162081,708688,508572,333496,155183,601014,447469,307845,144904,512993,385528,258021,123357,439189,319834,208775,102536,347347,253552,161960,74103,288086,206007,135036,67809,236534,177997,121236,63245,225841,168310,119491,59333,216465,164690,114752,50631,
营业收入(万元),311225,161517,568924,429357,298744,146431,617882,474144,324647,164386,708055,502501,336168,162081,708688,508572,333496,155183,601014,447469,307845,144904,512993,385528,258021,123357,439189,319834,208775,102536,347347,253552,161960,74103,288086,206007,135036,67809,236534,176472,121236,63245,225841,168310,118575,59333,216465,164690,114189,50631,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
营业总成本(万元),287115,147838,537339,404224,280503,136758,593886,451396,306945,156052,671491,476007,313385,151888,675720,482159,311956,144362,571066,423615,288252,133010,490693,362695,239063,112578,416445,299264,191685,92150,327386,235034,145930,66127,275983,194575,124985,61503,234108,108955,115541,39390,252030,172264,77455,59783,262355,165721,63695,52369,
营业成本(万元),174485,89458,348005,268001,188825,90001,417775,325081,223918,111118,499003,343280,221530,105199,493619,350866,223636,102504,409403,302775,204214,90640,333911,242334,155743,72004,282567,202253,126899,58492,213656,152760,91857,38285,177813,124398,76907,37345,147437,107881,73237,39390,146710,110213,77309,39799,139291,97018,63628,29265,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,
