报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),88806,318736,204742,118465,48378,221712,141785,78670,34836,168744,108737,63975,30222,129055,92774,55161,24950,102189,70380,42422,18165,89712,61213,38836,83824,67007,60229,
营业收入(万元),88806,318736,204742,118465,48378,221712,141785,78670,34836,168744,108737,63975,30222,129055,92774,55161,24950,102189,70380,42422,18165,89712,61213,38836,83824,67007,60229,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),82795,289940,183408,108759,43760,197735,123964,71393,31783,145753,94830,57454,27594,117689,82315,48961,22117,88065,60942,37518,16102,78158,53828,34599,73448,59072,52076,
营业成本(万元),60848,208138,136648,80097,31145,139729,89128,49799,22243,101902,67608,40056,18970,80620,58542,34517,16030,64350,45663,27532,11764,57594,40078,25472,54372,40912,33675,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),514,3240,1862,1163,358,1983,1032,642,320,1743,1044,713,239,568,377,289,131,756,547,349,147,758,448,328,620,573,582,
销售费用(万元),14216,46302,25002,15956,7687,31870,18215,11300,5305,24538,15417,10302,5359,23591,15173,9468,4084,14254,9301,6023,2283,11454,7522,5067,10102,10699,9518,
管理费用(万元),5933,22619,15098,9368,4240,16093,11389,7311,3449,13480,9357,5809,2953,11758,7611,4841,2145,8632,5660,3737,1859,6842,4953,3127,6900,5780,5270,
财务费用(万元),1547,3695,2961,1490,448,5098,3741,2690,1290,2641,1193,762,448,967,547,81,20,-631,-552,-415,-49,124,504,346,1070,994,2110,
资产减值损失(万元),-261,5945,1837,685,-118,2962,459,-349,-825,1449,210,-188,-374,184,64,-235,-293,703,324,293,98,1386,323,259,384,114,920,
公允价值变动收益(万元),16,-1454,34,--,--,1664,98,-31,25,-48,28,268,125,-255,-205,-205,-205,256,217,390,--,-200,-141,-201,82,68,--,
投资收益(万元),274,1542,-156,-156,-138,-270,-170,-12,-24,434,--,--,--,-369,--,--,--,330,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-23,-80,-156,-156,-138,-150,--,--,--,-22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
