报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),9005,42129,34133,22286,9556,42047,33735,21811,10695,46500,34151,21498,11274,47501,35728,21745,45738,44595,43511,
营业收入(万元),9005,42129,34133,22286,9556,42047,33735,21811,10695,46500,34151,21498,11274,47501,35728,21745,45738,44595,43511,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),7467,37370,29997,19178,7913,36010,28460,18455,8995,41278,29929,19457,9739,42330,30761,18902,41424,40291,37430,
营业成本(万元),5780,29848,23652,15242,6327,29318,23477,15268,7301,33821,24865,15762,8220,35071,26174,15903,33705,33452,32440,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),111,699,547,384,144,629,333,191,111,406,302,194,109,481,359,241,503,582,481,
销售费用(万元),364,2234,1586,987,416,2181,1568,938,411,2243,1402,1045,373,2501,1405,944,2068,2048,1464,
管理费用(万元),779,3558,3457,2213,979,5351,3755,2387,957,4930,3628,2212,1046,4113,2816,1848,4270,3856,2372,
财务费用(万元),555,760,573,247,34,-1602,-878,-604,40,-711,-396,116,-82,243,46,4,711,299,689,
资产减值损失(万元),-122,271,184,105,13,132,205,274,175,589,128,128,73,-78,-39,-39,169,54,-14,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,38,-30,147,-242,-275,199,--,--,
投资收益(万元),32,-22,28,6,6,16,8,4,--,165,173,100,-1,151,200,206,--,6,-45,
对联营企业和合营企业的投资收益(万元),32,--,28,6,--,--,8,4,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1904,5143,4324,3274,1649,6053,5283,3361,1700,5387,4395,2179,1505,5469,4926,2775,4513,4310,6035,
营业外收入(万元),0,0,190,137,54,904,435,210,90,1150,949,579,156,420,349,226,1154,1067,463,
营业外支出(万元),30,199,199,64,13,40,39,22,21,173,103,2,2,14,18,16,50,33,92,
非流动资产处置损失(万元),--,--,149,14,--,9,9,1,0,15,3,2,2,13,13,10,15,2,59,
利润总额(万元),1874,4944,4314,3347,1689,6917,5679,3549,1769,6364,5241,2756,1658,5874,5257,2986,5617,5344,6407,
所得税费用(万元),-202,761,755,577,301,935,892,551,264,895,828,363,74,862,1028,438,819,877,1080,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2076,4182,3559,2770,1388,5982,4787,2998,1505,5469,4413,2393,1584,5012,4229,2548,4798,4467,5327,
归属于母公司所有者的净利润(万元),2076,4178,3559,2770,1388,5982,4787,2998,1505,5469,4413,2393,1584,4981,4203,2531,4764,4433,5293,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,5,--,--,--,--,--,--,--,--,--,--,--,31,26,17,34,34,34,
基本每股收益,0.08,0.16,0.13,0.1,0.05,0.22,0.18,0.11,0.11,0.47,0.38,0.23,0.16,0.5,0.42,0.25,0.48,0.44,0.6,
稀释每股收益,0.08,0.16,0.13,0.1,0.05,0.22,0.18,0.11,0.11,0.47,0.38,0.23,0.16,0.5,0.42,0.25,0.48,0.44,0.6,
