报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),46562,216747,155103,98073,44013,124208,77368,46611,22651,100985,69860,47236,25884,115655,82328,53875,27730,124295,89721,58687,28838,116178,82962,54436,23101,100702,63578,40087,16597,62277,43617,27954,12703,45784,31668,21638,8970,39002,28317,16979,7568,35800,26930,15900,6298,23753,16481,9633,3273,14613,10256,6793,2766,
营业收入(万元),46562,216747,155103,98073,44013,124208,77368,46611,22651,100985,69860,47236,25884,115655,82328,53875,27730,124295,89721,58687,28838,116178,82962,54436,23101,100702,63578,40087,16597,62277,43617,27954,12703,45784,31668,21638,8970,39002,28317,16979,7568,35800,26930,15900,6298,23753,16481,9633,3273,14613,10256,6793,2766,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),26690,150661,96002,59596,24274,85078,42231,25166,11105,54026,31602,19916,9719,56212,32294,20649,9475,50972,34119,20907,10991,54570,35975,23980,9143,47849,24996,15534,5691,25025,16186,10792,4591,19342,10802,6717,2634,14929,8804,5090,2718,12006,7861,4899,1906,14095,9537,5708,1556,9500,6215,4381,1714,
营业成本(万元),7149,44827,24691,15428,6494,36431,17694,13544,6247,35126,19890,12718,6643,39359,23626,14702,6901,37243,24848,15648,8178,37862,26519,17566,7007,33031,19273,11384,3495,15311,10214,6489,2921,10674,6261,3901,1214,6698,4736,2575,1446,4904,3475,2255,980,8163,6032,3748,1223,5373,3739,2707,988,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),2240,7289,5199,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),599,3181,2389,1776,643,1775,1147,718,290,1356,773,528,333,1450,1070,742,432,1635,1225,838,401,1392,876,528,186,1247,767,537,218,699,466,305,136,552,369,261,112,474,352,207,92,450,367,201,73,255,170,93,31,128,84,59,14,
销售费用(万元),14493,91116,59224,35869,13608,36942,17013,7431,2366,8384,4632,2077,906,3367,2292,1273,589,3039,1904,918,515,3113,1715,1122,385,3477,1505,1121,632,1803,1258,872,238,1898,1198,679,252,1440,946,524,202,1126,776,548,283,1075,679,427,204,950,696,468,233,
管理费用(万元),2266,5568,5582,7010,3488,11272,7765,4475,2519,9878,6947,4716,2140,13800,7007,5003,2445,10038,6932,4128,2129,13030,7574,5328,1808,11159,4410,3175,1617,7865,4616,3191,1360,6889,3431,2253,1125,6387,3223,2169,1081,5992,3460,2029,623,4872,2879,1524,195,3185,1872,1246,567,
财务费用(万元),-769,-2083,-1596,-952,-393,-1830,-1576,-1068,-530,-1796,-1206,-887,-1054,-1925,-1439,-954,-545,-2093,-1196,-783,-286,-1268,-932,-612,-306,-1143,-1012,-601,-362,-855,-530,-159,-146,-722,-537,-380,-95,-678,-507,-412,-153,-480,-265,-142,-43,-215,-163,-94,-89,-350,-266,-178,-89,
资产减值损失(万元),712,761,512,465,433,488,188,66,212,1078,566,764,752,161,-264,-117,-348,1110,405,159,54,440,222,47,63,78,55,-82,92,202,162,94,82,51,80,4,25,608,55,27,49,15,48,7,-10,-54,-60,10,-8,215,90,80,2,
公允价值变动收益(万元),939,-2593,-1548,-294,364,2889,1589,1047,631,-90,-59,-547,-551,-660,2846,5068,32,345,57,19,-5,-17,-92,-181,-19,13,-69,-10,38,-278,-220,-32,56,-913,-811,-565,-125,1139,719,605,367,-1867,-1606,-1396,-1060,1388,1015,1512,796,--,--,0,--,
投资收益(万元),1357,2529,2328,1479,426,19242,6585,2800,1676,3849,2356,1669,936,6898,5143,4739,1978,4380,3113,1898,937,3871,2421,1806,464,2643,1963,1350,374,22330,23471,23073,517,2628,1850,735,208,1073,895,468,-44,972,801,686,473,2899,2177,0,0,347,22,0,--,
对联营企业和合营企业的投资收益(万元),--,-655,--,--,--,546,--,--,--,1028,--,--,--,1453,--,--,--,1427,--,--,--,1680,--,--,--,--,--,578,--,21867,--,3648,--,1567,0,--,--,809,0,--,--,166,--,--,--,--,--,0,0,--,--,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业利润(万元),22492,68164,60259,40026,20828,62162,43312,25292,13854,50718,40555,28442,16550,65682,58022,43034,20266,78048,58773,39698,18779,65463,49317,32081,14404,55509,40475,25894,11318,59304,50682,40203,8684,28158,21905,15090,6419,26286,21128,12962,5173,22900,18264,10291,3805,13945,10136,5437,2513,5460,4063,2412,1051,
营业外收入(万元),5,1,11,--,--,142,1248,1078,405,2021,1026,641,391,1471,1197,764,102,3289,2905,1608,693,1928,1636,1585,613,525,370,140,135,1144,6,6,--,3799,681,489,67,1022,460,409,248,704,427,344,234,965,107,59,51,77,--,0,--,
营业外支出(万元),1,1001,1,1,--,43,4,3,1,3,6,6,6,278,9,9,9,96,123,34,0,23,5,4,0,0,1,0,0,3,6,4,1,1,1,0,--,3,2,0,--,6,9,9,--,1,1,0,0,1,1,0,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,3,--,--,--,--,--,0,--,--,--,51,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
利润总额(万元),22497,67165,60269,40025,20828,62262,44555,26367,14258,52736,41576,29076,16935,66875,59210,43789,20359,81242,61555,41272,19472,67367,50948,33662,15017,56034,40844,26034,11452,60445,50682,40205,8683,31955,22585,15579,6486,27304,21585,13371,5421,23598,18682,10626,4038,14908,10242,5496,2563,5535,4062,2412,1051,
所得税费用(万元),2662,10825,7430,5241,2723,9386,6167,3438,1811,7998,6058,4021,2166,9153,7483,5771,2501,11137,8219,5307,2593,10166,7060,4770,2176,8036,5590,3576,1690,8006,6718,5215,1176,4317,3059,2150,897,2930,2658,1559,749,1756,2595,971,589,1426,940,241,388,748,580,342,146,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
