报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),55659,30808,8957,84185,49518,32544,13435,68728,30597,19541,6406,44880,16466,6709,1749,19538,11601,7084,2652,31055,21217,13859,6004,34213,19055,11935,4650,24282,14565,9869,4363,18152,8577,4467,831,12546,7207,5268,11287,6164,11042,9317,
营业收入(万元),55659,30808,8957,84185,49518,32544,13435,68728,30597,19541,6406,44880,16466,6709,1749,19538,11601,7084,2652,31055,21217,13859,6004,34213,19055,11935,4650,24282,14565,9869,4363,18152,8577,4467,831,12546,7207,5268,11287,6164,11042,9317,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
营业总成本(万元),41211,23141,8027,58467,32659,20741,8568,57754,25790,17720,6192,35560,14795,6788,2771,15203,11156,6518,3112,19987,15466,10208,5092,24537,15454,9662,4340,17629,11871,8537,5055,12781,7251,3781,1275,7245,4966,3655,6949,4063,5779,5509,
营业成本(万元),21185,10404,2562,29725,15537,9680,3786,30245,11142,7812,1763,21552,7051,2733,788,7363,4660,2734,1119,10219,7186,4665,1767,10987,5922,3679,1601,8999,5829,4590,2985,7085,3318,1394,200,2796,1668,1259,2546,1435,3026,4202,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,
