报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),8851,38492,24272,19208,11877,32066,20250,16176,11014,38493,24783,19220,11655,38788,25192,19856,10609,37195,29795,25976,12928,20052,13958,12794,
营业收入(万元),8851,38492,24272,19208,11877,32066,20250,16176,11014,38493,24783,19220,11655,38788,25192,19856,10609,37195,29795,25976,12928,20052,13958,12794,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),9472,37371,23382,18208,10783,30605,19145,14829,9970,36012,23194,17278,10101,35226,23588,17850,8935,33169,25869,22955,11384,17439,12241,11670,
营业成本(万元),6741,29419,18402,14466,8759,24039,15039,12018,8009,28678,18289,14090,8224,27794,18498,14377,7441,27076,20814,18512,9240,14135,9931,9249,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),17,197,89,90,23,60,37,29,24,163,108,88,58,221,81,80,36,265,143,86,36,59,19,13,
销售费用(万元),1032,3670,2501,1782,1007,3664,2276,1703,963,3616,2456,1591,865,3056,2226,1573,759,2595,2294,2044,1041,1503,847,933,
管理费用(万元),1129,3455,2279,1931,863,3486,2528,1623,770,3579,2585,1648,861,3454,2590,1720,733,2433,1963,1575,770,1256,1191,1143,
财务费用(万元),694,881,614,465,203,-858,-341,-245,203,-370,-63,147,12,422,185,69,-38,738,432,667,355,466,204,331,
资产减值损失(万元),-141,-251,-503,-527,-73,214,-394,-300,--,346,-182,-286,82,279,8,30,3,62,222,70,-59,21,49,1,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1180,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
