报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),75651,34184,113801,76090,45997,19763,66381,47913,29799,15397,71471,55236,36968,15905,64485,47246,28840,13055,55828,40776,44466,39745,
营业收入(万元),75651,34184,113801,76090,45997,19763,66381,47913,29799,15397,71471,55236,36968,15905,64485,47246,28840,13055,55828,40776,44466,39745,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),65818,30411,103160,66167,39714,16736,59555,40462,25357,12705,59129,44487,29937,13254,54780,39500,23829,10864,46374,33385,36883,33313,
营业成本(万元),54913,25039,81803,53942,32108,13686,49286,33724,20772,10428,49599,37972,25251,11202,46366,33948,20018,9257,40126,29336,31683,27935,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),635,222,1178,647,443,96,704,245,158,116,499,398,241,120,353,279,161,95,375,240,255,218,
销售费用(万元),2369,1127,5242,3034,1854,919,3340,1901,1305,445,2822,1657,1045,560,2111,1177,835,419,1741,1160,1147,964,
管理费用(万元),7281,3498,12329,7921,4795,2119,6720,4648,2968,1136,5252,3475,2397,968,3978,2658,1793,754,3236,2312,2757,2881,
财务费用(万元),543,998,2080,375,222,-23,-592,-122,99,624,783,692,788,395,1847,1301,893,423,805,227,926,1267,
资产减值损失(万元),77,-474,527,247,291,-61,96,67,54,-44,174,293,216,10,126,138,128,-85,91,110,115,48,
公允价值变动收益(万元),2,2,-2,--,--,--,--,--,--,--,129,107,128,--,-248,-170,-414,--,-449,-586,612,-43,
投资收益(万元),185,--,899,5,5,--,1025,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),12329,4354,13128,9929,6289,3027,7851,7451,4442,2692,12470,10855,7159,2651,9456,7576,4597,2191,9005,6805,8195,6389,
营业外收入(万元),261,865,2878,2800,1872,1092,5902,7428,6892,5061,1090,948,807,110,845,898,628,28,1144,848,578,446,
营业外支出(万元),83,79,374,214,12,4,609,1606,1464,1440,253,242,110,66,160,161,89,26,170,71,88,141,
非流动资产处置损失(万元),--,--,--,5,5,--,168,1411,1411,1411,9,9,9,9,4,4,4,3,67,0,5,25,
利润总额(万元),12507,5140,15632,12515,8149,4116,13144,13273,9870,6313,13307,11561,7856,2695,10141,8313,5137,2193,9980,7583,8686,6694,
所得税费用(万元),1448,758,2481,1902,1639,811,2781,2800,2279,1521,3171,2766,1859,681,2438,1915,1190,540,2436,1799,2155,1527,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11059,4383,13151,10613,6510,3305,10362,10473,7591,4792,10136,8795,5997,2014,7703,6398,3947,1653,7544,5784,6531,5167,
归属于母公司所有者的净利润(万元),11059,4383,13151,10613,6510,3305,10362,10473,7591,4792,10136,8795,5997,2014,7703,6398,3947,1653,7544,5784,6531,5142,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-5,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,
基本每股收益,0.27,0.11,0.34,0.28,0.18,0.09,0.29,0.3,0.23,0.15,0.36,0.3,0.51,0.3,1.28,1.07,0.66,0.28,1.26,0.96,1.09,0.89,
稀释每股收益,0.27,0.11,0.34,0.28,0.18,0.09,0.29,0.3,0.23,0.15,0.36,0.3,0.51,0.3,1.28,1.07,0.66,0.28,1.26,0.96,1.09,0.89,
