报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),190791,127333,62617,274701,194811,128298,54336,221810,186209,145546,86999,299994,237114,166540,87057,330806,241433,179876,94479,367915,273973,282022,243092,
营业收入(万元),190791,127333,62617,274701,194811,128298,54336,221810,186209,145546,86999,299994,237114,166540,87057,330806,241433,179876,94479,367915,273973,282022,243092,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),188273,123176,62402,266746,187824,122802,53729,211716,175636,135978,82398,294904,231604,162227,84080,317201,229636,169591,90535,363675,272479,269847,233882,
营业成本(万元),173323,114738,58388,249609,175743,115440,49593,196675,164177,128492,77422,279191,220797,155151,80507,304321,220245,163229,86988,351679,263832,260279,225279,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),912,611,300,1081,723,483,256,1264,993,671,375,1067,809,614,386,1562,1197,882,499,1799,1392,1477,1350,
销售费用(万元),5355,3087,1456,6037,4070,2448,1146,4618,3458,2189,1112,5515,3949,2479,1175,4940,3536,2321,1322,3871,2460,2629,2011,
管理费用(万元),2781,1864,1057,3477,2440,1559,817,3748,2315,1475,699,3053,2262,1505,735,2208,1541,1030,517,1980,1581,1711,1625,
财务费用(万元),5790,3525,1694,5629,4317,2736,1313,5393,3812,2391,1360,5060,3694,2434,1263,4114,3099,2111,1188,4156,3023,3663,2347,
资产减值损失(万元),-32,-649,-494,914,531,135,603,19,882,760,1429,1019,94,44,15,56,17,18,20,191,190,88,1271,
公允价值变动收益(万元),562,399,529,-1804,-2401,-628,-2465,1028,-3730,-6794,-5172,121,-686,-449,558,-2625,-672,-4562,-4237,3361,251,-703,1232,
投资收益(万元),998,641,52,1390,1063,345,378,-4370,-3642,-1575,85,2440,1975,1032,280,1850,342,-240,186,6340,4257,179,-368,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4265,5347,811,7746,5865,5405,-1481,6752,3201,1199,-486,7652,6798,4897,3815,12829,11467,5484,-107,13941,6002,11651,10075,
营业外收入(万元),52,52,0,386,155,155,25,577,297,243,165,434,195,103,41,470,543,412,412,971,970,11,242,
营业外支出(万元),201,201,1,14,13,0,0,5,0,0,0,4,4,1,--,7,0,0,0,17,1,1,6,
非流动资产处置损失(万元),--,--,--,--,--,--,--,5,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),4116,5198,810,8118,6007,5560,-1456,7324,3499,1442,-321,8081,6990,4999,3856,13293,12010,5895,305,14895,6972,11661,10310,
所得税费用(万元),1288,1444,318,2475,1687,1702,-208,2452,1253,542,-103,2346,1987,1401,1044,3445,2582,1521,509,3783,2569,2926,2598,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2828,3754,491,5643,4320,3858,-1248,4873,2246,900,-218,5736,5003,3598,2812,9847,9428,4374,-204,11112,4403,8736,7713,
归属于母公司所有者的净利润(万元),3089,3914,641,6256,4612,4345,-1007,5822,2522,1067,-133,6042,5222,3742,2882,9837,9416,4369,-206,11083,4389,8715,7694,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-262,-160,-150,-613,-291,-488,-241,-950,-276,-167,-85,-306,-220,-144,-69,10,12,5,2,30,14,21,19,
基本每股收益,0.21,0.26,0.04,0.42,0.31,0.29,-0.07,0.39,0.17,0.07,-0.01,0.4,0.35,0.25,0.19,0.82,0.83,0.39,-0.02,0.98,0.39,0.77,0.68,
稀释每股收益,0.21,0.26,0.04,0.42,0.31,0.29,-0.07,0.39,0.17,0.07,-0.01,0.4,0.35,0.25,0.19,0.82,--,0.39,-0.02,0.98,--,0.77,0.68,
