报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),39096,149820,95579,56297,23851,95038,63172,39610,17635,80853,62205,39590,18102,77078,60835,39097,74610,81488,72582,
营业收入(万元),39096,149820,95579,56297,23851,95038,63172,39610,17635,80853,62205,39590,18102,77078,60835,39097,74610,81488,72582,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),35745,133541,83594,50028,21514,87779,56102,35483,15830,73624,55559,35584,16396,69965,54272,35523,67759,74043,63753,
营业成本(万元),26392,99827,65129,37908,16649,66133,44222,27819,12740,58151,45547,28905,13104,55738,43984,28192,54829,61269,54298,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),253,1205,864,515,306,883,559,310,127,540,487,273,145,676,497,286,149,109,112,
销售费用(万元),1332,4897,2963,1736,781,4220,2441,1567,543,2746,1956,1269,583,2785,1916,1335,2781,2891,2346,
管理费用(万元),5829,20201,11852,7823,2962,13638,7671,5262,1679,8366,5996,3926,1941,7980,5830,3954,7443,7915,6008,
财务费用(万元),1585,4645,2762,1763,848,2005,1506,914,598,1795,1374,1039,641,1896,1413,1145,1778,1062,663,
资产减值损失(万元),354,2765,24,282,-33,900,-297,-388,142,2025,199,172,-18,890,632,612,780,798,326,
公允价值变动收益(万元),--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-48,117,-37,-44,-66,98,-18,-21,--,--,--,--,--,--,--,--,--,--,1,
对联营企业和合营企业的投资收益(万元),-53,104,-65,-45,--,98,-18,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3417,16926,11947,6229,2271,7356,7051,4106,1805,7229,6646,4006,1707,7113,6563,3575,6851,7444,8830,
营业外收入(万元),30,74,401,326,108,797,237,106,40,394,304,282,70,540,282,234,461,306,323,
营业外支出(万元),5,169,17,12,9,58,18,13,39,23,2,2,2,10,4,4,38,34,56,
非流动资产处置损失(万元),--,--,8,8,5,55,--,12,--,21,--,--,--,9,3,3,36,33,55,
利润总额(万元),3442,16831,12331,6544,2370,8095,7270,4199,1807,7600,6947,4286,1775,7642,6842,3805,7274,7716,9097,
所得税费用(万元),431,1982,1419,725,185,554,1247,807,261,1074,1098,728,255,1192,1095,574,1048,1046,1372,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3011,14849,10912,5819,2185,7541,6024,3392,1545,6526,5850,3557,1520,6451,5747,3232,6226,6669,7725,
归属于母公司所有者的净利润(万元),2839,14222,10792,5717,2091,7654,6069,3448,1558,6526,5850,3557,1520,6451,5747,3232,6226,6669,7725,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),172,627,120,102,95,-113,-45,-56,-13,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.07,0.35,0.26,0.29,0.11,0.42,0.33,0.19,0.09,0.41,0.38,0.26,0.11,0.47,0.42,0.24,0.45,0.49,0.61,
稀释每股收益,0.07,0.35,0.26,0.29,0.11,0.42,0.33,0.19,0.09,0.41,0.38,0.26,0.11,0.47,0.42,0.24,0.45,0.49,0.61,
