报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),8604,67273,36536,24052,8501,58574,34514,21745,6144,63984,33808,19570,4009,58794,27844,22192,58046,66361,55654,
营业收入(万元),8604,67273,36536,24052,8501,58574,34514,21745,6144,63984,33808,19570,4009,58794,27844,22192,58046,66361,55654,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),8530,63101,35538,23810,8873,55793,34409,22067,6825,59923,32995,19553,5020,54522,28433,21639,54514,60958,50600,
营业成本(万元),5720,48033,25994,17102,6158,42500,25335,15763,4365,46867,24539,14043,2873,42727,20285,16170,42560,49651,41298,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),17,239,174,109,3,428,215,131,2,1007,466,177,1,858,292,279,664,787,1032,
销售费用(万元),1775,8170,5272,3465,1592,6830,4680,3150,1396,5512,3938,2692,1199,5168,3603,2532,5162,4639,3899,
管理费用(万元),1303,5826,3424,2280,1132,5318,4053,2791,1281,4913,3104,1978,930,4738,3003,2080,4505,4432,3992,
财务费用(万元),-39,44,26,29,16,54,7,16,1,417,361,282,139,663,503,366,774,770,486,
资产减值损失(万元),-246,788,647,825,-27,663,119,216,-220,1206,587,380,-122,367,747,212,849,680,-106,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-41,-42,-150,-74,-33,132,-17,-20,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-41,-42,-150,-74,-33,132,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),58,4210,849,168,-405,2914,88,-342,-681,4061,814,18,-1011,4273,-590,553,3532,5402,5054,
营业外收入(万元),--,32,1,1,0,430,404,390,13,203,2,2,--,209,36,0,836,101,296,
营业外支出(万元),0,20,0,0,0,0,0,--,--,5,--,--,--,4,--,--,4,1,3,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,5,--,--,--,4,--,--,4,1,3,
利润总额(万元),58,4222,849,169,-405,3344,492,47,-669,4260,816,20,-1011,4478,-553,553,4364,5502,5346,
所得税费用(万元),28,738,228,69,-30,457,72,10,-133,583,100,-7,-149,667,-29,97,644,849,809,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),30,3484,621,100,-375,2887,421,37,-535,3677,716,26,-862,3811,-524,456,3720,4653,4537,
归属于母公司所有者的净利润(万元),30,3484,621,100,-375,2887,421,37,-535,3677,716,26,-862,3811,-524,456,3720,4653,4537,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0,0.2,0.04,0.01,-0.02,0.16,0.02,0,-0.06,0.47,0.09,0,-0.13,0.58,-0.08,0.07,0.56,0.71,0.69,
稀释每股收益,0,0.2,0.04,0.01,-0.02,0.16,0.02,0,-0.06,0.47,0.09,0,-0.13,0.58,-0.08,0.07,0.56,0.71,0.69,
