报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),6759,30391,21263,14190,7619,26495,17436,11132,6236,21943,15722,10834,6105,22718,15966,11254,5853,21725,15028,11149,6652,25579,17627,11816,6626,20674,14160,17769,14979,14041,
营业收入(万元),6759,30391,21263,14190,7619,26495,17436,11132,6236,21943,15722,10834,6105,22718,15966,11254,5853,21725,15028,11149,6652,25579,17627,11816,6626,20674,14160,17769,14979,14041,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),5381,25139,15923,10158,5065,20118,12796,8182,4304,16662,11572,7671,4141,16356,10964,7494,3750,14316,9586,6806,3995,17031,11300,7730,4230,14402,10088,13351,11891,11269,
营业成本(万元),3455,14756,10049,6534,3437,12386,8141,5139,2824,10352,7407,5077,2939,10564,7145,4932,2586,9860,6605,4916,2807,10981,7560,5094,2848,8983,6360,8144,7237,7791,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),57,513,284,220,78,300,168,112,67,221,160,121,82,229,180,125,81,214,146,116,79,286,197,142,73,200,140,171,141,110,
销售费用(万元),598,4341,2408,1381,552,3465,1774,1117,440,2778,1516,792,273,2579,1298,838,259,2097,1125,661,286,2544,1155,714,268,1526,962,1465,1420,1242,
管理费用(万元),1080,4825,3217,2105,985,4122,2725,1823,888,4077,3010,2069,964,3892,2958,1986,884,3284,2509,1742,896,3398,2331,1578,866,3228,2216,3000,2660,1938,
财务费用(万元),102,-80,-71,-84,-17,-178,-105,-73,-39,-812,-685,-495,-208,-913,-678,-454,-212,-1160,-854,-691,-172,-202,-20,148,127,464,366,607,468,141,
资产减值损失(万元),88,784,36,2,29,22,93,65,123,48,164,107,91,5,60,68,151,21,55,63,98,25,77,54,48,1,43,-35,-36,46,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),430,545,447,336,170,641,634,481,205,3,-8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,-245,-104,--,-10,-7,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
