报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),6456,30981,21847,13491,6205,29291,21726,13864,6215,29115,20991,12726,6393,30672,22740,13965,29943,26716,23536,
营业收入(万元),6456,30981,21847,13491,6205,29291,21726,13864,6215,29115,20991,12726,6393,30672,22740,13965,29943,26716,23536,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),6085,28406,20003,12696,5751,26262,19076,12297,5510,24507,17582,10790,5425,24608,18299,11234,23925,21469,18623,
营业成本(万元),4252,19762,14082,8795,4130,18036,13459,8692,3753,17109,12361,7521,3779,17377,12786,7757,16818,14853,13237,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),30,259,172,114,35,277,191,117,48,272,189,119,65,268,196,119,269,285,215,
销售费用(万元),867,3638,2673,1679,781,3376,2522,1480,786,2961,2081,1248,591,2869,2355,1550,2645,2418,1821,
管理费用(万元),1143,4985,3477,2234,1017,4650,3204,2067,1023,4384,2939,1867,969,4362,2995,1901,4191,3802,3112,
财务费用(万元),-256,-656,-788,-366,-340,-500,-696,-274,-229,-548,-252,-177,-13,-266,-129,-118,-180,-86,-31,
资产减值损失(万元),50,419,387,240,127,422,396,216,129,329,263,211,34,-2,96,24,182,197,270,
公允价值变动收益(万元),--,-208,--,277,--,216,--,--,--,--,--,0,--,--,--,0,--,--,--,
投资收益(万元),-30,1695,531,233,29,606,116,-64,-1,-22,19,18,-61,161,20,-6,221,139,180,
对联营企业和合营企业的投资收益(万元),-30,390,186,197,29,327,116,-64,-1,-46,-5,-6,-61,141,0,-26,200,119,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),699,5179,2374,1305,483,3851,2766,1503,703,4585,3428,1954,907,6225,4461,2725,6239,5385,5093,
营业外收入(万元),83,120,894,536,331,1333,959,691,491,1571,1162,572,362,1552,1155,740,1436,1670,1405,
营业外支出(万元),1,--,7,0,--,6,5,5,5,1,1,0,--,0,0,0,1,0,1,
非流动资产处置损失(万元),--,--,7,0,--,6,5,5,5,1,1,0,--,0,0,0,1,0,1,
利润总额(万元),781,5299,3262,1840,814,5178,3719,2189,1189,6156,4589,2527,1269,7777,5615,3464,7674,7055,6497,
所得税费用(万元),87,709,371,200,72,646,459,266,114,892,581,322,199,1115,667,556,1209,1013,828,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),693,4590,2891,1640,742,4531,3261,1923,1076,5264,4008,2205,1069,6662,4949,2908,6466,6043,5669,
归属于母公司所有者的净利润(万元),693,4590,2891,1640,742,4531,3261,1923,1076,5264,4008,2205,1069,6662,4949,2908,6466,6043,5669,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.05,0.31,0.19,0.11,0.05,0.3,0.22,0.13,0.11,0.6,0.48,0.22,0.14,0.89,0.66,0.39,0.86,0.81,0.76,
稀释每股收益,0.05,0.31,0.19,0.11,0.05,0.3,0.22,0.13,0.11,0.6,0.48,0.22,0.14,0.89,0.66,0.39,0.86,0.81,0.76,
