报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),97880,69291,42526,16531,79553,57356,36801,16605,73187,51711,32736,12927,71403,49815,14957,6429,30595,22991,14743,7177,31543,23116,14473,6326,29191,21039,13701,33129,26586,22316,
营业收入(万元),97880,69291,42526,16531,79553,57356,36801,16605,73187,51711,32736,12927,71403,49815,14957,6429,30595,22991,14743,7177,31543,23116,14473,6326,29191,21039,13701,33129,26586,22316,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),80718,58131,37146,15374,65132,47109,30305,14103,60625,43403,28183,11726,60600,43354,13030,5601,26283,19465,12337,6058,26617,19221,12155,5322,25186,18225,11860,27889,21889,17586,
营业成本(万元),54411,39323,24657,10042,46321,33559,21532,9863,43908,31455,20078,8010,43108,30708,10618,4519,21559,16268,10419,5143,22202,16440,10328,4518,20922,14920,9591,23459,18332,15399,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5102,3439,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1156,813,521,205,973,687,458,232,789,364,251,107,491,334,89,38,189,141,82,43,155,104,88,39,197,160,115,157,38,13,
销售费用(万元),8902,6828,4324,1298,5643,4112,2709,1302,5477,3961,2665,1193,5873,4175,819,341,1380,975,643,313,1169,703,481,216,1122,703,374,1002,792,569,
管理费用(万元),11179,8119,7688,3003,11941,8625,5684,2795,11333,8370,5588,2703,11613,8746,1894,799,3719,2549,1614,800,3698,2415,1524,696,2992,2205,1563,2688,2220,1521,
财务费用(万元),-699,-566,-13,841,-200,-29,-193,-133,-1278,-908,-436,-234,-642,-604,-389,-58,-619,-470,-372,-209,-783,-576,-314,-131,-97,162,212,501,424,89,
资产减值损失(万元),667,174,-32,-16,454,154,114,43,395,161,37,-53,156,-5,-1,-38,55,3,-49,-33,175,135,46,-16,50,75,6,81,83,-5,
公允价值变动收益(万元),350,-50,99,87,-367,-339,-317,-106,83,-27,17,-108,47,--,--,--,--,--,0,0,--,0,--,--,--,0,--,--,--,--,
投资收益(万元),-690,-199,-13,-26,244,62,28,-17,237,148,148,120,83,105,59,0,--,--,0,0,--,0,--,--,--,0,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,244,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,0,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
