报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),14843033,69336651,47228934,30027835,13479479,64335732,44428643,27358412,12809023,62410414,43215276,27478189,12628746,61255915,43166761,27732154,11809112,56044417,38403921,24765178,9750439,48399175,31955713,19831434,7856817,46072023,33578770,22289505,9711254,47366265,29476348,19272227,8508535,34636796,24137877,14792027,6010584,23461928,15391566,9521379,3494302,18050682,7567800,15951847,11579779,9053057,
营业收入(万元),14757233,68994486,47027676,29875078,13399236,63940652,44175568,27172212,12733690,62108831,43018390,27337346,12566752,61032806,42953256,27622417,11768570,55879866,38198795,24679044,9701781,48268840,31861073,19760443,7829433,45970134,33578770,22252851,9711254,47312222,29476348,19246189,8493293,34597362,24137877,14792027,6010584,23461928,15391566,9521379,3494302,18050682,7567800,15951847,11579779,9053057,
利息收入(万元),31184,110718,59315,56671,35248,107588,69581,39777,27065,52620,37665,30559,20000,60241,43448,32806,--,32728,35937,14488,--,19772,13980,10354,3257,14352,--,6222,--,7815,--,4510,1615,6334,0,0,--,--,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),54617,231447,141942,96086,44995,287492,183494,146423,48268,248963,159221,110285,41994,162868,170056,76931,40541,131823,169189,71646,48658,110563,80659,60637,24127,87536,--,30433,--,46228,--,21529,13626,33100,0,0,--,--,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
营业总成本(万元),14400645,67601239,45767103,29034794,13112594,62827757,43168625,26636107,12516399,60938617,42212060,26872462,12348500,59821368,42196654,27134692,11556739,54910686,37650681,24335087,9545787,47511053,31415910,19492524,7727682,45164608,33094441,21958594,9526656,46439451,28793432,18850005,8316950,33865539,23546120,14415812,5886657,23311405,15199385,9324663,3445433,17761936,7380760,15695499,11476035,9001502,
营业成本(万元),13431170,62525802,42737900,27112536,12205356,58449543,40191317,24759273,11396763,55448154,38447716,24422866,11260002,54401747,38558469,24844137,10536462,50184305,34566124,22319455,8666162,43175356,28675087,17776269,7025168,41203305,30489492,20254298,8832728,43117182,26735851,17458792,7731851,31454728,21901434,13409483,5382624,20999747,13698320,8467799,3077804,16185659,6722082,14242477,10290145,8025424,
利息支出(万元),11338,50093,8894,7177,3555,11816,7719,4780,2475,7291,4573,2183,4324,10797,2925,1484,--,22,23,8,--,757,52,9,5,595,--,5,--,285,--,4,0,6,0,0,--,--,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,15,--,--,--,7,--,--,--,4,--,--,--,1,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
