报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),62194,41259,20233,234148,223977,65182,25951,184106,140835,83101,43935,282327,224736,150555,78421,355248,515,147,226,3366,3131,2875,2629,5032,223,221,166,1456,756,672,507,1304,221,143,56,2450,1220,1167,151,5516,5061,1222,818,1439,1309,895,34,
营业收入(万元),62194,41259,20233,234148,223977,65182,25951,184106,140835,83101,43935,282327,224736,150555,78421,355248,515,147,226,3366,3131,2875,2629,5032,223,221,166,1456,756,672,507,1304,221,143,56,2450,1220,1167,151,5516,5061,1222,818,1439,1309,895,34,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),40963,26249,12288,233407,219751,62831,26941,168370,129190,78497,43302,265592,214177,145664,77185,342385,1467,952,308,3431,3313,2968,2595,5842,659,486,317,1387,853,649,369,7181,639,456,221,2041,1257,1085,225,5470,4444,1115,746,1000,1143,815,180,
营业成本(万元),11387,7419,3737,196514,191437,45004,18366,131491,102717,60987,34953,222679,180446,121770,64650,292527,481,192,91,2755,2660,2545,2414,4802,194,186,157,873,268,238,154,523,93,64,24,1006,534,507,62,4052,3849,848,561,405,689,474,29,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
