报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),40926,16990,5367,39864,25811,17511,5930,50724,27065,25229,49191,32835,31233,30123,15829,20301,12380,8205,
营业收入(万元),40926,16990,5367,39864,25811,17511,5930,50724,27065,25229,49191,32835,31233,30123,15829,20301,12380,8205,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),35117,15490,4605,34371,22001,14240,5435,44111,25708,22740,41351,26284,25072,24574,12187,15411,10015,6946,
营业成本(万元),26450,11132,2889,25157,15541,10255,3789,35545,20094,18859,33403,20188,19365,20125,10476,12662,6972,5184,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),555,197,57,371,245,213,51,461,273,189,611,118,196,191,70,91,60,74,
销售费用(万元),2191,1397,722,2617,1806,1079,475,2056,1438,1020,2042,1590,1628,1315,505,1011,1352,646,
管理费用(万元),4906,3065,1434,5552,3752,2441,1191,4852,3244,2139,4717,4374,3779,2867,1122,1800,1434,1088,
财务费用(万元),-157,-131,-30,-54,-8,17,40,410,509,381,-84,-217,-79,-35,-141,-155,-86,-30,
资产减值损失(万元),1170,-171,-468,729,665,235,-112,787,150,152,662,231,183,110,155,1,283,-16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),835,632,511,124,124,94,48,--,--,--,--,--,--,--,--,--,11,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7173,2384,1274,5616,3934,3366,543,6613,1357,2488,7841,6551,6161,5549,3642,4890,2376,1258,
营业外收入(万元),363,238,131,728,416,246,69,461,302,195,898,404,232,278,67,191,66,47,
营业外支出(万元),4,4,2,8,2,0,0,32,3,2,9,2,4,11,0,28,2,38,
非流动资产处置损失(万元),1,1,0,--,0,0,--,0,0,0,6,--,--,--,--,--,--,--,
利润总额(万元),7531,2618,1403,6337,4348,3612,611,7043,1656,2681,8730,6954,6388,5816,3709,5053,2440,1267,
所得税费用(万元),1256,448,403,873,635,455,65,812,289,420,1348,1080,840,601,402,593,-16,-2,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6276,2171,1000,5464,3713,3157,547,6230,1367,2261,7383,5874,5548,5215,3307,4460,2456,1269,
归属于母公司所有者的净利润(万元),6276,2171,1000,5464,3713,3157,547,6230,1367,2261,7383,5874,5548,5159,3252,4465,2374,1211,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-23,-53,215,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,55,55,-6,82,58,
基本每股收益,0.41,0.14,0.12,0.78,0.57,0.5,0.09,0.99,0.22,0.36,1.17,0.93,0.91,0.86,0.54,0.75,2.97,1.51,
稀释每股收益,0.41,0.14,0.12,0.78,0.57,0.5,0.09,0.99,0.22,0.36,1.17,0.93,0.91,0.86,0.54,0.75,2.97,1.51,
