报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),345817,226396,497847,347700,401271,418444,295381,
营业收入(万元),345817,226396,497847,347700,401271,418444,295381,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),334428,218376,486249,339357,396079,415064,291656,
营业成本(万元),277454,180874,410729,283433,326013,350878,249505,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),489,340,486,159,13,2,2,
销售费用(万元),32466,21696,46472,34343,41356,44521,28647,
管理费用(万元),19619,12743,25446,18509,26007,17908,12603,
财务费用(万元),2826,1818,2544,1713,1912,1128,493,
资产减值损失(万元),1575,905,571,1199,779,627,405,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),124,102,-84,-136,-35,-137,-171,
对联营企业和合营企业的投资收益(万元),124,102,-96,-136,-35,-137,-171,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),11513,8123,11515,8206,5157,3244,3554,
营业外收入(万元),1167,735,1124,580,579,1275,61,
营业外支出(万元),476,216,588,230,250,29,58,
非流动资产处置损失(万元),29,27,185,1,138,--,1,
利润总额(万元),12204,8642,12050,8557,5485,4489,3557,
所得税费用(万元),1760,1183,1215,625,1616,567,1203,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),10445,7458,10835,7932,3869,3922,2354,
归属于母公司所有者的净利润(万元),9046,6422,9138,6327,3378,4275,2499,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),1399,1037,1697,1604,491,-352,-145,
基本每股收益,0.25,0.18,0.25,0.18,0.1,--,--,
稀释每股收益,0.25,--,--,0.18,--,--,--,
