报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
营业总收入(万元),589925,2531662,1854931,1195771,553737,2313738,1658623,1105952,538903,1799085,1247061,793583,372937,1568210,1148946,764585,351897,1609363,1163852,749239,333746,1442598,1044138,668515,302015,1224015,886273,603602,273715,1154697,876204,588838,267207,1024233,732161,468408,202690,711242,477194,278987,111507,716828,589994,367967,148174,642341,450205,278797,116437,465360,326521,203165,85518,347394,
营业收入(万元),589925,2531662,1854931,1195771,553737,2313738,1658623,1105952,538903,1799085,1247061,793583,372937,1568210,1148946,764585,351897,1609363,1163852,749239,333746,1442598,1044138,668515,302015,1224015,886273,603602,273715,1154697,876204,588838,267207,1024233,732161,468408,202690,711242,477194,278987,111507,716828,589994,367967,148174,642341,450205,278797,116437,465360,326521,203165,85518,347394,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
营业总成本(万元),568807,2497098,1806487,1163052,534956,2280443,1627220,1089128,529700,1734131,1181432,745912,345515,1510818,1097948,725129,328284,1562996,1119624,719172,320288,1373586,987753,630961,283773,1146958,824709,563572,258465,1078374,813282,535266,247897,971048,692541,452379,197464,681231,453014,264367,105092,701115,547676,345804,139432,595832,420271,241396,108146,435907,302908,178309,80088,328938,
营业成本(万元),501650,2190293,1599416,1027952,473342,1999853,1433806,965134,468444,1485940,1024015,648805,301885,1309585,962530,637942,289007,1378648,995305,639549,284612,1226207,885169,565086,251988,1006802,725727,498091,228852,939252,714107,484025,224672,872153,627242,406991,177441,599804,413623,241569,94545,619040,504615,317334,127349,551438,387952,0,101556,407493,284908,0,74971,311577,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
研发费用(万元),22807,101418,66842,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
营业税金及附加(万元),2139,10733,6090,4931,1876,10679,7674,5660,3158,13839,6905,4253,2155,7820,5258,3376,1471,5749,4267,2956,902,2288,964,599,186,1124,731,410,150,934,742,558,135,627,334,146,38,1777,469,394,95,2182,1622,1448,84,698,481,376,223,410,248,177,57,319,
销售费用(万元),14514,67089,45204,30620,13766,70918,45781,28150,14077,52772,33166,20369,9239,42744,27336,19297,8179,40630,30328,19219,7996,39552,28346,18064,7919,39110,28078,19417,9695,44673,31369,14055,5727,28397,19413,14051,5994,23925,14899,9288,4736,15574,12102,8188,4276,15781,11330,5327,2230,9733,6127,3518,1713,5948,
管理费用(万元),15989,71695,49468,74896,36696,160325,111842,72630,36976,140383,94607,58393,26858,117735,80046,50518,23655,101988,71114,44785,21246,90430,60581,38867,18837,78848,53212,33437,14708,69380,48953,26323,12257,49562,31624,20420,9172,39758,26023,14922,6050,17741,15209,9969,5062,20205,14969,5068,2348,14111,8644,5277,2395,8221,
财务费用(万元),10175,47928,37513,23905,9220,33011,24746,15912,6554,30562,20032,13136,4721,27867,20944,12057,5377,20804,15226,10095,4807,13572,9897,6416,3360,18697,15561,10890,5166,21870,15535,9462,4592,19119,13154,9246,4772,14268,10235,6927,3615,18477,13444,8375,2699,6761,4537,2949,1467,4093,2709,1546,755,2630,
资产减值损失(万元),1532,7942,1954,749,55,5656,3371,1641,491,10635,2708,957,658,5066,1833,1939,595,15177,3383,2568,724,1536,2796,1927,1484,2376,1400,1327,-106,2264,2577,842,514,1190,774,1525,46,1699,-12236,-8733,-3949,28102,684,490,-37,949,1003,607,320,67,272,197,197,242,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-49,--,-17,-62,0,-0,-2,-10,17,7,0,-27,--,-11,15,5,-11,11,-86,7,-92,-361,18,0,0,--,0,0,0,0,
投资收益(万元),121,-414,299,159,-28,8189,7007,453,327,3474,469,451,169,1583,1380,1317,405,-1296,-1366,782,354,1363,1053,439,311,984,121,31,-27,21727,21567,21708,21532,-59,-62,3,6,-40,-79,-22,11,-695,-17,-32,-44,0,0,0,0,--,0,0,0,0,
对联营企业和合营企业的投资收益(万元),--,-288,101,101,--,1271,127,127,--,1328,233,233,--,-384,-241,-241,--,180,18,18,--,122,--,--,--,341,--,--,--,260,--,0,--,-7,--,--,--,0,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
营业利润(万元),26169,68831,75415,40761,22474,67646,55231,29599,9531,68428,66097,48122,27590,58975,52378,40773,24018,45071,42862,30849,13812,70375,57439,37993,18504,78041,61668,39998,15223,98050,84487,75271,40859,53133,39558,16005,5232,29960,24116,14603,6414,15029,42215,22137,8605,46148,29952,23074,8291,29453,23613,14142,5430,18456,
营业外收入(万元),347,2494,2148,1089,548,1060,691,419,6483,19885,10796,8011,2020,19690,9217,5182,1454,14318,13151,7316,4882,17808,12633,8781,4781,13997,7448,5021,2188,9018,6883,3514,986,10619,7592,4315,1442,2933,745,660,102,3824,3155,2281,89,1200,767,90,51,606,20,10,6,6,
营业外支出(万元),123,2715,445,283,109,5227,709,532,103,2671,625,462,35,1209,446,275,211,1287,737,495,129,440,246,180,116,335,151,88,12,481,64,60,55,468,233,128,10,67,31,18,4,780,324,112,69,39,32,20,6,49,39,15,12,146,
非流动资产处置损失(万元),--,--,--,--,--,--,429,389,9,283,65,22,6,293,267,154,151,260,167,111,97,130,72,12,--,127,19,14,2,371,6,6,6,47,42,42,--,32,14,10,0,173,-2,-2,0,24,18,13,3,34,1,1,0,65,
利润总额(万元),26393,68610,77119,41567,22913,63479,55213,29487,15911,85643,76269,55671,29576,77455,61148,45681,25261,58101,55276,37669,18565,87743,69825,46594,23169,91703,68965,44931,17398,106586,91307,78725,41790,63285,46917,20192,6663,32827,24830,15245,6512,18074,45046,24307,8626,47309,30687,23144,8336,30009,23594,14138,5424,18317,
所得税费用(万元),3510,6112,11207,6180,4078,8325,9072,5399,3156,11999,14355,10499,4592,8241,6994,3708,4356,9856,10788,6931,3761,12677,8398,5061,3102,14183,9012,5542,2466,12696,11113,9420,4394,6288,5486,1271,703,4292,3585,2267,998,-2371,7173,1421,-189,7318,5484,2748,1268,4392,3374,1803,675,1766,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,0,--,0,
净利润(万元),22883,62499,65912,35386,18835,55153,46142,24088,12755,73644,61914,45172,24984,69214,54155,41973,20904,48245,44488,30738,14804,75066,61427,41533,20068,77520,59953,39389,14932,93890,80193,69305,37396,56997,41430,18921,5960,28534,21245,12978,5514,20444,37873,22886,8814,39991,25203,20396,7068,25617,20220,12335,4749,16550,
归属于母公司所有者的净利润(万元),22490,62404,65429,35072,18563,54794,45781,23947,12712,73729,61670,45100,24886,71172,54425,42243,21032,49836,45662,31484,15252,75495,61787,41717,20004,77684,60820,39770,15187,95520,81167,69940,37670,57829,42103,19389,6252,28614,21820,13298,5743,22735,37739,22495,8819,39653,24934,20228,7009,25336,20050,12250,4727,16376,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-26,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,
少数股东损益(万元),393,94,483,314,273,360,360,140,43,-85,243,72,98,-1957,-270,-269,-127,-1590,-1174,-746,-448,-429,-360,-183,64,-164,-866,-381,-255,-1630,-973,-635,-274,-832,-672,-468,-293,-80,-575,-319,-229,-2291,134,392,-5,338,269,168,60,281,171,85,22,174,
基本每股收益,0.08,0.23,0.24,0.13,0.07,0.2,0.17,0.09,0.05,0.29,0.24,0.18,0.1,0.28,0.21,0.17,0.08,0.19,0.18,0.12,0.06,0.29,0.23,0.16,0.08,0.3,0.24,0.16,0.1,0.68,0.58,0.5,0.27,0.41,0.3,0.14,0.04,0.2,0.16,0.1,0.04,0.16,0.28,0.34,0.13,0.61,0.39,0.32,0.11,0.4,0.31,0.19,0.07,0.26,
稀释每股收益,0.08,0.23,0.24,0.13,0.07,0.2,0.17,0.09,0.05,0.29,0.24,0.18,0.1,0.28,0.21,0.17,0.08,0.19,0.18,0.12,0.06,0.29,0.23,0.16,0.08,0.3,0.24,0.16,0.1,0.67,0.57,0.5,0.27,0.41,0.3,0.14,0.04,0.2,0.16,0.1,0.04,0.16,0.27,0.33,0.13,0.57,0.36,0.29,0.11,0.4,0.31,0.19,0.07,0.26,
