报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),88219,390449,290984,213251,108596,396356,276733,195487,102692,341896,242953,168766,84682,305948,224515,172561,84497,327888,240008,170045,80449,271860,193323,133280,61179,210745,150299,103212,46073,185112,139637,99479,46268,175020,129420,88080,42322,132404,91168,57644,91105,71715,88108,65136,
营业收入(万元),88219,390449,290984,213251,108596,396356,276733,195487,102692,341896,242953,168766,84682,305948,224515,172561,84497,327888,240008,170045,80449,271860,193323,133280,61179,210745,150299,103212,46073,185112,139637,99479,46268,175020,129420,88080,42322,132404,91168,57644,91105,71715,88108,65136,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业总成本(万元),88977,392210,287570,209569,106242,387707,267038,187080,97356,327117,230063,158092,80314,292871,212681,161861,79650,308671,225467,159535,76298,256491,181687,124761,57509,202435,143486,97915,44008,178114,132692,92971,42854,162536,119330,82067,39451,123488,84025,53269,86959,67797,81425,60714,
营业成本(万元),77037,339758,250801,184375,94838,337163,231558,163699,84335,283662,199661,138594,70428,255132,186628,143395,70897,273136,199627,142480,68235,226226,160866,110696,51055,178319,127510,88051,39093,155893,119040,83666,38663,141957,105130,71966,34716,105935,72305,46099,73546,57233,68014,50228,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
