报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),48006,29301,12533,70834,50910,34330,16340,76679,53138,49052,18581,43408,44841,30154,
营业收入(万元),48006,29301,12533,70834,50910,34330,16340,76679,53138,49052,18581,43408,44841,30154,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),43979,26545,11609,63809,44473,30380,14154,69692,46851,42467,15597,37474,39228,27103,
营业成本(万元),31248,19002,8359,46082,32573,21896,10384,51263,33384,29567,9921,27228,28134,18762,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),308,164,97,589,371,250,109,385,317,280,112,336,296,220,
销售费用(万元),7187,4574,2131,9457,6041,4335,1817,10645,7579,6907,3101,5309,5566,3982,
管理费用(万元),4773,3146,1339,5753,3703,2550,1088,6138,4332,4932,2194,3925,4471,3443,
财务费用(万元),-627,-441,-170,421,334,194,68,195,169,151,-10,252,586,426,
资产减值损失(万元),1090,100,-148,1507,1451,1156,688,1066,1071,631,278,423,176,270,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),564,348,--,--,--,--,--,-0,--,--,--,--,3,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4621,3110,924,7024,6437,3949,2186,6986,6287,6585,2984,5935,5616,3051,
营业外收入(万元),33,30,9,152,79,76,20,217,147,211,57,84,120,14,
营业外支出(万元),4,4,3,6,0,0,0,15,11,13,3,9,1,21,
非流动资产处置损失(万元),0,0,0,3,0,0,0,12,8,1,1,6,1,19,
利润总额(万元),4650,3136,930,7170,6515,4025,2206,7188,6424,6782,3038,6010,5734,3044,
所得税费用(万元),618,404,169,988,1005,619,187,904,1085,1025,522,901,975,900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4032,2731,761,6182,5510,3406,2019,6284,5338,5757,2517,5108,4759,2144,
归属于母公司所有者的净利润(万元),4032,2731,761,6182,5510,3406,2019,6284,5338,5757,2517,5108,4747,2150,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,12,-6,
基本每股收益,0.25,0.17,0.05,0.5,0.46,0.28,0.17,0.52,0.44,0.48,0.21,0.43,0.42,--,
稀释每股收益,0.25,0.17,0.05,0.5,0.46,0.28,0.17,0.52,0.44,0.48,0.21,0.43,0.42,--,
