报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),100492,42206,217841,148851,93639,39671,148402,99146,53326,17755,139645,112916,76869,30387,198269,162665,103088,32281,195393,133090,157827,
营业收入(万元),100492,42206,217841,148851,93639,39671,148402,99146,53326,17755,139645,112916,76869,30387,198269,162665,103088,32281,195393,133090,157827,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),96588,41801,204943,138027,85947,35615,130692,87096,47863,17011,124046,100535,67825,27495,183164,149010,94510,30156,180736,127236,150680,
营业成本(万元),84994,36285,180983,122799,76904,31968,113390,76061,41983,14344,106783,87983,59153,23828,161264,132836,84892,26517,161995,114362,137563,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),398,162,991,626,409,159,983,343,253,55,709,341,183,48,612,485,358,48,520,222,173,
销售费用(万元),3914,1911,8731,6612,4187,1598,7284,5105,2913,1213,6525,3853,2404,944,8195,6817,4273,1195,6894,4553,4116,
管理费用(万元),6140,2701,9004,5687,3719,1961,9672,6599,4073,1962,8290,7748,5302,2392,9454,6426,3975,2090,6984,4944,5954,
财务费用(万元),309,778,1141,642,242,1,-1930,-1342,-1141,-160,-715,-293,457,537,2647,1899,932,420,2876,2292,3005,
资产减值损失(万元),833,-35,4094,1661,485,-72,1292,330,-217,-403,2455,903,326,-254,992,547,81,-116,1467,863,-131,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),247,19,671,60,55,34,16,--,--,--,--,--,--,--,--,--,--,--,--,3,36,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5196,616,14145,10884,7747,4091,17726,12049,5464,744,15598,12381,9044,2892,15104,13655,8577,2125,14657,5857,7184,
营业外收入(万元),8,2,0,346,265,77,499,302,140,61,1185,735,505,301,1276,1178,627,46,148,679,198,
营业外支出(万元),23,23,42,43,35,24,86,10,2,2,32,11,11,0,36,31,31,19,15,25,97,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,9,9,0,7,--,94,
利润总额(万元),5181,595,14103,11188,7976,4144,18139,12342,5601,804,16751,13105,9538,3194,16344,14803,9174,2152,14790,6511,7284,
所得税费用(万元),874,300,2222,2005,1571,854,3367,2213,1155,288,3191,2794,2107,779,3251,2866,1824,464,2686,1119,1330,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4307,295,11881,9182,6405,3289,14772,10129,4446,516,13560,10311,7431,2415,13094,11937,7349,1687,12104,5391,5955,
归属于母公司所有者的净利润(万元),4393,432,11825,9177,6269,3202,14485,9930,4584,584,12846,9719,6837,2249,13138,11931,7298,1705,12187,5418,5955,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-86,-137,56,5,137,88,287,199,-139,-68,714,592,594,166,-45,6,52,-18,-83,-27,--,
基本每股收益,0.08,0.01,0.3,0.23,0.16,0.08,0.36,0.25,0.11,0.01,0.33,0.25,0.18,0.13,0.88,0.8,0.49,0.11,0.81,0.36,0.4,
稀释每股收益,0.08,0.01,0.3,0.23,0.16,0.08,0.36,0.25,0.11,0.01,0.33,0.25,0.18,0.13,0.88,0.8,0.49,0.11,0.81,0.36,0.4,
