报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),37923,133353,96941,68463,33738,102417,71502,50795,25062,93320,70433,50488,23928,120156,92215,64382,30168,122917,88422,110509,61218,140025,132939,94976,
营业收入(万元),37923,133353,96941,68463,33738,102417,71502,50795,25062,93320,70433,50488,23928,120156,92215,64382,30168,122917,88422,110509,61218,140025,132939,94976,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),34454,124880,89833,63204,30442,95455,67226,48016,24550,91858,68450,48623,23567,110387,84961,58987,28882,108763,79166,98579,54352,122185,117044,88342,
营业成本(万元),28436,100443,72983,51796,24736,75088,52188,37220,18903,70589,52763,37867,18182,85404,65263,45154,21628,85115,61855,78292,43551,101411,97089,73424,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),345,1443,1105,681,221,810,254,192,114,327,220,167,35,363,298,211,101,626,484,510,265,309,589,286,
销售费用(万元),1254,7559,4615,3407,1834,4801,3232,2307,1027,3619,2745,1958,968,4557,3694,2515,1426,4726,3584,4223,2548,5645,6765,4908,
管理费用(万元),3611,12639,9403,6036,2990,11540,8928,6093,3437,11239,7735,5345,2692,11335,8184,5942,3140,11318,8093,9296,4225,9112,8280,5971,
财务费用(万元),732,2394,1833,1165,562,2779,2621,1878,790,6053,4908,3188,1467,8512,7032,4918,2291,6790,4708,5901,3269,5733,4416,2890,
资产减值损失(万元),77,402,-106,118,99,437,3,326,278,32,80,98,223,216,491,248,297,188,442,357,495,-25,-96,862,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,3,1,
投资收益(万元),52,3131,3049,2974,182,928,690,395,143,--,--,--,--,--,--,--,--,--,--,--,--,2,-1,10,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4257,14449,10157,8233,3478,7890,4966,3173,656,1461,1983,1865,361,9769,7253,5395,1286,14154,9255,11930,6866,17839,15898,6646,
营业外收入(万元),3,25,1867,1233,611,3409,1885,1273,608,3829,2020,1642,426,2719,1664,1166,349,1710,1046,2722,1639,2154,1230,2341,
营业外支出(万元),0,62,58,39,2,0,0,0,--,49,46,37,37,19,19,19,0,193,103,19,7,241,198,15,
非流动资产处置损失(万元),--,--,1,1,0,0,0,0,--,37,37,37,37,19,--,19,--,3,--,5,4,148,163,13,
利润总额(万元),4260,14412,11966,9426,4086,11298,6850,4446,1264,5242,3956,3470,749,12468,8898,6542,1635,15671,10198,14632,8498,19752,16930,8971,
所得税费用(万元),395,802,1392,1195,582,1185,980,642,146,213,415,413,56,1538,1336,1033,207,2095,1583,1721,1222,2672,1424,589,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3864,13609,10574,8231,3504,10113,5870,3804,1117,5028,3541,3057,693,10930,7562,5509,1427,13576,8615,12911,7276,17080,15506,8382,
归属于母公司所有者的净利润(万元),3864,13609,10574,8231,3504,10113,5870,3804,1117,5028,3541,3057,693,10930,7562,5509,1427,13576,8615,12911,7276,17080,15504,8399,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,-17,
基本每股收益,0.07,0.23,0.18,0.14,0.06,0.17,0.11,0.07,0.02,0.12,0.08,0.07,0.02,0.28,0.19,0.14,0.04,0.35,0.22,0.33,0.19,0.44,0.4,0.22,
稀释每股收益,0.07,0.23,0.18,0.14,0.06,0.17,0.11,0.07,0.02,0.12,0.08,0.07,0.02,0.28,--,--,0.04,--,--,--,--,--,--,--,
