报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),97677,477874,255403,167737,51768,256770,164419,106433,40326,188886,111914,64234,22240,108819,79558,53728,21216,80539,62241,41354,16240,70281,63799,49241,31322,19887,
营业收入(万元),97677,477874,255403,167737,51768,256770,164419,106433,40326,188886,111914,64234,22240,108819,79558,53728,21216,80539,62241,41354,16240,70281,63799,49241,31322,19887,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业总成本(万元),87578,417704,219349,144111,46157,227138,144369,94553,36800,168949,98046,55931,19576,94696,69103,46780,18508,68979,53496,35805,14197,60349,54249,40880,26421,16930,
营业成本(万元),69446,340530,176731,117438,35433,184150,123968,82183,28784,133016,77419,45243,16256,76757,57492,38709,15149,55641,43849,29244,11714,48647,45329,34364,21893,13889,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业税金及附加(万元),359,448,923,741,222,3507,-5340,-4868,1129,6260,3518,2136,736,3836,2673,1861,706,2773,2157,1415,567,2373,2360,1825,1046,729,
销售费用(万元),863,2184,1253,694,324,1267,786,538,252,611,195,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
管理费用(万元),15327,60938,34911,21824,9605,35370,23295,14361,6548,22571,14352,7261,2616,10566,6833,4673,2098,7406,5585,3813,1459,6691,5437,4252,3092,1996,
财务费用(万元),2921,4294,2141,709,297,-433,1412,1214,1016,2790,1868,815,445,736,892,482,306,1558,1151,815,450,1609,597,334,16,-3,
资产减值损失(万元),-1338,9310,3390,2704,276,3276,249,1126,-929,3700,695,476,-478,2800,1212,1055,249,1601,753,517,6,1030,526,105,374,319,
公允价值变动收益(万元),--,-3,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
投资收益(万元),358,573,2,2,2,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-6,0,0,
对联营企业和合营企业的投资收益(万元),358,546,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业利润(万元),10457,60744,36057,23629,5613,29640,20050,11881,3526,19937,13867,8302,2664,14124,10455,6948,2708,11560,8746,5550,2044,9933,9549,8355,4901,2958,
营业外收入(万元),133,870,898,287,72,1373,1056,714,1,391,225,118,108,112,105,59,47,101,41,38,30,93,251,35,0,0,
营业外支出(万元),137,661,622,97,53,135,162,101,51,49,20,14,4,155,32,31,8,13,4,4,0,28,17,140,0,16,
非流动资产处置损失(万元),--,--,11,7,6,15,12,1,1,15,9,8,4,8,0,0,0,3,0,--,0,4,8,17,0,0,
利润总额(万元),10453,60953,36333,23819,5631,30877,20943,12493,3475,20279,14072,8406,2768,14081,10528,6976,2747,11649,8782,5584,2074,9997,9783,8250,4901,2942,
所得税费用(万元),1747,9186,5882,3897,1020,4755,3611,2148,620,3425,2356,1397,412,2379,1792,1209,477,1986,1396,949,322,1744,2454,2139,1381,711,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
净利润(万元),8707,51767,30451,19922,4611,26123,17332,10345,2855,16854,11717,7009,2356,11701,8735,5766,2270,9663,7387,4635,1751,8253,7329,6111,3519,2230,
归属于母公司所有者的净利润(万元),8776,50928,30472,20039,4783,26080,17296,10324,2845,16795,11718,7009,2356,11701,8735,5766,2270,9663,7387,4635,1751,8253,7329,6123,3538,2200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,108,0,0,
少数股东损益(万元),-70,839,-21,-118,-172,42,37,21,10,59,-2,--,--,--,--,--,--,--,--,0,--,0,--,-12,-18,30,
基本每股收益,0.09,1.23,0.73,0.48,0.12,0.67,0.45,0.28,0.07,0.52,0.36,0.22,0.07,0.73,0.54,0.7,0.29,1.29,0.52,0.62,0.23,1.1,0.98,0.87,0.59,0.49,
稀释每股收益,0.09,1.22,0.73,0.48,0.11,0.66,0.45,0.27,0.07,0.51,0.36,0.22,0.07,0.73,0.54,0.7,0.29,1.29,0.52,0.62,0.23,1.1,0.98,0.87,0.59,0.49,
