报告日期,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),21642,38151,13839,29484,23856,21312,
营业收入(万元),21642,38151,13839,29484,23856,21312,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),17567,31085,11239,22691,18791,15015,
营业成本(万元),15286,25354,9186,17596,15714,12877,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),72,238,90,174,97,192,
销售费用(万元),641,1285,295,923,672,511,
管理费用(万元),2118,3495,851,3368,2265,1399,
财务费用(万元),-52,-43,-22,-63,-84,-65,
资产减值损失(万元),-498,757,839,692,127,100,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),27,142,24,232,135,3,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),4102,7208,2624,7024,5200,6300,
营业外收入(万元),395,185,150,181,396,49,
营业外支出(万元),--,3,2,75,31,50,
非流动资产处置损失(万元),--,--,0,--,--,0,
利润总额(万元),4497,7390,2772,7130,5565,6299,
所得税费用(万元),702,1110,446,1098,852,1606,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),3795,6280,2326,6032,4713,4692,
归属于母公司所有者的净利润(万元),3806,6309,2343,6047,4737,4697,
被合并方在合并前实现净利润(万元),--,--,0,-133,-228,-42,
少数股东损益(万元),-10,-29,-16,-15,-24,-4,
基本每股收益,0.66,1.09,0.4,--,--,--,
稀释每股收益,0.66,1.09,0.4,--,--,--,
