报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),206053,134182,53025,218084,140589,93050,34192,200037,134996,171867,163780,131310,109207,
营业收入(万元),206053,134182,53025,218084,140589,93050,34192,200037,134996,171867,163780,131310,109207,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),160273,104938,39073,163349,100662,67184,21909,153569,106865,135652,134770,106010,86320,
营业成本(万元),107766,69662,27738,121177,74998,48920,14143,109082,75078,100309,97340,76603,67038,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1437,1253,920,2027,1286,1099,938,1092,763,1056,1156,1160,898,
销售费用(万元),18242,13029,3978,20497,12177,9699,2925,20542,14031,11553,8663,6621,4472,
管理费用(万元),26685,17013,5820,25173,16195,11354,4984,18930,11189,19405,18504,15778,10841,
财务费用(万元),3942,1871,263,-8303,-5222,-4669,-722,3920,5366,803,8299,955,2207,
资产减值损失(万元),2200,2110,353,2779,1229,782,-360,2,438,2526,808,4894,863,
公允价值变动收益(万元),265,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-884,373,370,-1132,-726,-652,17,239,210,168,522,-594,-809,
对联营企业和合营企业的投资收益(万元),--,-772,281,-1394,--,-668,--,-189,--,150,522,-595,-810,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),46271,29999,14322,53602,39201,25214,12300,46707,28341,36383,29532,24706,22078,
营业外收入(万元),2916,2482,1749,7272,4151,1861,1258,6082,3605,4972,5614,5288,1031,
营业外支出(万元),106,52,20,409,253,288,33,1198,1052,243,587,156,166,
非流动资产处置损失(万元),68,34,1,27,24,7,1,55,49,6,8,26,49,
利润总额(万元),49081,32429,16051,60466,43098,26787,13524,51591,30895,41112,34559,29838,22944,
所得税费用(万元),8070,5357,2376,8343,6891,3989,1908,8193,5423,5304,6094,4432,3629,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),41011,27072,13675,52123,36207,22799,11616,43398,25471,35808,28465,25407,19315,
归属于母公司所有者的净利润(万元),41134,27154,13675,52123,36207,22799,11616,43341,25414,35410,28509,25524,19588,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,1950,2282,
少数股东损益(万元),-123,-82,--,--,--,--,--,57,57,398,-44,-117,-273,
基本每股收益,1.09,0.72,0.37,1.81,1.29,0.81,0.41,1.55,0.91,1.26,1.02,0.91,--,
稀释每股收益,1.09,0.72,0.37,1.81,1.29,0.81,0.41,1.55,0.91,1.26,1.02,0.91,--,
